label,youtube_id,time_start,time_end,lang
airplane accident,_7AAz2uyqGw,16,23,EN
airplane accident,_7AAz2uyqGw,46,49,EN
airplane accident,_7AAz2uyqGw,213,219,EN
airplane accident,_7AAz2uyqGw,270,275,EN
airplane accident,_7AAz2uyqGw,283,289,EN
airplane accident,_7AAz2uyqGw,457,464,EN
airplane accident,3ioC2pswXPA,329,338,ES
airplane accident,3r9YlB1a5EI,18,25,EN
airplane accident,3r9YlB1a5EI,29,32,EN
airplane accident,3r9YlB1a5EI,47,53,EN
airplane accident,3r9YlB1a5EI,88,92,EN
airplane accident,3r9YlB1a5EI,123,129,EN
airplane accident,3r9YlB1a5EI,132,138,EN
airplane accident,3r9YlB1a5EI,249,261,EN
airplane accident,3r9YlB1a5EI,332,342,EN
airplane accident,3r9YlB1a5EI,374,380,EN
airplane accident,3r9YlB1a5EI,490,495,EN
airplane accident,3r9YlB1a5EI,648,654,EN
airplane accident,3r9YlB1a5EI,875,888,EN
airplane accident,7g3NRWg7q9Q,14,18,TR
airplane accident,7g3NRWg7q9Q,21,30,TR
airplane accident,7g3NRWg7q9Q,31,40,TR
airplane accident,7g3NRWg7q9Q,95,105,TR
airplane accident,7g3NRWg7q9Q,145,151,TR
airplane accident,7g3NRWg7q9Q,171,185,TR
airplane accident,7s9CeAMW0_4,0,6,ES
airplane accident,8w3LVf84Z8c,35,38,ZH
airplane accident,8w3LVf84Z8c,54,57,ZH
airplane accident,8w3LVf84Z8c,113,116,ZH
airplane accident,8w3LVf84Z8c,165,169,ZH
airplane accident,8w3LVf84Z8c,347,353,ZH
airplane accident,Bo-hW63_4Rk,1,10,EN
airplane accident,Bo-hW63_4Rk,216,224,EN
airplane accident,Bo-hW63_4Rk,529,537,EN
airplane accident,E6gWFTv3xE8,16,23,AR
airplane accident,fIWvTzCvUgM,91,99,EN
airplane accident,fu9rglF8-RE,251,257,ZH
airplane accident,h6A8VDqDqyM,108,113,TR
airplane accident,h7KAyG9hWzI,14,17,ZH
airplane accident,hZ4EHN1KUuo,38,42,ZH
airplane accident,i2ikTy5wLSI,132,136,EN
airplane accident,i2ikTy5wLSI,292,297,EN
airplane accident,i2ikTy5wLSI,319,322,EN
airplane accident,Ii-lD-GLego,34,39,ES
airplane accident,kGg6lk4dTnA,18,22,EN
airplane accident,kGg6lk4dTnA,247,252,EN
airplane accident,kGg6lk4dTnA,282,287,EN
airplane accident,LVH9MepqjjE,16,21,ES
airplane accident,nRCu9_TSE5E,235,240,AR
airplane accident,nVxrkPJ2A9w,62,69,TR
airplane accident,OLBq74kKFoI,0,5,ES
airplane accident,OOrt2yXcGZk,34,37,EN
airplane accident,OOrt2yXcGZk,646,648,EN
airplane accident,pcqQ-NenS5U,104,109,EN
airplane accident,pcqQ-NenS5U,448,453,EN
airplane accident,pcqQ-NenS5U,572,577,EN
airplane accident,pcqQ-NenS5U,614,622,EN
airplane accident,PjUJrWqSFNY,26,32,AR
airplane accident,POflbwTEWss,19,27,EN
airplane accident,POflbwTEWss,165,179,EN
airplane accident,R2yjOSZ7_Ac,3,12,EN
airplane accident,R2yjOSZ7_Ac,228,234,EN
airplane accident,R2yjOSZ7_Ac,316,322,EN
airplane accident,r-c2MfQazmo,63,72,ZH
airplane accident,RivFO47f0vw,2,11,EN
airplane accident,sCJ99bApo6o,8,10,ZH
airplane accident,sO3ZWEypaaE,0,7,TR
airplane accident,U7833zX-l5c,149,153,EN
airplane accident,U7833zX-l5c,169,177,EN
airplane accident,U7833zX-l5c,249,254,EN
airplane accident,U7833zX-l5c,348,353,EN
airplane accident,VbWXtFIpdp8,455,459,ES
airplane accident,VFY-hrlx44c,295,303,AR
airplane accident,VFY-hrlx44c,349,355,AR
airplane accident,VFY-hrlx44c,473,490,AR
airplane accident,VZx_xLFvTPg,10,15,ES
airplane accident,XQfr1Swty-g,22,27,ES
airplane accident,XQfr1Swty-g,40,45,ES
airplane accident,y_yJOOoujWU,307,315,AR
airplane accident,y_yJOOoujWU,326,333,AR
airplane accident,y_yJOOoujWU,372,379,AR
airplane accident,zuXi1isedng,79,87,EN
airplane accident,zuXi1isedng,143,160,FR
airplane accident,zuXi1isedng,175,185,FR
airplane accident,zuXi1isedng,192,196,FR
airplane accident,zuXi1isedng,245,250,FR
airplane accident,zuXi1isedng,366,376,FR
airplane accident,zuXi1isedng,433,440,FR
airplane accident,zuXi1isedng,544,553,FR
airplane accident,zuXi1isedng,736,743,FR
airplane accident,zuXi1isedng,747,751,EN
airplane accident,zuXi1isedng,752,762,EN
airplane accident,zuXi1isedng,796,802,FR
airplane accident,zuXi1isedng,947,954,EN
airplane accident,zuXi1isedng,982,986,EN
airplane accident,zuXi1isedng,1130,1137,EN
