label,youtube_id,time_start,time_end,lang
bicycle accident,_rRPVsw8upA,208,214,EN
bicycle accident,_rRPVsw8upA,267,272,EN
bicycle accident,4Vb3I56zGqQ,0,3,EN
bicycle accident,aUaqg30QdeI,6,10,
bicycle accident,aUaqg30QdeI,72,75,
bicycle accident,aUaqg30QdeI,78,88,
bicycle accident,aUaqg30QdeI,107,112,
bicycle accident,aUaqg30QdeI,186,191,
bicycle accident,aUaqg30QdeI,211,219,
bicycle accident,aUaqg30QdeI,260,263,
bicycle accident,aUaqg30QdeI,296,301,
bicycle accident,aUaqg30QdeI,343,351,
bicycle accident,aUaqg30QdeI,369,374,
bicycle accident,aUaqg30QdeI,374,377,
bicycle accident,aUaqg30QdeI,378,383,
bicycle accident,aUaqg30QdeI,404,412,
bicycle accident,aUaqg30QdeI,429,433,
bicycle accident,aUaqg30QdeI,501,506,
bicycle accident,aUaqg30QdeI,524,527,
bicycle accident,aUaqg30QdeI,544,551,
bicycle accident,B6lWTy4WBHY,44,53,TR
bicycle accident,B6lWTy4WBHY,59,63,TR
bicycle accident,B6lWTy4WBHY,63,67,TR
bicycle accident,B6lWTy4WBHY,77,83,TR
bicycle accident,B6lWTy4WBHY,88,92,TR
bicycle accident,B6lWTy4WBHY,93,97,TR
bicycle accident,B6lWTy4WBHY,97,101,TR
bicycle accident,B6lWTy4WBHY,101,104,TR
bicycle accident,B6lWTy4WBHY,104,110,TR
bicycle accident,B6lWTy4WBHY,110,116,TR
bicycle accident,B6lWTy4WBHY,117,121,TR
bicycle accident,B6lWTy4WBHY,131,133,TR
bicycle accident,B6lWTy4WBHY,160,163,TR
bicycle accident,B6lWTy4WBHY,163,165,TR
bicycle accident,B6lWTy4WBHY,195,198,TR
bicycle accident,B6lWTy4WBHY,207,211,TR
bicycle accident,B6lWTy4WBHY,211,218,TR
bicycle accident,B6lWTy4WBHY,218,226,TR
bicycle accident,B6lWTy4WBHY,263,271,TR
bicycle accident,B6lWTy4WBHY,310,319,TR
bicycle accident,B6lWTy4WBHY,329,333,TR
bicycle accident,B6lWTy4WBHY,333,337,TR
bicycle accident,B6lWTy4WBHY,337,342,TR
bicycle accident,B6lWTy4WBHY,359,369,TR
bicycle accident,B6lWTy4WBHY,373,380,TR
bicycle accident,B6lWTy4WBHY,384,386,TR
bicycle accident,B6lWTy4WBHY,387,392,TR
bicycle accident,B6lWTy4WBHY,396,401,TR
bicycle accident,B6lWTy4WBHY,402,406,TR
bicycle accident,B6lWTy4WBHY,432,435,TR
bicycle accident,B6lWTy4WBHY,518,522,TR
bicycle accident,B6lWTy4WBHY,523,531,TR
bicycle accident,B6lWTy4WBHY,556,560,TR
bicycle accident,B6lWTy4WBHY,613,623,TR
bicycle accident,iJT45hFRywk,5,11,ES
bicycle accident,iJT45hFRywk,12,17,ES
bicycle accident,iJT45hFRywk,17,19,ES
bicycle accident,iJT45hFRywk,25,31,ES
bicycle accident,iJT45hFRywk,38,41,ES
bicycle accident,iJT45hFRywk,47,53,ES
bicycle accident,iJT45hFRywk,61,66,ES
bicycle accident,iJT45hFRywk,66,68,ES
bicycle accident,iJT45hFRywk,69,77,ES
bicycle accident,iJT45hFRywk,117,120,ES
bicycle accident,iJT45hFRywk,136,139,ES
bicycle accident,iJT45hFRywk,147,150,ES
bicycle accident,iJT45hFRywk,168,170,ES
bicycle accident,iJT45hFRywk,178,182,ES
bicycle accident,iJT45hFRywk,184,177,ES
bicycle accident,iJT45hFRywk,195,199,ES
bicycle accident,iJT45hFRywk,200,203,ES
bicycle accident,iJT45hFRywk,203,207,ES
bicycle accident,iJT45hFRywk,245,253,ES
bicycle accident,iJT45hFRywk,261,264,ES
bicycle accident,iJT45hFRywk,285,291,ES
bicycle accident,KxNpyRDrbdU,19,28,ES
bicycle accident,KxNpyRDrbdU,63,66,ES
bicycle accident,KxNpyRDrbdU,180,188,ES
bicycle accident,KxNpyRDrbdU,201,208,ES
bicycle accident,KxNpyRDrbdU,287,291,ES
bicycle accident,m2gwFkCU1Q4,90,97,EN
bicycle accident,m2gwFkCU1Q4,137,144,EN
bicycle accident,ns5mHoUF0ho,11,18,ES
bicycle accident,ns5mHoUF0ho,52,59,ES
bicycle accident,ns5mHoUF0ho,74,78,ES
bicycle accident,ns5mHoUF0ho,82,86,ES
bicycle accident,ns5mHoUF0ho,123,126,ES
bicycle accident,ns5mHoUF0ho,142,148,ES
bicycle accident,ns5mHoUF0ho,177,181,ES
bicycle accident,ns5mHoUF0ho,193,198,ES
bicycle accident,ns5mHoUF0ho,238,241,ES
bicycle accident,ns5mHoUF0ho,284,289,ES
bicycle accident,Q9jBITtjzUI,5,10,TR
bicycle accident,qcuWxB87qyo,34,39,EN
bicycle accident,qcuWxB87qyo,57,63,EN
bicycle accident,qcuWxB87qyo,141,147,EN
bicycle accident,qcuWxB87qyo,200,205,EN
bicycle accident,qcuWxB87qyo,254,259,EN
bicycle accident,qcuWxB87qyo,327,332,EN
bicycle accident,qcuWxB87qyo,470,475,EN
bicycle accident,qcuWxB87qyo,583,593,EN
bicycle accident,RiLyXpKCQK4,3,9,EN
bicycle accident,sk_50oHKrpA,23,28,ES
bicycle accident,YLxs1kyYQk4,9,13,EN
bicycle accident,YLxs1kyYQk4,22,26,EN
bicycle accident,YLxs1kyYQk4,52,57,EN
