label,youtube_id,time_start,time_end,lang
blocked,_qzynb6KGiA,27,29,TR
blocked,_zmloTVmH6A,3,6,ES
blocked,_zmloTVmH6A,29,35,ES
blocked,3hZWbCjawpo,740,744,TR
blocked,3Zg1fvBU-cA,12,14,ES
blocked,3Zg1fvBU-cA,18,22,ES
blocked,7zArauq37Bw,15,20,EN
blocked,7zArauq37Bw,44,54,EN
blocked,7zArauq37Bw,64,67,EN
blocked,8w3D4LB-_HI,1,10,EN
blocked,c2RUojazifc,51,54,TR
blocked,c2RUojazifc,96,100,TR
blocked,c70CFJ3vlDI,222,229,FR
blocked,CcTsdZqtU5E,60,65,TR
blocked,CtEqUQWxKOk,1,4,TR
blocked,CYoSuwYUk4M,2,5,EN
blocked,DwPuBcV95FI,34,42,EN
blocked,DwPuBcV95FI,266,281,EN
blocked,hcShSOvLQ14,3,18,HI
blocked,hRHuAr8AHGk,13,17,EN
blocked,hRHuAr8AHGk,20,29,EN
blocked,i2qpTZoOZtk,4,6,EN
blocked,i2qpTZoOZtk,18,24,EN
blocked,jSLdCBwNLL8,40,51,FR
blocked,KbLgcQBPti8,37,49,EN
blocked,KbLgcQBPti8,65,78,EN
blocked,KbLgcQBPti8,120,124,EN
blocked,KqqxiW9WCnE,11,20,EN
blocked,kYFLhFPH-O4,3,8,ZH
blocked,lm5HiEW5jxo,17,28,EN
blocked,lm5HiEW5jxo,41,61,EN
blocked,lm5HiEW5jxo,77,87,EN
blocked,lqol_vEAxqc,18,22,TR
blocked,lqol_vEAxqc,34,36,TR
blocked,m_LSSF7pfgA,33,41,AR
blocked,M_SO2idVhbw,95,108,ZH
blocked,mW9wVjGvB4Y,28,46,EN
blocked,MwgFuSuAhYs,43,52,TR
blocked,MwgFuSuAhYs,188,200,TR
blocked,mXuEmVAZLXA,8,12,EN
blocked,NNkXT4-Z5s4,66,76,ES
blocked,nPZTIVrgI9U,17,20,ES
blocked,nPZTIVrgI9U,72,77,ES
blocked,OcWMyHFnCeM,46,57,ZH
blocked,p50wnTvPMF0,6,15,HI
blocked,p50wnTvPMF0,42,44,HI
blocked,PD6OosPhwEk,2,20,TR
blocked,pP42TE80Uss,86,88,EN
blocked,pWq7vn62iSU,192,196,ZH
blocked,q0YbWY0WDro,151,154,ZH
blocked,q7OnGlKFxso,800,839,ES
blocked,q7OnGlKFxso,920,926,ES
blocked,R_XkAwN_hxU,38,41,ZH
blocked,r7QOZe2f_4I,301,311,FR
blocked,r7QOZe2f_4I,417,424,FR
blocked,sYqS45WH2Sc,10,20,ES
blocked,TVhANy6tGb0,4,7,HI
blocked,u_omnP8YNTU,189,193,ZH
blocked,uCA-X5dM09U,1,6,HI
blocked,uCA-X5dM09U,58,64,HI
blocked,Uri0acYiJC0,11,20,FR
blocked,vnL6SFBicCs,93,97,EN
blocked,vonMn0ddT2s,29,31,EN
blocked,VtrMOWbelV8,10,19,TR
blocked,WkvgVCxv2GE,3,6,EN
blocked,wymbhAp-79k,414,426,EN
blocked,yA3N9O-z18I,7,13,TR
blocked,yl436q56ZwU,12,17,EN
blocked,zHSdTk3ogoU,27,32,ES
blocked,zHSdTk3ogoU,250,258,ES
blocked,Zz39fNuU6iw,24,28,ZH
blocked,-g7XzpLLBPY,0,4,FR
blocked,8iMjfslzp6g,8,15,EN
blocked,bz00YjqTUV0,188,192,EN
blocked,hr0jHe4S63o,558,565,ES
blocked,hr0jHe4S63o,594,597,ES
blocked,NBszAWPqajw,20,25,TR
blocked,YmC36OSk714,5,12,EN
blocked,82rL8-HB2aY,181,187,TR
blocked,UiNkSHTuYho,86,97,ES
blocked,pCUwl3yOMmw,22,34,TR
blocked,mly2KzNKOuU,2,8,EN
blocked,Jydbnx1wqAQ,36,46,EN
blocked,-Ad06YHgtK4,9,16,ES
blocked,uyhI7gRYWXo,1,3,EN
blocked,uyhI7gRYWXo,51,53,EN
blocked,uyhI7gRYWXo,95,100,EN
blocked,YcKonURcP44,16,18,EN
blocked,aPTho-yUGA8,8,23,ES
blocked,Sx7gpCRDizk,159,179,EN
blocked,F5s9UnF_gZ4,1,7,ZH
blocked,zr1sopt7GeE,75,88,EN
blocked,wa9yX4xuCv4,382,387,EN
blocked,wa9yX4xuCv4,439,442,EN
blocked,oG3qU1MksFc,455,458,ES
blocked,UroV4RLvulE,0,5,AR
blocked,mKzkccOnHuU,1,3,ES
