label,youtube_id,time_start,time_end,lang
burned,085Nlz_6R7o,34,39,AR
burned,0oZZsDyyQ40,73,75,ES
burned,1OteooHqkgk,0,4,FR
burned,1Z2K6lDt76M,1474,1483,EN
burned,2MR2i5ZctW4,1222,1231,AR
burned,3-4SR8vC1kA,28,37,EN
burned,3-4SR8vC1kA,176,183,EN
burned,3-4SR8vC1kA,187,196,EN
burned,7BhDwVefhP8,116,125,EN
burned,7BhDwVefhP8,132,140,EN
burned,7BhDwVefhP8,169,175,EN
burned,7BhDwVefhP8,185,194,EN
burned,7BhDwVefhP8,195,204,EN
burned,7BhDwVefhP8,215,224,EN
burned,7BhDwVefhP8,226,232,EN
burned,7BhDwVefhP8,234,243,EN
burned,7BhDwVefhP8,246,254,EN
burned,7BhDwVefhP8,266,275,EN
burned,7BhDwVefhP8,277,285,EN
burned,7BhDwVefhP8,287,296,EN
burned,A29sJz5cY2A,237,244,AR
burned,FFwOInK2A8Y,650,657,AR
burned,fMHHya0g4zw,16,25,EN
burned,fMHHya0g4zw,45,54,EN
burned,fMHHya0g4zw,146,155,EN
burned,fMHHya0g4zw,166,175,EN
burned,fMHHya0g4zw,180,189,EN
burned,FNFDJQxX4HM,202,211,TR
burned,Grq91i9oYpI,260,269,EN
burned,hImSywWq-EE,21,28,ZH
burned,kh-DodzsdFI,11,20,EN
burned,KHNw6bcFHNg,0,9,TR
burned,l9sjBQW3D9Y,101,110,EN
burned,l9sjBQW3D9Y,121,130,EN
burned,l9sjBQW3D9Y,132,141,EN
burned,l9sjBQW3D9Y,791,800,EN
burned,l9sjBQW3D9Y,1539,1544,EN
burned,LBSb6nnmDuI,65,74,AR
burned,LBSb6nnmDuI,124,133,AR
burned,LBSb6nnmDuI,197,206,AR
burned,LBSb6nnmDuI,242,249,AR
burned,LBSb6nnmDuI,376,385,AR
burned,lGeXJgme2_s,99,103,EN
burned,MPHt6mRDfVw,35,37,ZH
burned,MPHt6mRDfVw,39,41,ZH
burned,mtE9bkv3oJM,16,19,ES
burned,mtE9bkv3oJM,25,33,ES
burned,mtE9bkv3oJM,137,140,ES
burned,OEDZCdFJP7M,44,48,FR
burned,OEDZCdFJP7M,49,53,FR
burned,OEDZCdFJP7M,124,128,FR
burned,OEDZCdFJP7M,521,527,FR
burned,OEDZCdFJP7M,644,650,FR
burned,OEDZCdFJP7M,658,661,FR
burned,Oeqowv2qP6M,35,42,ZH
burned,Oeqowv2qP6M,44,49,ZH
burned,OwDyJhydrFc,83,92,ZH
burned,Q-3bkk2s_5o,2,11,ES
burned,Q-3bkk2s_5o,21,26,ES
burned,Qxy4jOkRs_I,460,467,TR
burned,RkNeeeshlHA,40,43,ES
burned,RoGkOxlPP2Q,564,573,TR
burned,RoGkOxlPP2Q,608,617,TR
burned,SCtiWy-r66w,103,112,EN
burned,SCtiWy-r66w,334,343,EN
burned,skyqokPQpdA,93,96,FR
burned,sUX6bzqfflI,100,109,EN
burned,sUX6bzqfflI,130,139,EN
burned,sUX6bzqfflI,162,171,EN
burned,sUX6bzqfflI,175,184,EN
burned,sUX6bzqfflI,191,200,EN
burned,sUX6bzqfflI,252,261,EN
burned,sUX6bzqfflI,286,295,EN
burned,T5PH4jG0Zjg,33,35,ES
burned,ty20p2mlJBc,27,33,ZH
burned,Ve33BcHx1L0,388,390,EN
burned,Vu_Q0sflTeY,427,436,TR
burned,Vu_Q0sflTeY,523,532,TR
burned,Vu_Q0sflTeY,540,549,TR
burned,VX3qWL0HNl4,115,119,TR
burned,VX3qWL0HNl4,144,153,TR
burned,xS7eVdUNZUI,123,126,FR
burned,y51Ytdv-Yq0,309,313,ZH
burned,-ZMrswbFHl0,6,14,FR
burned,-ZMrswbFHl0,68,77,FR
burned,c4vwAsySNWk,159,162,EN
burned,c4vwAsySNWk,620,623,EN
burned,EwBETGSHdSE,5,9,ES
burned,WHTT-2T5VMs,266,269,EN
