label,youtube_id,time_start,time_end,lang
bus_accident,4pmotmnr99Y,56,60,EN
bus_accident,4pmotmnr99Y,62,66,EN
bus_accident,5WE6BJjMkkg,8,11,EN
bus_accident,5Wvu4l3N5no,40,44,EN
bus_accident,6ZPbdZnoDVw,91,101,EN
bus_accident,83lwedVFFeg,75,79,EN
bus_accident,aNI9TY7YFdY,103,113,EN
bus_accident,cuXjC9__G2k,1025,1032,EN
bus_accident,GDMcbtFAjqQ,18,24,EN
bus_accident,GDMcbtFAjqQ,37,43,EN
bus_accident,HE_sybHJaQY,5,14,EN
bus_accident,HE_sybHJaQY,88,96,EN
bus_accident,HE_sybHJaQY,101,108,EN
bus_accident,HE_sybHJaQY,163,171,EN
bus_accident,IlSZdiyvN6I,23,29,EN
bus_accident,kVl-6-A9ZO4,564,571,EN
bus_accident,MpRCMq3oiZI,102,111,EN
bus_accident,rixHNH16sO8,106,111,EN
bus_accident,rtF_UiwPRYo,0,6,EN
bus_accident,W_Ty6a8dnJc,9,14,EN
bus_accident,YAWzFRAZVAU,15,20,EN
bus_accident,YAWzFRAZVAU,40,45,EN
bus_accident,Y-fiQeupsOw,8,10,EN
bus_accident,Y-fiQeupsOw,45,49,EN
bus_accident,Y-fiQeupsOw,64,67,EN
bus_accident,zBqpsQFTKD4,5,7,EN
bus_accident,zBqpsQFTKD4,25,29,EN
bus_accident,_FlJ2Zqx7eA,29,31,ES
bus_accident,3U5VIoZYsxk,11,14,ES
bus_accident,4eH59Ymdm1I,21,24,ES
bus_accident,7ePVdoR0iR0,0,3,TR
bus_accident,7ePVdoR0iR0,119,123,TR
bus_accident,7VY7JT-6j-c,53,61,AR
bus_accident,8rqYIXUVseQ,20,24,FR
bus_accident,8sOFCeMcrhQ,150,154,TR
bus_accident,8sOFCeMcrhQ,372,377,TR
bus_accident,9Augbki_OFw,421,426,ZH
bus_accident,9Augbki_OFw,429,434,ZH
bus_accident,Ard2BmQKaOA,25,31,ES
bus_accident,b8YHt8Dh0BA,18,21,AR
bus_accident,BkBL7K7Scas,31,36,FR
bus_accident,BkBL7K7Scas,48,54,FR
bus_accident,BkBL7K7Scas,70,75,FR
bus_accident,BkBL7K7Scas,83,90,FR
bus_accident,BkBL7K7Scas,141,150,FR
bus_accident,BkBL7K7Scas,218,223,FR
bus_accident,BkBL7K7Scas,285,295,FR
bus_accident,BndUVeo87Tg,13,20,ZH
bus_accident,crTbrbMCNHk,0,2,ES
bus_accident,cwIcF2I4aQM,29,34,AR
bus_accident,DQ24G-zmdj4,31,36,EN
bus_accident,DXaSw91qet0,11,15,FR
bus_accident,eSFo4seVQVQ,2,6,AR
bus_accident,eSFo4seVQVQ,10,15,AR
bus_accident,fdN1JZqBH5k,113,116,TR
bus_accident,fdN1JZqBH5k,314,318,TR
bus_accident,fdN1JZqBH5k,414,420,TR
bus_accident,hvzBx9bdnSc,0,2,ES
bus_accident,IFE0JqbQ7FM,26,32,FR
bus_accident,l_x76kzsnH8,0,2,ES
bus_accident,m8xMPhfZBZ0,14,17,ES
bus_accident,o9iafCYQ398,23,27,EN
bus_accident,o9iafCYQ398,34,42,EN
bus_accident,o9iafCYQ398,68,76,EN
bus_accident,o9iafCYQ398,117,120,EN
bus_accident,o9iafCYQ398,149,155,EN
bus_accident,o9iafCYQ398,160,166,EN
bus_accident,o9iafCYQ398,188,196,EN
bus_accident,o9iafCYQ398,259,265,EN
bus_accident,o9iafCYQ398,271,278,EN
bus_accident,o9iafCYQ398,289,294,EN
bus_accident,o9iafCYQ398,323,330,EN
bus_accident,o9iafCYQ398,356,362,EN
bus_accident,o9iafCYQ398,573,578,EN
bus_accident,o9iafCYQ398,585,591,EN
bus_accident,Om4cMkn4WI0,13,24,ES
bus_accident,oTbsicaSKXc,158,161,TR
bus_accident,oTbsicaSKXc,304,308,TR
bus_accident,ow3Oe5MFNG0,3,8,ES
bus_accident,ow3Oe5MFNG0,10,13,ES
bus_accident,PpfEvPpGC2M,38,41,ES
bus_accident,TlfpstLkGa0,0,3,AR
bus_accident,TlfpstLkGa0,40,42,AR
bus_accident,uDkOOVgXi-A,4,6,ES
bus_accident,uDkOOVgXi-A,51,53,ES
bus_accident,UHLUqsVHBr4,113,119,AR
bus_accident,uKZeH8JqMns,63,69,ZH
bus_accident,uKZeH8JqMns,139,144,ZH
bus_accident,uKZeH8JqMns,209,215,ZH
bus_accident,uKZeH8JqMns,310,315,ZH
bus_accident,uKZeH8JqMns,318,325,ZH
bus_accident,uKZeH8JqMns,360,366,ZH
bus_accident,uKZeH8JqMns,374,380,ZH
bus_accident,uKZeH8JqMns,462,469,ZH
bus_accident,VMyHzivnzJE,7,12,ES
bus_accident,Wxrvv_X0EoI,241,253,ZH
bus_accident,xbJjBoflvf8,20,22,ES
bus_accident,z6ieWUMrB6I,0,7,FR
bus_accident,xkeI5GUVUt0,7,11,FR
