label,youtube_id,time_start,time_end,lang
car accident,_bLwMaWJcCc,42,46,EN
car accident,0N3BKmDiKmc,10,16,EN
car accident,0N3BKmDiKmc,22,32,EN
car accident,0N3BKmDiKmc,38,43,EN
car accident,0N3BKmDiKmc,54,61,EN
car accident,0N3BKmDiKmc,62,71,EN
car accident,0N3BKmDiKmc,144,153,EN
car accident,0N3BKmDiKmc,198,207,EN
car accident,0N3BKmDiKmc,240,246,EN
car accident,0N3BKmDiKmc,275,280,EN
car accident,0N3BKmDiKmc,339,345,EN
car accident,0N3BKmDiKmc,405,415,EN
car accident,0N3BKmDiKmc,434,439,EN
car accident,0N3BKmDiKmc,457,465,EN
car accident,0N3BKmDiKmc,501,506,EN
car accident,0N3BKmDiKmc,513,519,EN
car accident,1DRhHMy-D4E,4,7,EN
car accident,2pYngoJE3I8,0,6,ES
car accident,2pYngoJE3I8,87,92,ES
car accident,3IomMNSccs8,17,25,ES
car accident,3IomMNSccs8,145,151,ES
car accident,3Jz6WgBvsvs,21,29,EN
car accident,415mRcR3Q70,3,13,EN
car accident,4SyZpqO0rQg,38,48,EN
car accident,5-jDtZAk9TY,30,34,EN
car accident,6Y5ezaUEK6A,18,25,PT
car accident,6Y5ezaUEK6A,162,168,PT
car accident,7PdeC2o05t8,265,275,PT
car accident,7PdeC2o05t8,348,358,PT
car accident,9XubH_Lrgoo,0,6,TR
car accident,alQNGvOnXLA,15,18,EN
car accident,alQNGvOnXLA,19,24,EN
car accident,alQNGvOnXLA,25,29,EN
car accident,alQNGvOnXLA,32,40,EN
car accident,alQNGvOnXLA,46,51,EN
car accident,alQNGvOnXLA,56,60,EN
car accident,alQNGvOnXLA,155,161,EN
car accident,alQNGvOnXLA,162,167,EN
car accident,alQNGvOnXLA,170,173,EN
car accident,alQNGvOnXLA,258,263,EN
car accident,alQNGvOnXLA,294,301,EN
car accident,alQNGvOnXLA,336,342,EN
car accident,alQNGvOnXLA,495,500,EN
car accident,amkESLSdN6I,20,26,EN
car accident,axn_3FwYTVQ,92,101,ES
car accident,bn5FtvuQ0x4,245,254,TR
car accident,bnmuqcXcdFE,34,38,PT
car accident,bnmuqcXcdFE,149,156,PT
car accident,BWcAOFL85Os,5,11,EN
car accident,C1JPUmIZ1h0,25,29,EN
car accident,c2RUojazifc,51,54,TR
car accident,c2RUojazifc,96,100,TR
car accident,cfwGBCccuJs,60,70,
car accident,Chs1k4W6wB0,2,8,EN
car accident,d5exATIaQiI,88,97,EN
car accident,df2zwsHO0d8,328,338,EN
car accident,e-HwUiYQf7k,18,23,EN
car accident,e-HwUiYQf7k,26,32,EN
car accident,e-HwUiYQf7k,86,89,EN
car accident,EzbdnWC_BFU,41,50,ES
car accident,EZrIbhLBLxY,10,17,EN
car accident,F7L5hyUHtds,6,11,TR
car accident,FhVGeIgLdlI,6,16,EN
car accident,flzy3lY6AKE,57,60,EN
car accident,fymjbkGSta8,10,17,EN
car accident,fymjbkGSta8,35,40,EN
car accident,fymjbkGSta8,97,103,EN
car accident,Fzy_s6KXYZo,125,128,EN
car accident,Fzy_s6KXYZo,148,152,EN
car accident,Fzy_s6KXYZo,160,165,EN
car accident,g2m4fk8yVm0,284,294,EN
car accident,g9NFXhelewE,0,6,AR
car accident,g9NFXhelewE,12,22,AR
car accident,GaECIVTUpU4,25,33,EN
car accident,hnue8AWwUdA,0,6,EN
car accident,hnue8AWwUdA,35,40,EN
car accident,hnue8AWwUdA,48,54,EN
car accident,hnue8AWwUdA,55,61,EN
car accident,hnue8AWwUdA,62,68,EN
car accident,hnue8AWwUdA,69,75,EN
car accident,hnue8AWwUdA,76,82,EN
car accident,hnue8AWwUdA,83,89,EN
car accident,hnue8AWwUdA,90,96,EN
car accident,hnue8AWwUdA,97,103,EN
car accident,hnue8AWwUdA,104,110,EN
car accident,hnue8AWwUdA,118,124,EN
car accident,hnue8AWwUdA,139,145,EN
car accident,hnue8AWwUdA,146,152,EN
car accident,i59v0p-gAtk,35,45,EN
car accident,i59v0p-gAtk,54,62,EN
car accident,i59v0p-gAtk,95,103,EN
car accident,i7dAABbjvok,55,59,EN
car accident,i7dAABbjvok,69,74,EN
car accident,i7dAABbjvok,149,153,EN
car accident,ibkXEjA1Q44,6,11,EN
car accident,ibkXEjA1Q44,80,89,EN
car accident,ibkXEjA1Q44,167,175,EN
car accident,iHf0JW8ghrk,9,15,EN
car accident,iQrlMa06GFU,82,89,EN
car accident,iQrlMa06GFU,205,209,EN
car accident,J0MBRWamWqg,15,21,
car accident,jYqKUlEmblA,21,26,EN
car accident,kVl-6-A9ZO4,2,12,EN
car accident,kVl-6-A9ZO4,55,63,EN
car accident,kVl-6-A9ZO4,76,82,EN
car accident,kVl-6-A9ZO4,100,106,EN
car accident,kVl-6-A9ZO4,119,125,EN
car accident,kVl-6-A9ZO4,127,135,EN
car accident,kVl-6-A9ZO4,228,234,EN
car accident,kVl-6-A9ZO4,263,273,EN
car accident,kVl-6-A9ZO4,275,284,EN
car accident,kVl-6-A9ZO4,315,325,EN
car accident,kVl-6-A9ZO4,338,343,EN
car accident,kVl-6-A9ZO4,360,364,EN
car accident,kVl-6-A9ZO4,389,397,EN
car accident,kVl-6-A9ZO4,400,409,EN
car accident,kVl-6-A9ZO4,431,438,EN
car accident,kVl-6-A9ZO4,451,458,EN
car accident,kVl-6-A9ZO4,480,488,EN
car accident,kVl-6-A9ZO4,493,501,EN
car accident,kVl-6-A9ZO4,507,513,EN
car accident,kVl-6-A9ZO4,520,529,EN
car accident,kVl-6-A9ZO4,540,550,EN
car accident,kVl-6-A9ZO4,582,592,EN
car accident,kYFLhFPH-O4,3,8,ZH
car accident,lNuhpGzBC7g,6,13,EN
car accident,lNuhpGzBC7g,17,21,EN
car accident,LpG2AfgfjKs,6,13,EN
car accident,m_LSSF7pfgA,33,41,AR
car accident,m_LSSF7pfgA,44,49,AR
car accident,M05hiBSdyOo,90,97,EN
car accident,meAv1BiT06E,33,39,EN
car accident,MfdlUxAls08,52,59,EN
car accident,MfdlUxAls08,150,160,EN
car accident,MfdlUxAls08,368,373,EN
car accident,mfP2WJU-DtA,8,15,EN
car accident,mNDtGN9cbes,6,13,EN
car accident,mNDtGN9cbes,24,31,EN
car accident,mNDtGN9cbes,42,46,EN
car accident,mNDtGN9cbes,89,97,EN
car accident,mNDtGN9cbes,176,180,EN
car accident,MrbZL2-xWt0,81,85,EN
car accident,MrbZL2-xWt0,104,111,EN
car accident,n8zT2N9zuLI,7,12,EN
car accident,oQDdJlwY6wA,2,9,ES
car accident,plDqit7bJqE,6,12,EN
car accident,pP42TE80Uss,86,88,EN
car accident,PZwb_yJThrc,13,21,EN
car accident,PZwb_yJThrc,50,56,EN
car accident,PZwb_yJThrc,95,101,EN
car accident,PZwb_yJThrc,109,114,EN
car accident,qQRBdh9YGYU,19,25,EN
car accident,R_XkAwN_hxU,38,41,ZH
car accident,RBRs3KXuLuM,54,63,EN
car accident,RBRs3KXuLuM,150,154,EN
car accident,RBRs3KXuLuM,197,204,EN
car accident,RBRs3KXuLuM,243,250,EN
car accident,rEuRJ9iyxmY,242,248,EN
car accident,rEuRJ9iyxmY,254,259,EN
car accident,rEuRJ9iyxmY,276,283,EN
car accident,rEuRJ9iyxmY,345,353,EN
car accident,rEuRJ9iyxmY,357,363,EN
car accident,rEuRJ9iyxmY,368,376,EN
car accident,rEuRJ9iyxmY,389,396,EN
car accident,rEuRJ9iyxmY,405,415,EN
car accident,rEuRJ9iyxmY,420,428,EN
car accident,rEuRJ9iyxmY,450,457,EN
car accident,rEuRJ9iyxmY,458,468,EN
car accident,rEuRJ9iyxmY,478,485,EN
