label,youtube_id,time_start,time_end,lang
damaged,0g8bQN8efr8,40,43,FR
damaged,0g8bQN8efr8,45,50,FR
damaged,0g8bQN8efr8,65,68,FR
damaged,0g8bQN8efr8,130,133,FR
damaged,2VxTJtvSUKs,125,128,ES
damaged,2VxTJtvSUKs,171,173,ES
damaged,2VxTJtvSUKs,297,300,ES
damaged,2VxTJtvSUKs,633,637,ES
damaged,2VxTJtvSUKs,955,958,ES
damaged,40E6Ej-RQ_w,65,67,AR
damaged,6WNfaB7XFIo,10,13,AR
damaged,7ZkxhUevcMQ,29,32,AR
damaged,82rL8-HB2aY,156,159,TR
damaged,82rL8-HB2aY,181,187,TR
damaged,82rL8-HB2aY,290,293,TR
damaged,82rL8-HB2aY,388,393,TR
damaged,82rL8-HB2aY,480,485,TR
damaged,9RB8LcfT2hQ,28,30,AR
damaged,9RB8LcfT2hQ,117,119,AR
damaged,aEQ81JHysec,48,50,ZH
damaged,aEQ81JHysec,56,58,ZH
damaged,AwSb5UWuG6Q,34,36,TR
damaged,AwSb5UWuG6Q,147,149,TR
damaged,bm4phsQMvBE,275,278,TR
damaged,c4vwAsySNWk,60,64,EN
damaged,c4vwAsySNWk,90,94,EN
damaged,c4vwAsySNWk,141,143,EN
damaged,c4vwAsySNWk,159,162,EN
damaged,c4vwAsySNWk,620,623,EN
damaged,CSRWvYaZxhg,126,129,FR
damaged,CSRWvYaZxhg,198,203,FR
damaged,CSRWvYaZxhg,251,255,FR
damaged,CSRWvYaZxhg,256,258,FR
damaged,CSRWvYaZxhg,264,267,FR
damaged,CSRWvYaZxhg,268,270,FR
damaged,CTlQWTyje_w,73,83,AR
damaged,CTlQWTyje_w,164,168,AR
damaged,CTlQWTyje_w,174,177,AR
damaged,d6sSHA-NBbs,4,6,FR
damaged,dg5wjNMlLjA,8,11,ES
damaged,dg5wjNMlLjA,14,18,ES
damaged,ExCduAcTZ7s,162,169,ES
damaged,gko3fgtxvoY,62,66,TR
damaged,GLvQZUOErIg,78,81,TR
damaged,GLvQZUOErIg,96,99,TR
damaged,GLvQZUOErIg,131,133,TR
damaged,GLvQZUOErIg,148,152,TR
damaged,GLvQZUOErIg,298,300,TR
damaged,HGzRuOQdGyQ,248,252,ZH
damaged,Hsszc0zeOCk,172,174,AR
damaged,KKEeh89FsQM,3,5,ZH
damaged,KKEeh89FsQM,69,74,ZH
damaged,KKEeh89FsQM,79,83,ZH
damaged,lHMnR2sffN0,0,2,AR
