label,youtube_id,time_start,time_end,lang
derecho,1U3OK9F5TH0,75,83,EN
derecho,22-iUyxlLl0,0,10,EN
derecho,22-iUyxlLl0,20,36,EN
derecho,22-iUyxlLl0,53,60,EN
derecho,22-iUyxlLl0,67,75,EN
derecho,2Bkn6hw8dXs,9,15,PL
derecho,2Ku6LYgtlr8,794,813,EN
derecho,2Ku6LYgtlr8,1063,1087,EN
derecho,3x62rfSgRho,0,30,EN
derecho,3x62rfSgRho,50,70,EN
derecho,3x62rfSgRho,145,172,EN
derecho,3x62rfSgRho,280,287,EN
derecho,65mjbK3izgE,88,94,EN
derecho,65mjbK3izgE,98,105,EN
derecho,65mjbK3izgE,156,163,EN
derecho,7_OjkrbIZSc,109,121,EN
derecho,7_OjkrbIZSc,141,148,EN
derecho,7_OjkrbIZSc,177,181,EN
derecho,7_OjkrbIZSc,185,197,EN
derecho,7_OjkrbIZSc,214,235,EN
derecho,77HKm6yOmCE,40,60,EN
derecho,77HKm6yOmCE,128,134,EN
derecho,7ujJsvnaJpc,41,47,EN
derecho,8fYQOnGt9EI,12,28,EN
derecho,8fYQOnGt9EI,44,51,EN
derecho,8fYQOnGt9EI,56,67,EN
derecho,8fYQOnGt9EI,86,96,EN
derecho,9C2okDFO1p8,175,185,EN
derecho,9C2okDFO1p8,204,230,EN
derecho,9EIdnai9d3Q,235,260,EN
derecho,aP8kFWnW51o,0,17,EN
derecho,aP8kFWnW51o,1,15,ES
derecho,CrkOy-H25Qk,44,50,EN
derecho,CV2i2y13E8k,50,53,EN
derecho,D32QNna52r0,90,100,EN
derecho,D32QNna52r0,158,161,EN
derecho,DrjewjmiN44,6,11,PT
derecho,EGJmOeDEBtw,192,210,EN
derecho,EGJmOeDEBtw,352,375,EN
derecho,EGJmOeDEBtw,439,455,EN
derecho,fSAoYotxcog,195,210,EN
derecho,gtVVJOJu-9w,0,10,EN
derecho,gtVVJOJu-9w,12,18,EN
derecho,H99STv1pd68,74,90,EN
derecho,ieWWuX-2KKk,5,7,EN
derecho,iIqBbFproAA,85,90,EN
derecho,iy1xXIxMDfE,59,68,EN
derecho,iy1xXIxMDfE,198,205,EN
derecho,iy1xXIxMDfE,302,317,EN
derecho,iy1xXIxMDfE,376,382,EN
derecho,jxPVe4hUGKI,17,27,PL
derecho,JZzsGZPXOGM,908,941,EN
derecho,JZzsGZPXOGM,2009,2030,EN
derecho,JZzsGZPXOGM,2050,2070,EN
derecho,kIlN62s0900,118,121,EN
derecho,kIlN62s0900,134,138,EN
derecho,kIlN62s0900,141,148,EN
derecho,kIlN62s0900,176,179,EN
derecho,kIlN62s0900,195,203,EN
derecho,kxU0VRZyg70,0,17,EN
derecho,Ln6e5u1G7bM,20,34,ES
derecho,Ln6e5u1G7bM,51,57,EN
derecho,MqKjLRlTTYg,30,36,EN
derecho,NKH7LatBeVs,0,10,EN
derecho,pBkPichBlt8,329,339,EN
derecho,pBkPichBlt8,880,905,EN
derecho,pDziHf6FQjY,0,12,EN
derecho,pDziHf6FQjY,83,93,EN
derecho,q6T24WCyLtc,0,30,EN
derecho,q6T24WCyLtc,125,137,EN
derecho,QB7pd8LFxZI,0,25,EN
derecho,QB7pd8LFxZI,58,89,EN
derecho,QB7pd8LFxZI,108,120,EN
derecho,RPIx3AbQhwI,65,67,EN
derecho,RPIx3AbQhwI,73,77,EN
derecho,Scmz1bkdvUI,183,195,EN
derecho,smsvnP0-LKE,0,29,PL
derecho,smsvnP0-LKE,42,51,PL
derecho,smsvnP0-LKE,58,68,PL
derecho,smsvnP0-LKE,143,156,PL
derecho,TeWdV3UhVOI,54,70,EN
derecho,TeWdV3UhVOI,127,137,EN
derecho,V2bQnrwydaY,89,110,EN
derecho,V8JWAS7dt_s,798,830,EN
derecho,V8JWAS7dt_s,1390,1440,EN
derecho,vfFghcmGNQ4,0,20,EN
derecho,vfFghcmGNQ4,25,40,EN
derecho,vfFghcmGNQ4,70,90,EN
derecho,vJm8Aj4QkXk,0,12,EN
derecho,vO51S3PvXes,92,109,EN
derecho,xe4PkvyVypw,46,53,EN
derecho,yy119QNakio,365,370,EN
derecho,yy119QNakio,413,426,EN
derecho,yy119QNakio,468,479,EN
derecho,yy119QNakio,817,823,EN
derecho,yy119QNakio,828,834,EN
derecho,Z4AWWe_icsc,32,60,EN
derecho,Z4AWWe_icsc,150,180,EN
derecho,aPNVclNkEH4,101,103,TR
derecho,aPNVclNkEH4,105,109,TR
derecho,jC0sTGOevpw,298,301,EN
derecho,DlyeMksq8qc,401,420,EN
derecho,2IIbKt3QpFc,18,20,TR
derecho,5o5ez-K4vWA,2,9,ES
derecho,bJRXuX0aibY,40,45,ZH
derecho,CDoUCbQvoik,50,56,FR
derecho,FIoN67x8vdw,15,25,ES
derecho,jO2VVjlHe8o,17,28,EN
derecho,jO2VVjlHe8o,348,353,EN
derecho,OBclWXuhxMc,0,10,TR
derecho,tE6leG-Bs18,19,26,FR
derecho,uH8Qhsz_52w,132,136,EN
derecho,vfg5H_8PAJ4,168,174,EN
derecho,yuS6Ny1f-Ow,6,9,ZH
derecho,KGtGJlDM-DY,105,110,TR
derecho,KhMxuA89gwY,30,38,FR
derecho,mv6JzDOn8ls,123,125,EN
