label,youtube_id,time_start,time_end,lang
Dirty Contamined,aHzltu6Tvl8,15,19,EN
Dirty Contamined,aHzltu6Tvl8,120,123,EN
Dirty Contamined,aHzltu6Tvl8,81,91,EN
Dirty Contamined,aHzltu6Tvl8,97,99,EN
Dirty Contamined,AkSXB-lRAp0,112,114,EN
Dirty Contamined,AkSXB-lRAp0,116,118,EN
Dirty Contamined,AkSXB-lRAp0,121,123,EN
Dirty Contamined,AkSXB-lRAp0,133,135,EN
Dirty Contamined,AkSXB-lRAp0,147,149,EN
Dirty Contamined,AkSXB-lRAp0,178,180,EN
Dirty Contamined,AkSXB-lRAp0,186,193,EN
Dirty Contamined,AkSXB-lRAp0,241,244,EN
Dirty Contamined,AkSXB-lRAp0,31,33,EN
Dirty Contamined,AkSXB-lRAp0,37,39,EN
Dirty Contamined,AkSXB-lRAp0,43,51,EN
Dirty Contamined,AkSXB-lRAp0,54,57,EN
Dirty Contamined,AkSXB-lRAp0,555,557,EN
Dirty Contamined,AkSXB-lRAp0,565,569,EN
Dirty Contamined,AkSXB-lRAp0,574,576,EN
Dirty Contamined,AkSXB-lRAp0,67,69,EN
Dirty Contamined,AkSXB-lRAp0,74,76,EN
Dirty Contamined,AkSXB-lRAp0,82,84,EN
Dirty Contamined,AkSXB-lRAp0,91,93,EN
Dirty Contamined,d3WYoSJ8wHo,137,139,EN
Dirty Contamined,d3WYoSJ8wHo,141,143,EN
Dirty Contamined,d3WYoSJ8wHo,145,147,EN
Dirty Contamined,d3WYoSJ8wHo,253,256,EN
Dirty Contamined,d3WYoSJ8wHo,91,94,EN
Dirty Contamined,FdZXRZ3-zZs,221,227,TR
Dirty Contamined,FdZXRZ3-zZs,233,244,TR
Dirty Contamined,FdZXRZ3-zZs,246,259,TR
Dirty Contamined,FdZXRZ3-zZs,266,269,TR
Dirty Contamined,FdZXRZ3-zZs,272,276,TR
Dirty Contamined,FdZXRZ3-zZs,280,282,TR
Dirty Contamined,FdZXRZ3-zZs,331,336,TR
Dirty Contamined,FdZXRZ3-zZs,339,343,TR
Dirty Contamined,FdZXRZ3-zZs,355,357,TR
Dirty Contamined,FdZXRZ3-zZs,383,385,TR
Dirty Contamined,FdZXRZ3-zZs,387,389,TR
Dirty Contamined,FdZXRZ3-zZs,66,68,TR
Dirty Contamined,FdZXRZ3-zZs,72,75,TR
Dirty Contamined,FdZXRZ3-zZs,77,80,TR
Dirty Contamined,FdZXRZ3-zZs,82,84,TR
Dirty Contamined,GEHOlmcJAEk,289,291,EN
Dirty Contamined,ju_2NuK5O-E,105,107,EN
Dirty Contamined,ju_2NuK5O-E,14,16,EN
Dirty Contamined,ju_2NuK5O-E,18,29,EN
Dirty Contamined,ju_2NuK5O-E,27,30,EN
Dirty Contamined,ju_2NuK5O-E,36,38,EN
Dirty Contamined,ju_2NuK5O-E,40,43,EN
Dirty Contamined,ju_2NuK5O-E,44,46,EN
Dirty Contamined,ju_2NuK5O-E,66,69,EN
Dirty Contamined,MnCbTTTi7ic,33,37,EN
Dirty Contamined,MnCbTTTi7ic,61,63,EN
Dirty Contamined,MUg0SQJ0bx0,1,7,ZH
Dirty Contamined,MUg0SQJ0bx0,13,16,ZH
Dirty Contamined,MUg0SQJ0bx0,152,165,ZH
Dirty Contamined,MUg0SQJ0bx0,171,178,ZH
Dirty Contamined,MUg0SQJ0bx0,182,192,ZH
Dirty Contamined,MUg0SQJ0bx0,259,264,ZH
Dirty Contamined,MUg0SQJ0bx0,268,275,ZH
Dirty Contamined,MUg0SQJ0bx0,279,288,ZH
Dirty Contamined,MUg0SQJ0bx0,290,292,ZH
Dirty Contamined,MUg0SQJ0bx0,311,313,ZH
Dirty Contamined,MUg0SQJ0bx0,325,330,ZH
Dirty Contamined,MUg0SQJ0bx0,35,44,ZH
Dirty Contamined,MUg0SQJ0bx0,50,59,ZH
Dirty Contamined,MUg0SQJ0bx0,529,531,ZH
Dirty Contamined,MUg0SQJ0bx0,534,537,ZH
Dirty Contamined,MUg0SQJ0bx0,548,550,ZH
Dirty Contamined,MUg0SQJ0bx0,62,83,ZH
Dirty Contamined,MUg0SQJ0bx0,637,645,ZH
Dirty Contamined,MUg0SQJ0bx0,651,654,ZH
Dirty Contamined,MUg0SQJ0bx0,656,660,ZH
Dirty Contamined,P3OoWAEJrAI,171,208,HI
Dirty Contamined,P3OoWAEJrAI,29,36,HI
Dirty Contamined,P3OoWAEJrAI,38,45,HI
Dirty Contamined,P3OoWAEJrAI,48,58,HI
Dirty Contamined,P3OoWAEJrAI,65,84,HI
Dirty Contamined,S758wEniU0c,0,2,EN
Dirty Contamined,S758wEniU0c,4,6,EN
Dirty Contamined,TJ9I3d0JX5c,17,19,TR
Dirty Contamined,TJ9I3d0JX5c,28,31,TR
Dirty Contamined,TJ9I3d0JX5c,354,356,TR
Dirty Contamined,TJ9I3d0JX5c,37,42,TR
Dirty Contamined,TJ9I3d0JX5c,417,419,TR
Dirty Contamined,TJ9I3d0JX5c,435,437,TR
Dirty Contamined,TJ9I3d0JX5c,46,48,TR
Dirty Contamined,TJ9I3d0JX5c,485,491,TR
Dirty Contamined,TJ9I3d0JX5c,498,500,TR
Dirty Contamined,TJ9I3d0JX5c,89,91,TR
Dirty Contamined,zC4saZg6sG0,16,18,EN
