label,youtube_id,time_start,time_end,lang
drought,_nRl6jeD7no,10,12,DE
drought,0CVfqb8NbWk,14,16,EN
drought,0CVfqb8NbWk,46,48,EN
drought,0GCr3uyHuWs,16,19,EN
drought,0GCr3uyHuWs,272,276,EN
drought,0GCr3uyHuWs,501,510,EN
drought,0p-2EZL9gBs,13,18,TR
drought,0p-2EZL9gBs,21,24,TR
drought,0p-2EZL9gBs,27,29,TR
drought,1BhNw65TZR0,29,32,FR
drought,3u8HVUi8bLo,132,139,EN
drought,5RGWtV6jKVk,116,120,TR
drought,5RGWtV6jKVk,308,316,TR
drought,6DjotLj898Q,11,14,EN
drought,6DjotLj898Q,11,13,EN
drought,6rQmG-koEPI,52,59,EN
drought,8sAcMJ1L-xk,11,13,AR
drought,AxP98Upnsm4,13,22,EN
drought,bhpVGQQ_4Ng,43,49,ZH
drought,BuTfE7gGEJM,18,20,AR
drought,ceh_j-k6GrE,20,27,TR
drought,CnS6OAzyvW8,17,25,AR
drought,CnS6OAzyvW8,40,56,AR
drought,CnS6OAzyvW8,63,83,AR
drought,CnS6OAzyvW8,92,102,AR
drought,dp9W45VG9Fw,11,13,EN
drought,dp9W45VG9Fw,16,20,EN
drought,dp9W45VG9Fw,29,35,EN
drought,EmI0S3lFnX4,19,33,TR
drought,F6hXvMzahtQ,3,9,EN
drought,FaLoN9pq6kE,16,19,EN
drought,1l-HkkZWzPs,0,2,TR
drought,gaajMbNZ0R8,8,10,AR
drought,gMyOMpmQXAI,59,61,ZH
drought,gPkr2OUK5Fw,15,20,EN
drought,gPkr2OUK5Fw,73,75,EN
drought,HPmNaZ4_yK4,6,9,EN
drought,ISLd8aVhxuE,21,23,EN
drought,kuR77DJcGqM,80,87,ZH
drought,lqh5tbE3GGk,1,15,EN
drought,mhYWBKSNXKo,1,3,EN
drought,NEOoBdyNyDw,45,55,TR
drought,nn9QJ_HGUwg,5,7,FR
drought,nn9QJ_HGUwg,27,37,FR
drought,NRT1CxnSrro,13,19,EN
drought,obdmn6eWMF4,5,11,EN
drought,oRSFMLByat0,141,144,EN
drought,oRSFMLByat0,241,243,EN
drought,pBGa_ce938w,27,30,ES
drought,Qus3UwiBnuQ,646,675,TR
drought,RAistEP_9ZE,1,6,AR
drought,RhaUemr40sU,37,39,EN
drought,rHWHuP91c7Y,5,7,EN
drought,s97AqqMbm90,13,16,ZH
drought,s97AqqMbm90,52,55,ZH
drought,s97AqqMbm90,58,61,ZH
drought,s97AqqMbm90,67,69,ZH
drought,s97AqqMbm90,86,92,ZH
drought,s97AqqMbm90,117,123,ZH
drought,s97AqqMbm90,735,742,ZH
drought,s97AqqMbm90,780,787,ZH
drought,sdpYRgcS-Jg,417,423,EN
drought,SYPwk5zrUMk,11,14,AR
drought,Tk0Re09V9h0,48,51,TR
drought,Tk0Re09V9h0,64,68,TR
drought,Tk0Re09V9h0,120,124,TR
drought,Tk0Re09V9h0,149,154,TR
drought,Tk0Re09V9h0,170,176,TR
drought,U1MM4V3_faY,40,45,EN
drought,uGnWj1ZQZiw,29,32,FR
drought,vUjVEMw_ZM0,57,70,EN
drought,vUjVEMw_ZM0,87,93,EN
drought,vUjVEMw_ZM0,112,124,EN
drought,VV9WpgGXPQQ,26,35,EN
drought,WnlNj4ISf8k,17,19,TR
drought,WnlNj4ISf8k,22,25,TR
drought,x-OC1Rc8KTE,7,12,TR
drought,x-OC1Rc8KTE,28,32,TR
drought,x-OC1Rc8KTE,44,52,TR
drought,k07YyGkuawA,12,16,TR
drought,x-OC1Rc8KTE,65,70,TR
drought,Xql5SgVlUCA,6,9,EN
drought,Xql5SgVlUCA,20,22,EN
drought,y02qKeJA7P8,11,14,AR
drought,YNmipvTetXE,54,57,AR
drought,z78F5lMaKGM,355,361,TR
drought,znSN7ZFIaOg,40,43,EN
drought,znSN7ZFIaOg,440,443,EN
drought,ZuTVs5sBotU,27,40,EN
drought,-GbQWmFzVdY,21,29,EN
drought,IX1iBq7Kxoo,8,10,TR
drought,IX1iBq7Kxoo,17,19,TR
