label,youtube_id,time_start,time_end,lang
dust_devil,21QkyT0pMtw,0,4,FR
dust_devil,21QkyT0pMtw,14,22,FR
dust_devil,3dnUlvhNCqY,18,24,ES
dust_devil,4SvPe1TrbHw,5,20,EN
dust_devil,4y-U9pwUa2s,7,18,EN
dust_devil,cF4aMbDLLEk,6,12,EN
dust_devil,Ch47S904sB0,302,305,AR
dust_devil,CzEssvEpAPI,31,39,ES
dust_devil,d6tA-gpatFI,7,18,HI
dust_devil,edpXosq3LtA,27,30,RU
dust_devil,edpXosq3LtA,37,41,RU
dust_devil,edpXosq3LtA,123,129,RU
dust_devil,edpXosq3LtA,140,143,RU
dust_devil,edpXosq3LtA,196,200,ZH
dust_devil,Eg7XahsCpCY,62,70,ES
dust_devil,FGMu0j6SvP0,1,6,PT
dust_devil,fHv8t5Xuuio,1,3,ZH
dust_devil,fHv8t5Xuuio,7,10,ZH
dust_devil,Fi0wjXjSX9E,1,10,PT
dust_devil,GA3CZG1MTsA,31,40,ES
dust_devil,hHN5kFZkYvE,1,9,TR
dust_devil,HYvIsarm9_0,3,12,EN
dust_devil,HYvIsarm9_0,16,19,EN
dust_devil,HYvIsarm9_0,21,24,EN
dust_devil,HYvIsarm9_0,40,44,EN
dust_devil,iZPYAPsMUkY,1,15,EN
dust_devil,KnyJPC7Dlms,1,7,EN
dust_devil,l3Oqo-rsKq0,1,7,FR
dust_devil,ldAPb-In3w0,4,10,PT
dust_devil,LvP8bnZD-NA,6,11,EN
dust_devil,LvP8bnZD-NA,16,21,EN
dust_devil,LvP8bnZD-NA,70,73,EN
dust_devil,LvP8bnZD-NA,79,81,EN
dust_devil,LvP8bnZD-NA,139,144,EN
dust_devil,LvP8bnZD-NA,170,189,EN
dust_devil,LvP8bnZD-NA,193,200,EN
dust_devil,LvP8bnZD-NA,204,207,EN
dust_devil,LvP8bnZD-NA,212,219,EN
dust_devil,mM9c9dUz0P4,2,8,EN
dust_devil,mM9c9dUz0P4,40,46,EN
dust_devil,mM9c9dUz0P4,49,61,EN
dust_devil,nQ39uWI4pGg,1,7,EN
dust_devil,nQ39uWI4pGg,15,17,EN
dust_devil,nQ39uWI4pGg,24,31,EN
dust_devil,nQ39uWI4pGg,34,38,EN
dust_devil,nQ39uWI4pGg,53,59,EN
dust_devil,nQ39uWI4pGg,62,68,EN
dust_devil,nQ39uWI4pGg,71,75,EN
dust_devil,nQ39uWI4pGg,84,87,EN
dust_devil,nQ39uWI4pGg,89,95,EN
dust_devil,nQ39uWI4pGg,90,95,EN
dust_devil,nQ39uWI4pGg,98,111,EN
dust_devil,nQ39uWI4pGg,114,119,EN
dust_devil,nQ39uWI4pGg,122,129,EN
dust_devil,nQ39uWI4pGg,131,141,EN
dust_devil,nQ39uWI4pGg,152,155,EN
dust_devil,nQ39uWI4pGg,158,163,EN
dust_devil,nQ39uWI4pGg,166,173,EN
dust_devil,oh9hbb56wrU,1,5,ES
dust_devil,oh9hbb56wrU,26,36,ES
dust_devil,oojhOJuJbNg,18,27,EN
dust_devil,oojhOJuJbNg,44,53,ES
dust_devil,oojhOJuJbNg,101,111,ES
dust_devil,oTLZci5dp44,207,210,EN
dust_devil,q4-knJKj_AM,5,13,PT
dust_devil,r58m0YreiDk,596,599,EN
dust_devil,r58m0YreiDk,856,867,EN
dust_devil,r81cRlC63XI,19,35,EN
dust_devil,RFa1jlECEns,22,47,TR
dust_devil,rYYwNdKChvA,14,16,JA
dust_devil,SszHEm6Wt20,1,12,EN
dust_devil,SszHEm6Wt20,17,35,EN
dust_devil,TctjzMvEfx4,15,18,ZH
dust_devil,t-R0y-BgO9U,3,24,AR
dust_devil,uFAKsO2mENU,9,19,FR
dust_devil,uFAKsO2mENU,29,34,FR
dust_devil,uFAKsO2mENU,69,73,FR
dust_devil,uFAKsO2mENU,102,109,FR
dust_devil,uHQBlf8hfX8,2,14,TR
dust_devil,uLQ4u3BQ79k,1,7,PT
dust_devil,W9tKKi5Xpes,1,4,RU
dust_devil,wblOi-PFxw0,99,109,ES
dust_devil,Wbs-T2iPxcA,22,41,ES
dust_devil,wdS3eAIcLKY,37,55,ZH
dust_devil,wXP-QShVENU,10,17,EN
dust_devil,Xyv7yhWFRvE,29,35,FR
dust_devil,Xyv7yhWFRvE,41,51,FR
dust_devil,Xyv7yhWFRvE,65,69,FR
dust_devil,Xyv7yhWFRvE,74,79,FR
dust_devil,Xyv7yhWFRvE,210,221,FR
dust_devil,Xyv7yhWFRvE,228,234,FR
dust_devil,Xyv7yhWFRvE,526,529,FR
dust_devil,YNRCprTF8sg,1,12,EN
dust_devil,YNRCprTF8sg,45,49,EN
dust_devil,YunI4z_xABE,1,15,TR
dust_devil,yWVEZpJtjro,9,15,DE
dust_devil,ZLS9oG6uM2k,18,27,PT
dust_devil,zV7oSDsvsuk,269,271,ZH
dust_devil,tjL2ooAsz4Q,16,26,AR
dust_devil,tjL2ooAsz4Q,35,42,AR
dust_devil,-uc-5wgTHTE,28,39,EN
