label,youtube_id,time_start,time_end,lang
dust_sand_storm,_pOlndvt4nc,10,13,ZH
dust_sand_storm,1C-Pzo2Oh3c,6,11,ES
dust_sand_storm,1C-Pzo2Oh3c,14,19,ES
dust_sand_storm,1C-Pzo2Oh3c,44,49,ES
dust_sand_storm,3glyRZLZAR0,95,110,EN
dust_sand_storm,3glyRZLZAR0,189,201,EN
dust_sand_storm,3glyRZLZAR0,241,243,EN
dust_sand_storm,3glyRZLZAR0,264,280,EN
dust_sand_storm,3glyRZLZAR0,311,317,EN
dust_sand_storm,3glyRZLZAR0,381,389,EN
dust_sand_storm,a0DLwc_fqss,36,40,FR
dust_sand_storm,aPfYAVkRxJM,159,170,AR
dust_sand_storm,avbRZeXzDPY,118,120,ES
dust_sand_storm,avbRZeXzDPY,130,140,ES
dust_sand_storm,avbRZeXzDPY,145,150,ES
dust_sand_storm,bI-dO7RI3lE,6,18,EN
dust_sand_storm,bI-dO7RI3lE,24,27,EN
dust_sand_storm,bI-dO7RI3lE,31,41,EN
dust_sand_storm,bI-dO7RI3lE,44,46,EN
dust_sand_storm,bI-dO7RI3lE,50,64,EN
dust_sand_storm,bI-dO7RI3lE,73,79,EN
dust_sand_storm,bI-dO7RI3lE,83,89,EN
dust_sand_storm,bI-dO7RI3lE,144,158,EN
dust_sand_storm,bSN6sWTjV0Q,85,87,ZH
dust_sand_storm,bSN6sWTjV0Q,95,97,ZH
dust_sand_storm,D1fNBsJnM7w,6,10,FR
dust_sand_storm,DUwiO19prvs,38,40,TR
dust_sand_storm,Esz6ne9x9yM,2,11,EN
dust_sand_storm,Esz6ne9x9yM,14,20,EN
dust_sand_storm,Esz6ne9x9yM,32,42,EN
dust_sand_storm,fgeugQZh_TY,1,9,TR
dust_sand_storm,fgeugQZh_TY,14,20,TR
dust_sand_storm,fgeugQZh_TY,113,126,TR
dust_sand_storm,fgeugQZh_TY,156,162,TR
dust_sand_storm,FOI7EKMqKH4,1,8,TR
dust_sand_storm,FOI7EKMqKH4,48,60,TR
dust_sand_storm,FOI7EKMqKH4,101,107,TR
dust_sand_storm,I4QqIlS2lZc,8,10,ZH
dust_sand_storm,I4QqIlS2lZc,37,40,ZH
dust_sand_storm,jBxB_ACfkoM,21,27,AR
dust_sand_storm,jBxB_ACfkoM,72,75,AR
dust_sand_storm,jBxB_ACfkoM,89,95,AR
dust_sand_storm,jBxB_ACfkoM,103,106,AR
dust_sand_storm,JKBk_Kfucs4,18,21,EN
dust_sand_storm,jmeVZFNbR-A,395,404,AR
dust_sand_storm,jmeVZFNbR-A,430,437,AR
dust_sand_storm,jmeVZFNbR-A,541,550,AR
dust_sand_storm,jTFdQdKHj9Q,23,26,ZH
dust_sand_storm,kdHoJsoDjvA,1,9,FR
dust_sand_storm,kdHoJsoDjvA,22,35,FR
dust_sand_storm,kdHoJsoDjvA,41,44,FR
dust_sand_storm,l7MZ5sINwQQ,11,13,AR
dust_sand_storm,LDHoKmBVFdU,9,23,ES
dust_sand_storm,ls4UFayHO_8,10,13,FR
dust_sand_storm,lsbq4TQzzWI,0,3,ZH
dust_sand_storm,lsbq4TQzzWI,8,11,ZH
dust_sand_storm,lsbq4TQzzWI,13,16,ZH
dust_sand_storm,lsbq4TQzzWI,18,21,ZH
dust_sand_storm,lsbq4TQzzWI,32,35,ZH
dust_sand_storm,lWzh7m1UUr8,62,67,AR
dust_sand_storm,lWzh7m1UUr8,71,76,AR
dust_sand_storm,lWzh7m1UUr8,83,86,AR
dust_sand_storm,nLLa-WjL9n0,45,48,FR
dust_sand_storm,ouc3Fq9xz2E,17,20,FR
dust_sand_storm,pqM2e_cTED0,4,14,FR
dust_sand_storm,pqM2e_cTED0,29,32,FR
dust_sand_storm,pRvpO9ZELzg,8,23,TR
dust_sand_storm,pRvpO9ZELzg,31,35,TR
dust_sand_storm,pRvpO9ZELzg,37,43,TR
dust_sand_storm,pTN3G3tL68s,7,17,FR
dust_sand_storm,q24-vH6AJTI,52,54,EN
dust_sand_storm,q24-vH6AJTI,62,64,EN
dust_sand_storm,q24-vH6AJTI,74,77,EN
dust_sand_storm,RD5I9UhbRgg,4,12,EN
dust_sand_storm,riqpO_OqRXw,12,30,FR
dust_sand_storm,riqpO_OqRXw,40,61,FR
dust_sand_storm,riqpO_OqRXw,94,104,FR
dust_sand_storm,RTPpdqz8uq0,12,20,HI
dust_sand_storm,RTPpdqz8uq0,81,91,HI
dust_sand_storm,shoTaKEhrG0,11,19,ES
dust_sand_storm,shoTaKEhrG0,22,39,AR
dust_sand_storm,shoTaKEhrG0,69,78,ES
dust_sand_storm,shoTaKEhrG0,88,98,ES
dust_sand_storm,shoTaKEhrG0,168,188,ES
dust_sand_storm,Vx2XCRI_KSc,0,4,ZH
dust_sand_storm,wAEi9s9bEpY,0,5,AR
dust_sand_storm,wAEi9s9bEpY,7,14,AR
dust_sand_storm,wLq_MLXCpCE,0,3,TR
dust_sand_storm,wLq_MLXCpCE,7,20,TR
dust_sand_storm,wLq_MLXCpCE,42,45,TR
dust_sand_storm,wLq_MLXCpCE,52,57,TR
dust_sand_storm,xocQ7CyByJA,0,7,AR
dust_sand_storm,7MCYz8axba8,39,41,ZH
dust_sand_storm,7MCYz8axba8,77,81,ZH
dust_sand_storm,5sqfUKEGx9Q,362,371,EN
dust_sand_storm,6EuEUwG9Mt4,0,10,TR
dust_sand_storm,svL3cTzqQfw,0,10,AR
