label,youtube_id,time_start,time_end,lang
earthquake,3BsxAyH8NyM,5,25,TR
earthquake,9HhA9IlQ3f0,2,6,FR
earthquake,9HhA9IlQ3f0,19,27,FR
earthquake,9HhA9IlQ3f0,55,65,FR
earthquake,AdyJDGQfFno,83,93,FR
earthquake,AdyJDGQfFno,187,199,FR
earthquake,AdyJDGQfFno,283,294,FR
earthquake,AdyJDGQfFno,298,310,FR
earthquake,AdyJDGQfFno,314,325,FR
earthquake,AdyJDGQfFno,327,338,FR
earthquake,aJiU7C1MgMk,5,13,AR
earthquake,BH8FgujV3nA,17,20,ES
earthquake,BqLqAmaW9EQ,413,436,ZH
earthquake,BqLqAmaW9EQ,632,652,ZH
earthquake,BqLqAmaW9EQ,943,976,ZH
earthquake,BqLqAmaW9EQ,2015,2036,ZH
earthquake,BqLqAmaW9EQ,2212,2251,ZH
earthquake,C3FAGa62kSA,20,30,TR
earthquake,CSRWvYaZxhg,251,255,FR
earthquake,CTlQWTyje_w,10,27,AR
earthquake,CTlQWTyje_w,29,34,AR
earthquake,CTlQWTyje_w,40,48,AR
earthquake,CTlQWTyje_w,50,57,AR
earthquake,CTlQWTyje_w,63,68,AR
earthquake,CTlQWTyje_w,73,83,AR
earthquake,CTlQWTyje_w,98,106,AR
earthquake,CTlQWTyje_w,128,131,AR
earthquake,dL1tc_7rX68,24,37,TR
earthquake,dL1tc_7rX68,78,95,TR
earthquake,ExCduAcTZ7s,13,27,ES
earthquake,ExCduAcTZ7s,55,70,ES
earthquake,ExCduAcTZ7s,162,169,ES
earthquake,FXkkqGksCz8,72,86,AR
earthquake,IgDd3SKZgxo,8,20,ES
earthquake,IgDd3SKZgxo,62,82,ES
earthquake,IgDd3SKZgxo,112,122,ES
earthquake,IgDd3SKZgxo,141,151,ES
earthquake,IgDd3SKZgxo,241,250,ES
earthquake,IgDd3SKZgxo,401,411,ES
earthquake,IgDd3SKZgxo,451,461,ES
earthquake,IgDd3SKZgxo,560,563,ES
earthquake,LlqRT2rMFMk,38,54,TR
earthquake,LlqRT2rMFMk,103,163,TR
earthquake,LlqRT2rMFMk,191,202,TR
earthquake,LlqRT2rMFMk,234,245,TR
earthquake,LlqRT2rMFMk,979,994,TR
earthquake,McjIOGWmTTk,24,34,ZH
earthquake,McjIOGWmTTk,56,62,ZH
earthquake,McjIOGWmTTk,81,85,ZH
earthquake,McjIOGWmTTk,100,105,ZH
earthquake,McjIOGWmTTk,123,127,ZH
earthquake,McjIOGWmTTk,132,134,ZH
earthquake,McjIOGWmTTk,143,146,ZH
earthquake,McjIOGWmTTk,167,170,ZH
earthquake,McjIOGWmTTk,196,201,ZH
earthquake,McjIOGWmTTk,211,217,ZH
earthquake,McjIOGWmTTk,271,274,ZH
earthquake,McjIOGWmTTk,430,440,ZH
earthquake,mNRbBMxKpgE,12,16,AR
earthquake,mNRbBMxKpgE,292,302,AR
earthquake,mNRbBMxKpgE,451,454,AR
earthquake,mNRbBMxKpgE,463,466,AR
earthquake,mNRbBMxKpgE,522,537,AR
earthquake,mNRbBMxKpgE,590,616,AR
earthquake,nGV_JS9j4JE,10,36,EN
earthquake,nGV_JS9j4JE,168,178,EN
earthquake,nGV_JS9j4JE,308,318,EN
earthquake,nGV_JS9j4JE,351,357,EN
earthquake,nGV_JS9j4JE,362,368,EN
earthquake,NT_fVQ1LdQY,25,39,EN
earthquake,NT_fVQ1LdQY,87,95,EN
earthquake,NT_fVQ1LdQY,104,114,EN
earthquake,NT_fVQ1LdQY,172,211,EN
earthquake,NT_fVQ1LdQY,230,246,EN
earthquake,NT_fVQ1LdQY,271,278,EN
earthquake,NT_fVQ1LdQY,320,345,EN
earthquake,NT_fVQ1LdQY,356,369,EN
earthquake,NT_fVQ1LdQY,426,435,EN
earthquake,ozNW9lqOG6g,16,33,ES
earthquake,ozNW9lqOG6g,168,181,ES
earthquake,Pb2S0gO8n88,99,123,FR
earthquake,Pb2S0gO8n88,173,196,FR
earthquake,Pb2S0gO8n88,319,339,FR
earthquake,Pb2S0gO8n88,576,631,FR
earthquake,q5nf6Wl5TVI,94,139,EN
earthquake,s41VDS06YSE,26,42,TR
earthquake,s41VDS06YSE,90,107,TR
earthquake,s41VDS06YSE,144,171,TR
earthquake,s41VDS06YSE,182,187,TR
earthquake,s41VDS06YSE,221,229,TR
earthquake,s41VDS06YSE,258,270,TR
earthquake,s41VDS06YSE,416,432,TR
earthquake,s41VDS06YSE,571,591,TR
earthquake,u7cEL40eBEM,56,69,EN
earthquake,u7cEL40eBEM,152,169,EN
earthquake,u7cEL40eBEM,179,183,EN
earthquake,u7cEL40eBEM,192,200,EN
earthquake,u7cEL40eBEM,208,216,EN
earthquake,u7cEL40eBEM,318,328,EN
earthquake,UiNkSHTuYho,23,43,ES
earthquake,UiNkSHTuYho,154,156,ES
earthquake,UiNkSHTuYho,481,486,ES
earthquake,uOWkZVwwV_s,13,29,FR
earthquake,vL1nw8buVoU,82,89,FR
earthquake,Hsszc0zeOCk,138,141,AR
earthquake,UiNkSHTuYho,112,120,ES
earthquake,Hsszc0zeOCk,172,174,AR
earthquake,KKEeh89FsQM,69,74,ZH
earthquake,KKEeh89FsQM,79,83,ZH
earthquake,qagiY-qkzfI,172,181,ZH
earthquake,JKdHk5jPoS4,47,52,TR
earthquake,WJ2Vj6EZGDo,27,34,AR
