label,youtube_id,time_start,time_end,lang
fire_whirl,03EjitHdhFc,9,18,ES
fire_whirl,03EjitHdhFc,25,34,ES
fire_whirl,3CH6vRQ0A9E,8,15,EN
fire_whirl,3CH6vRQ0A9E,194,197,EN
fire_whirl,3CH6vRQ0A9E,203,210,EN
fire_whirl,3CH6vRQ0A9E,225,234,EN
fire_whirl,53O7vCPW348,70,79,EN
fire_whirl,53O7vCPW348,126,135,EN
fire_whirl,5-e2tAUo89o,53,55,EN
fire_whirl,5hOrIXlXNFo,173,182,EN
fire_whirl,5hOrIXlXNFo,417,422,EN
fire_whirl,5SyX2NUEkKk,24,33,EN
fire_whirl,5yQNXPg-pEU,6,15,EN
fire_whirl,66Yte03B3Lo,33,41,EN
fire_whirl,66Yte03B3Lo,43,52,EN
fire_whirl,66Yte03B3Lo,63,72,EN
fire_whirl,66Yte03B3Lo,81,90,EN
fire_whirl,66Yte03B3Lo,144,153,EN
fire_whirl,66Yte03B3Lo,168,176,EN
fire_whirl,66Yte03B3Lo,212,221,EN
fire_whirl,9NEIGwZhQt0,29,32,AR
fire_whirl,9NEIGwZhQt0,81,83,AR
fire_whirl,AGw8zxaszWE,144,148,ZH
fire_whirl,AGw8zxaszWE,240,246,ZH
fire_whirl,AGw8zxaszWE,389,398,ZH
fire_whirl,AGw8zxaszWE,401,406,ZH
fire_whirl,AGw8zxaszWE,417,422,ZH
fire_whirl,AGw8zxaszWE,424,426,ZH
fire_whirl,AGw8zxaszWE,466,469,ZH
fire_whirl,aITrYold2fo,2,8,ES
fire_whirl,BuQRedFtn-A,65,74,EN
fire_whirl,dLUjCExWQT4,0,9,AR
fire_whirl,dLUjCExWQT4,43,52,AR
fire_whirl,EOnavmP76HI,0,5,TR
fire_whirl,EOnavmP76HI,7,16,TR
fire_whirl,EOnavmP76HI,22,29,TR
fire_whirl,EOnavmP76HI,31,40,TR
fire_whirl,EOnavmP76HI,52,57,TR
fire_whirl,F9qP_lHwMxo,21,30,EN
fire_whirl,i4Z6Ifjptag,3,5,TR
fire_whirl,ifJO5ZZclAI,31,35,EN
fire_whirl,ifJO5ZZclAI,49,58,EN
fire_whirl,ifJO5ZZclAI,99,108,EN
fire_whirl,ifJO5ZZclAI,105,114,EN
fire_whirl,jKpShm77F6E,13,14,FR
fire_whirl,jKpShm77F6E,15,16,FR
fire_whirl,jKpShm77F6E,27,28,FR
fire_whirl,jKpShm77F6E,67,70,FR
fire_whirl,jKpShm77F6E,79,80,FR
fire_whirl,jKpShm77F6E,89,90,FR
fire_whirl,jKpShm77F6E,98,100,FR
fire_whirl,juzxMPvyoMM,11,17,EN
fire_whirl,juzxMPvyoMM,117,119,EN
fire_whirl,juzxMPvyoMM,124,127,EN
fire_whirl,JWknn7LBVZ0,80,87,AR
fire_whirl,JWknn7LBVZ0,89,97,AR
fire_whirl,JWknn7LBVZ0,108,110,AR
fire_whirl,JWknn7LBVZ0,120,127,AR
fire_whirl,jXLGbZckf1A,6,15,TR
fire_whirl,kNCX44Tf1Ns,12,17,EN
fire_whirl,Kt7LEBcFjIA,85,86,TR
fire_whirl,lsyvOYcWgcg,28,37,EN
fire_whirl,lsyvOYcWgcg,47,55,EN
fire_whirl,lsyvOYcWgcg,184,193,EN
fire_whirl,ojB5TQjJNiA,12,21,EN
fire_whirl,pap3fXy1IYA,11,14,TR
fire_whirl,PfLt_rZg0L0,7,16,FR
fire_whirl,PfLt_rZg0L0,36,45,FR
fire_whirl,PfLt_rZg0L0,48,57,FR
fire_whirl,QBVwykELBhI,30,33,ZH
fire_whirl,QvajgHTqv2k,13,22,TR
fire_whirl,QwoghxwETng,64,73,EN
fire_whirl,QwoghxwETng,135,144,EN
fire_whirl,Rckh5h0zaG8,5,10,EN
fire_whirl,rPSLZ4gxqE8,0,3,EN
fire_whirl,RtvAOLs1E00,8,9,ES
fire_whirl,ssn2kmNf0ME,6,8,EN
fire_whirl,UUpjU-q4r2E,3,12,EN
fire_whirl,Vj4nm8ijCt0,1,10,ES
fire_whirl,Vj4nm8ijCt0,13,18,ES
fire_whirl,Vj4nm8ijCt0,56,65,ES
fire_whirl,Vj4nm8ijCt0,75,84,ES
fire_whirl,vLLVUkwsUWg,31,36,EN
fire_whirl,vYM1cvtY4yQ,215,224,EN
fire_whirl,w_b6kW78pyQ,64,67,EN
fire_whirl,w_b6kW78pyQ,102,104,EN
fire_whirl,w_b6kW78pyQ,180,183,EN
fire_whirl,W9VyaVE9rNk,25,33,EN
fire_whirl,W-EhkZblefQ,31,40,ES
fire_whirl,W-EhkZblefQ,42,51,ES
fire_whirl,wWdxhmcgW5U,0,9,EN
fire_whirl,wWdxhmcgW5U,30,39,EN
fire_whirl,xbCUGTzFWtk,29,37,EN
fire_whirl,XLxHlnXKEHA,61,63,ZH
fire_whirl,xN3Ij-IKx4g,0,5,ZH
fire_whirl,Y1rks0RyNf0,101,106,EN
fire_whirl,y4S-C4HMHCs,21,24,EN
fire_whirl,y4S-C4HMHCs,42,51,EN
fire_whirl,YkLBSCJwjqo,19,25,AR
fire_whirl,YkLBSCJwjqo,32,41,AR
