label,youtube_id,time_start,time_end,lang
flooded,_1UpniAy51E,0,4,EN
flooded,_1UpniAy51E,6,9,EN
flooded,_1UpniAy51E,14,16,EN
flooded,_1UpniAy51E,20,22,EN
flooded,413ye9QDIYo,41,43,ES
flooded,413ye9QDIYo,45,47,ES
flooded,75r8TRObGZs,14,16,ES
flooded,9tquHgktyhM,11,14,EN
flooded,9tquHgktyhM,25,37,EN
flooded,9tquHgktyhM,38,54,EN
flooded,-Ad06YHgtK4,4,7,ES
flooded,AQ-nZKQFG3M,0,7,EN
flooded,AQ-nZKQFG3M,9,11,EN
flooded,AQ-nZKQFG3M,20,22,EN
flooded,AQ-nZKQFG3M,95,97,EN
flooded,cHMq6q3FoZw,0,7,AR
flooded,cHMq6q3FoZw,21,28,AR
flooded,cHMq6q3FoZw,36,44,AR
flooded,cHMq6q3FoZw,46,48,AR
flooded,cHMq6q3FoZw,58,66,AR
flooded,ehFWroGXO9w,0,11,FR
flooded,ehFWroGXO9w,15,26,FR
flooded,ehFWroGXO9w,29,34,FR
flooded,ehFWroGXO9w,37,41,FR
flooded,ehFWroGXO9w,70,77,FR
flooded,EQwEnRRE2Bo,63,66,TR
flooded,EQwEnRRE2Bo,72,74,TR
flooded,EQwEnRRE2Bo,84,94,TR
flooded,EQwEnRRE2Bo,112,114,TR
flooded,EQwEnRRE2Bo,124,126,TR
flooded,EQwEnRRE2Bo,133,137,TR
flooded,EQwEnRRE2Bo,147,153,TR
flooded,EQwEnRRE2Bo,155,157,TR
flooded,EQwEnRRE2Bo,160,162,TR
flooded,EQwEnRRE2Bo,165,168,TR
flooded,EQwEnRRE2Bo,211,214,TR
flooded,EQwEnRRE2Bo,248,250,TR
flooded,EQwEnRRE2Bo,256,258,TR
flooded,EQwEnRRE2Bo,330,332,TR
flooded,EQwEnRRE2Bo,352,354,TR
flooded,EQwEnRRE2Bo,362,364,TR
flooded,EQwEnRRE2Bo,373,376,TR
flooded,EQwEnRRE2Bo,384,389,TR
flooded,EQwEnRRE2Bo,416,420,TR
flooded,IBQFar-bm1o,38,40,EN
flooded,KZ2lwzI0KzY,11,22,AR
flooded,licNU4KuN-w,2,14,ES
flooded,licNU4KuN-w,17,19,ES
flooded,licNU4KuN-w,22,28,ES
flooded,licNU4KuN-w,54,58,ES
flooded,licNU4KuN-w,63,71,ES
flooded,licNU4KuN-w,81,89,ES
flooded,licNU4KuN-w,91,98,ES
flooded,licNU4KuN-w,110,115,ES
flooded,licNU4KuN-w,118,122,ES
flooded,N7xgb894VK8,0,3,AR
flooded,N7xgb894VK8,5,8,AR
flooded,N7xgb894VK8,15,17,AR
flooded,N7xgb894VK8,34,37,AR
flooded,N7xgb894VK8,44,46,AR
flooded,Nryb-sVBVQ8,38,44,EN
flooded,Nryb-sVBVQ8,50,55,EN
flooded,Nryb-sVBVQ8,56,60,EN
flooded,Nryb-sVBVQ8,62,64,EN
flooded,Nryb-sVBVQ8,111,117,EN
flooded,Nryb-sVBVQ8,129,132,EN
flooded,Nryb-sVBVQ8,133,136,EN
flooded,Nryb-sVBVQ8,212,216,EN
flooded,Nryb-sVBVQ8,231,233,EN
flooded,Nryb-sVBVQ8,243,248,EN
flooded,Nryb-sVBVQ8,253,258,EN
flooded,TXlBRc-bP9c,43,53,FR
flooded,TXlBRc-bP9c,56,60,FR
flooded,TXlBRc-bP9c,63,75,FR
flooded,TXlBRc-bP9c,82,97,FR
flooded,TXlBRc-bP9c,113,121,FR
flooded,TXlBRc-bP9c,132,137,FR
flooded,TXlBRc-bP9c,155,162,FR
flooded,TXlBRc-bP9c,211,227,FR
flooded,TXlBRc-bP9c,251,256,FR
flooded,TXlBRc-bP9c,264,267,FR
flooded,wv_TjYd5Da8,33,36,EN
flooded,wv_TjYd5Da8,40,43,EN
flooded,wv_TjYd5Da8,46,49,EN
flooded,wv_TjYd5Da8,51,56,EN
flooded,wv_TjYd5Da8,61,69,EN
flooded,wv_TjYd5Da8,77,82,EN
flooded,wv_TjYd5Da8,92,100,EN
flooded,wv_TjYd5Da8,127,136,EN
flooded,wv_TjYd5Da8,139,145,EN
flooded,wv_TjYd5Da8,178,187,EN
flooded,y-0-75-RQoA,0,8,ES
flooded,y-0-75-RQoA,14,19,ES
flooded,y-0-75-RQoA,21,28,ES
flooded,y-0-75-RQoA,80,88,ES
flooded,jhXcQa-C80c,4,18,ZH
flooded,jhXcQa-C80c,23,34,ZH
flooded,jhXcQa-C80c,66,80,ZH
flooded,lqol_vEAxqc,18,22,TR
flooded,Ss32VEXW83Q,10,12,ES
flooded,Uri0acYiJC0,11,20,FR
flooded,Uri0acYiJC0,22,31,FR
flooded,VtrMOWbelV8,10,19,TR
flooded,wccjj_AWA2w,20,24,DE
flooded,5sqfUKEGx9Q,182,188,EN
flooded,gHXJBwtqOBk,0,4,ZH
flooded,eSLLk9jjcdA,9,13,AR
flooded,pyYMRshu9VM,12,14,FR
flooded,mknStAMia0Q,131,135,EN
flooded,TVw6jAXQ36E,121,123,EN
flooded,MfdlUxAls08,225,232,EN
