label,youtube_id,time_start,time_end,lang
fog,0BqnfE_95C0,0,10,FR
fog,0wvdALUmhmQ,27,37,TR
fog,0ZBEOqg_fkU,0,10,ZH
fog,0ZBEOqg_fkU,36,46,ZH
fog,5U6SmTz9Y5E,13,21,TR
fog,5U6SmTz9Y5E,52,59,TR
fog,5U6SmTz9Y5E,67,77,TR
fog,7Tx-NXvd5Ak,68,78,EN
fog,7Tx-NXvd5Ak,132,142,EN
fog,7Tx-NXvd5Ak,206,216,EN
fog,9dzFXZXBwLQ,6,10,ES
fog,9dzFXZXBwLQ,12,15,ES
fog,9okEU88C6XQ,124,134,ZH
fog,9okEU88C6XQ,215,225,ZH
fog,9okEU88C6XQ,237,247,ZH
fog,9okEU88C6XQ,345,355,ZH
fog,9S1Elt1iynk,0,5,TR
fog,9S1Elt1iynk,6,11,TR
fog,9S1Elt1iynk,11,17,TR
fog,9S1Elt1iynk,17,21,TR
fog,A7nm6CEIVEs,0,10,ES
fog,A7nm6CEIVEs,15,25,ES
fog,AkR6V3S2zcM,0,10,ES
fog,AkR6V3S2zcM,12,22,ES
fog,AkR6V3S2zcM,64,74,ES
fog,AwRFbUZkfN8,6,15,AR
fog,AwRFbUZkfN8,26,36,AR
fog,B4rj-lLYPl0,0,10,ES
fog,B4rj-lLYPl0,57,67,ES
fog,B4rj-lLYPl0,131,141,ES
fog,B4rj-lLYPl0,180,190,ES
fog,B4rj-lLYPl0,285,295,ES
fog,B4rj-lLYPl0,333,343,ES
fog,B4rj-lLYPl0,433,443,ES
fog,B4rj-lLYPl0,504,514,ES
fog,D6prmzBMR-8,5,15,AR
fog,D6prmzBMR-8,29,37,AR
fog,DLC1Zgvb_sc,11,21,AR
fog,enoYh7xxAGE,42,52,FR
fog,Fox7pQZ2FgU,0,10,EN
fog,Fox7pQZ2FgU,14,24,EN
fog,hcPSfFQPhYU,0,10,ES
fog,hcPSfFQPhYU,15,25,ES
fog,hcPSfFQPhYU,27,37,ES
fog,hPXSvHH7JHY,0,10,AR
fog,hPXSvHH7JHY,19,27,AR
fog,KfVig3w6pX4,1,11,FR
fog,KfVig3w6pX4,34,44,FR
fog,lbIKN0DkB4I,0,10,EN
fog,lbIKN0DkB4I,38,48,EN
fog,lbIKN0DkB4I,69,79,EN
fog,lbIKN0DkB4I,93,103,EN
fog,lbIKN0DkB4I,120,130,EN
fog,lbIKN0DkB4I,205,215,EN
fog,lbIKN0DkB4I,275,285,EN
fog,lbIKN0DkB4I,630,640,EN
fog,m6RZP-qcovY,20,30,EN
fog,mAo0IFWQu7U,8,18,TR
fog,mAo0IFWQu7U,19,29,TR
fog,mAo0IFWQu7U,86,96,TR
fog,Mo9Ws2K4beU,5,15,EN
fog,MUBcdzfJL4I,3,11,AR
fog,MUBcdzfJL4I,54,62,AR
fog,MUBcdzfJL4I,70,77,AR
fog,mVdbPXYYG5U,0,10,AR
fog,OACvQ9zInuY,0,10,FR
fog,OACvQ9zInuY,22,32,FR
fog,OACvQ9zInuY,67,76,FR
fog,oc6tr46YhDU,59,66,TR
fog,OJqPLw6S54o,16,26,ES
fog,OJqPLw6S54o,47,57,ES
fog,OJqPLw6S54o,58,65,ES
fog,om0CybFvQkM,4,14,EN
fog,r_e3wYvcbmk,4,13,EN
fog,r_e3wYvcbmk,20,25,EN
fog,r_e3wYvcbmk,92,97,EN
fog,rAAJkJ3wJ1A,0,10,ZH
fog,rAAJkJ3wJ1A,12,22,ZH
fog,rc_ZAsatBUU,0,10,ZH
fog,rHWu_ymQAIk,4,9,ZH
fog,W7egqF8eKmQ,0,10,FR
fog,W7egqF8eKmQ,14,24,FR
fog,W7egqF8eKmQ,52,62,FR
fog,wAWAdEFZxwA,0,9,TR
fog,wAWAdEFZxwA,54,60,TR
fog,wAWAdEFZxwA,93,102,TR
fog,wxQtIH6LQmA,3,9,ZH
fog,xGcauSesEn4,0,10,TR
fog,xGcauSesEn4,31,41,TR
fog,xH5dpOox7Lo,0,10,TR
fog,xH5dpOox7Lo,23,33,TR
fog,xH5dpOox7Lo,58,68,TR
fog,xnVsCEmkPEk,5,15,EN
fog,xnVsCEmkPEk,42,52,EN
fog,xnVsCEmkPEk,106,116,EN
fog,xnVsCEmkPEk,130,140,EN
fog,xnVsCEmkPEk,217,227,EN
fog,xnVsCEmkPEk,293,303,EN
fog,-Vjkj7666NU,40,50,EN
fog,RD5I9UhbRgg,36,58,EN
fog,RD5I9UhbRgg,66,71,EN
fog,RD5I9UhbRgg,75,83,EN
fog,9LuOji4AlRs,13,22,AR
fog,0on6Os_A9Oo,17,27,EN
fog,eazmV60NcEE,43,49,ES
fog,iis_eCoPyRA,13,17,FR
