label,youtube_id,time_start,time_end,lang
heavy rainfall,1a8goq-ViWY,0,6,ES
heavy rainfall,1a8goq-ViWY,34,46,ES
heavy rainfall,1a8goq-ViWY,7,26,ES
heavy rainfall,1a8goq-ViWY,97,106,ES
heavy rainfall,4enRnN_8qPU,117,136,EN
heavy rainfall,4enRnN_8qPU,140,150,EN
heavy rainfall,4enRnN_8qPU,156,166,EN
heavy rainfall,4enRnN_8qPU,18,27,EN
heavy rainfall,4enRnN_8qPU,37,44,EN
heavy rainfall,4enRnN_8qPU,49,67,EN
heavy rainfall,4enRnN_8qPU,72,80,EN
heavy rainfall,4enRnN_8qPU,8,14,EN
heavy rainfall,4enRnN_8qPU,88,102,EN
heavy rainfall,78JAim8yeqk,1,24,ZH
heavy rainfall,DlyeMksq8qc,109,134,EN
heavy rainfall,DlyeMksq8qc,141,149,EN
heavy rainfall,DlyeMksq8qc,152,179,EN
heavy rainfall,DlyeMksq8qc,180,214,EN
heavy rainfall,DlyeMksq8qc,2,44,EN
heavy rainfall,DlyeMksq8qc,215,227,EN
heavy rainfall,DlyeMksq8qc,254,293,EN
heavy rainfall,DlyeMksq8qc,316,346,EN
heavy rainfall,DlyeMksq8qc,358,369,EN
heavy rainfall,DlyeMksq8qc,375,382,EN
heavy rainfall,DlyeMksq8qc,383,393,EN
heavy rainfall,DlyeMksq8qc,401,420,EN
heavy rainfall,DlyeMksq8qc,427,460,EN
heavy rainfall,DlyeMksq8qc,468,486,EN
heavy rainfall,DlyeMksq8qc,518,550,EN
heavy rainfall,DlyeMksq8qc,62,98,EN
heavy rainfall,e3LgnkOeQe8,0,58,TR
heavy rainfall,e3LgnkOeQe8,101,113,TR
heavy rainfall,e3LgnkOeQe8,117,140,TR
heavy rainfall,e3LgnkOeQe8,163,181,TR
heavy rainfall,e3LgnkOeQe8,213,270,TR
heavy rainfall,e3LgnkOeQe8,278,299,TR
heavy rainfall,e3LgnkOeQe8,311,359,TR
heavy rainfall,e3LgnkOeQe8,423,460,TR
heavy rainfall,e3LgnkOeQe8,461,481,TR
heavy rainfall,e3LgnkOeQe8,482,510,TR
heavy rainfall,e3LgnkOeQe8,533,560,TR
heavy rainfall,e3LgnkOeQe8,570,620,TR
heavy rainfall,e3LgnkOeQe8,61,74,TR
