label,youtube_id,time_start,time_end,lang
ice_storm,2fs7hKj0Sy4,115,125,ZH
ice_storm,2vuhdZhALbs,64,79,ZH
ice_storm,2vuhdZhALbs,177,190,ZH
ice_storm,2vuhdZhALbs,390,405,ZH
ice_storm,380z8kZC1-Y,42,46,ES
ice_storm,5im_mNN22UE,8,15,TR
ice_storm,6c88Up3anZ8,4,12,ES
ice_storm,6lXQza9rzSs,1,7,TR
ice_storm,8SurGM1jMvA,43,61,EN
ice_storm,8SurGM1jMvA,74,82,EN
ice_storm,8SurGM1jMvA,96,100,EN
ice_storm,8SurGM1jMvA,201,210,EN
ice_storm,CqSliwq4Krw,16,20,AR
ice_storm,CqSliwq4Krw,66,72,AR
ice_storm,DaUdOvgBNPg,5,15,ZH
ice_storm,DGQe9Yl07uM,939,949,FR
ice_storm,dKokGgSj0c8,230,233,ES
ice_storm,Dr15LGSvWNY,18,24,ES
ice_storm,Dr15LGSvWNY,48,58,ES
ice_storm,Dr15LGSvWNY,69,75,ES
ice_storm,Dr15LGSvWNY,78,81,ES
ice_storm,Dr15LGSvWNY,84,88,ES
ice_storm,ea_lpwD9IPU,320,327,ZH
ice_storm,fjB3JqL4FZA,111,115,FR
ice_storm,FlgvZh0Qm2Q,8,16,RU
ice_storm,FlgvZh0Qm2Q,23,30,RU
ice_storm,FlgvZh0Qm2Q,69,72,AR
ice_storm,GjsBiSH0OE4,15,24,TR
ice_storm,GjsBiSH0OE4,311,319,TR
ice_storm,Gyq5PnKG_0Y,65,70,ZH
ice_storm,HBoSXEohWwo,16,22,ZH
ice_storm,HBoSXEohWwo,44,50,ZH
ice_storm,IR_J_Rih1O0,75,88,ES
ice_storm,-iVWbdP4xfM,1,5,DA
ice_storm,jxGEtOo8mtY,65,72,TR
ice_storm,jxGEtOo8mtY,163,168,TR
ice_storm,KlBvFv52fjI,623,632,EN
ice_storm,KlBvFv52fjI,672,684,EN
ice_storm,m7e96zGuX2s,76,84,AR
ice_storm,MR19sb5HEYM,146,155,TR
ice_storm,nVUoaYQ17aU,9,14,EN
ice_storm,nVUoaYQ17aU,35,42,EN
ice_storm,nVUoaYQ17aU,107,111,EN
ice_storm,oQqLcHxbOr4,3,7,EN
ice_storm,oQqLcHxbOr4,36,42,EN
ice_storm,oQqLcHxbOr4,378,382,EN
ice_storm,OrWCqn0sLZ4,7,10,EN
ice_storm,Ph2Tw62Bggo,7,13,TR
ice_storm,Ph2Tw62Bggo,155,165,TR
ice_storm,Ph2Tw62Bggo,213,218,TR
ice_storm,QBfwzq5w1YE,21,28,ZH
ice_storm,QBfwzq5w1YE,77,81,ZH
ice_storm,r0-IK2B4PlA,85,92,EN
ice_storm,r0-IK2B4PlA,439,445,EN
ice_storm,r5Zm8vnuguA,34,42,FR
ice_storm,r5Zm8vnuguA,300,312,FR
ice_storm,rcFuO9Ll-rA,52,62,EN
ice_storm,Sk7Ke5KhjOU,471,474,TR
ice_storm,sn08h2wHfi4,3,8,ES
ice_storm,sn08h2wHfi4,16,23,ES
ice_storm,sn08h2wHfi4,32,35,ES
ice_storm,sn08h2wHfi4,76,79,ES
ice_storm,SXCM5EuhwnM,7,17,IT
ice_storm,SXCM5EuhwnM,26,29,IT
ice_storm,TUSCkFBojh0,123,130,ZH
ice_storm,u9RhK6PhYK4,44,46,EN
ice_storm,UfK5g3XVIlI,100,102,TR
ice_storm,vL_gk5uZvOA,45,57,TR
ice_storm,vL_gk5uZvOA,97,104,TR
ice_storm,wZ9_vveW1oo,42,47,ES
ice_storm,xuIOFiO4otE,15,20,ES
ice_storm,YoasJLe8L9g,1,9,EN
ice_storm,YoasJLe8L9g,26,35,EN
ice_storm,YoasJLe8L9g,50,60,EN
ice_storm,YoasJLe8L9g,82,119,EN
ice_storm,YoasJLe8L9g,142,155,EN
ice_storm,kwEprehK5QY,170,176,FR
ice_storm,r7QOZe2f_4I,301,311,FR
ice_storm,8Nr39RoHtgw,67,74,EN
ice_storm,8Nr39RoHtgw,284,301,EN
ice_storm,laGTszM6L1Q,25,35,AR
ice_storm,YcKonURcP44,26,29,EN
ice_storm,ztsRHeGGzF0,537,539,EN
ice_storm,i59v0p-gAtk,54,62,EN
