label,youtube_id,time_start,time_end,lang
landslide,5sqfUKEGx9Q,11,20,EN
landslide,5sqfUKEGx9Q,24,33,EN
landslide,5sqfUKEGx9Q,42,46,EN
landslide,5sqfUKEGx9Q,47,50,EN
landslide,5sqfUKEGx9Q,161,170,EN
landslide,5sqfUKEGx9Q,171,179,EN
landslide,5sqfUKEGx9Q,198,207,EN
landslide,5sqfUKEGx9Q,216,225,EN
landslide,5sqfUKEGx9Q,238,246,EN
landslide,5sqfUKEGx9Q,279,288,EN
landslide,5sqfUKEGx9Q,290,297,EN
landslide,5sqfUKEGx9Q,355,359,EN
landslide,5sqfUKEGx9Q,408,417,EN
landslide,5sqfUKEGx9Q,442,450,EN
landslide,5sqfUKEGx9Q,455,464,EN
landslide,5sqfUKEGx9Q,491,495,EN
landslide,5sqfUKEGx9Q,497,504,EN
landslide,5sqfUKEGx9Q,508,517,EN
landslide,5sqfUKEGx9Q,573,582,EN
landslide,b039YSNHIOc,5,14,EN
landslide,b039YSNHIOc,21,24,EN
landslide,b039YSNHIOc,33,41,EN
landslide,mknStAMia0Q,59,61,EN
landslide,wa9yX4xuCv4,7,12,EN
landslide,wa9yX4xuCv4,77,80,EN
landslide,wa9yX4xuCv4,102,106,EN
landslide,wa9yX4xuCv4,116,124,EN
landslide,wa9yX4xuCv4,126,134,EN
landslide,wa9yX4xuCv4,142,147,EN
landslide,wa9yX4xuCv4,149,156,EN
landslide,wa9yX4xuCv4,194,196,EN
landslide,wa9yX4xuCv4,198,200,EN
landslide,wa9yX4xuCv4,201,207,EN
landslide,wa9yX4xuCv4,208,212,EN
landslide,wa9yX4xuCv4,416,425,EN
landslide,wa9yX4xuCv4,483,492,EN
landslide,wa9yX4xuCv4,506,508,EN
landslide,wa9yX4xuCv4,536,543,EN
landslide,wa9yX4xuCv4,549,557,EN
landslide,wa9yX4xuCv4,590,599,EN
landslide,yzuLA9InxsQ,1,5,TR
landslide,yzuLA9InxsQ,10,16,TR
landslide,yzuLA9InxsQ,47,55,TR
landslide,yzuLA9InxsQ,63,72,TR
landslide,yzuLA9InxsQ,77,86,TR
landslide,yzuLA9InxsQ,98,107,TR
landslide,yzuLA9InxsQ,110,119,TR
landslide,yzuLA9InxsQ,129,138,TR
landslide,yzuLA9InxsQ,147,156,TR
landslide,yzuLA9InxsQ,174,183,TR
landslide,yzuLA9InxsQ,201,210,TR
landslide,yzuLA9InxsQ,217,226,TR
landslide,yzuLA9InxsQ,227,236,TR
landslide,yzuLA9InxsQ,292,301,TR
landslide,yzuLA9InxsQ,302,311,TR
landslide,yzuLA9InxsQ,314,323,TR
landslide,yzuLA9InxsQ,348,354,TR
landslide,yzuLA9InxsQ,391,399,TR
landslide,yzuLA9InxsQ,442,451,TR
landslide,yzuLA9InxsQ,453,462,TR
landslide,yzuLA9InxsQ,482,491,TR
landslide,yzuLA9InxsQ,494,503,TR
landslide,yzuLA9InxsQ,546,554,TR
landslide,yzuLA9InxsQ,555,563,TR
landslide,yzuLA9InxsQ,571,580,TR
landslide,_qzynb6KGiA,16,20,TR
landslide,_qzynb6KGiA,27,29,TR
landslide,4jSFEslThGE,37,47,EN
landslide,ACSgKGxtx70,11,19,HI
landslide,m98KFM_2Rf4,173,177,ZH
landslide,mW9wVjGvB4Y,28,46,EN
landslide,yZIVPMiNJOQ,6,15,ZH
landslide,DFSpBO7mKrI,64,67,ZH
landslide,zw32UFybrOI,23,31,AR
landslide,5gMHLpnJyiI,16,21,TR
landslide,nLmu2RCW5cg,45,57,TR
landslide,ots3Rd8Uqzs,51,60,TR
landslide,qagiY-qkzfI,90,102,ZH
landslide,nITbz8t6D68,26,40,EN
landslide,nITbz8t6D68,65,73,EN
landslide,nITbz8t6D68,114,135,EN
landslide,VOyiuYnOa-E,114,141,EN
landslide,VOyiuYnOa-E,189,203,EN
landslide,VOyiuYnOa-E,208,221,EN
landslide,VOyiuYnOa-E,227,259,EN
landslide,VOyiuYnOa-E,262,310,EN
landslide,VOyiuYnOa-E,327,349,EN
landslide,VOyiuYnOa-E,357,380,EN
landslide,VOyiuYnOa-E,387,402,EN
landslide,VOyiuYnOa-E,415,435,EN
landslide,wa9yX4xuCv4,0,11,EN
landslide,zPSuBziOvZM,48,64,ES
landslide,6rqr_RhoL7I,103,121,ES
landslide,fLjIyQySBTI,40,45,AR
landslide,fLjIyQySBTI,55,65,AR
landslide,fLjIyQySBTI,115,123,AR
landslide,kthJtgWh1mQ,47,63,ES
landslide,Sx7gpCRDizk,40,70,EN
landslide,Sx7gpCRDizk,238,243,EN
landslide,zPSuBziOvZM,306,309,ES
landslide,VOyiuYnOa-E,147,168,EN
landslide,nITbz8t6D68,89,95,EN
landslide,nITbz8t6D68,183,192,EN
landslide,wa9yX4xuCv4,524,528,EN
landslide,jjeCDYvGJS8,4,59,EN
landslide,wa9yX4xuCv4,166,172,EN
landslide,wa9yX4xuCv4,316,319,EN
landslide,wa9yX4xuCv4,373,379,EN
