label,youtube_id,time_start,time_end,lang
motorcycle_accident,3wwnswKFC7s,42,48,ES
motorcycle_accident,3wwnswKFC7s,102,108,ES
motorcycle_accident,3wwnswKFC7s,131,136,ES
motorcycle_accident,5_2AwkI2VEc,3,8,ES
motorcycle_accident,5_2AwkI2VEc,62,68,ES
motorcycle_accident,5_2AwkI2VEc,86,91,ES
motorcycle_accident,5_2AwkI2VEc,118,126,ES
motorcycle_accident,5_2AwkI2VEc,159,169,ES
motorcycle_accident,6pgB6-82aF8,36,42,AR
motorcycle_accident,6pgB6-82aF8,58,65,AR
motorcycle_accident,6pgB6-82aF8,194,199,AR
motorcycle_accident,7ELwUvpHEyk,137,143,TR
motorcycle_accident,7ELwUvpHEyk,249,252,TR
motorcycle_accident,9XNIpk51gOU,21,28,AR
motorcycle_accident,As1kbtgO7fM,256,262,FR
motorcycle_accident,BOaktdf-A_k,15,20,FR
motorcycle_accident,BOaktdf-A_k,29,33,FR
motorcycle_accident,BOaktdf-A_k,42,45,FR
motorcycle_accident,BOaktdf-A_k,60,66,FR
motorcycle_accident,BOaktdf-A_k,84,88,FR
motorcycle_accident,CVgNPi0Dk5g,25,29,AR
motorcycle_accident,gZGCkXumIQM,25,30,ZH
motorcycle_accident,gZGCkXumIQM,101,107,ZH
motorcycle_accident,gZGCkXumIQM,233,239,ZH
motorcycle_accident,gZGCkXumIQM,379,383,ZH
motorcycle_accident,gZGCkXumIQM,453,457,ZH
motorcycle_accident,gZGCkXumIQM,586,594,ZH
motorcycle_accident,h8vVDvJxDFA,275,282,TR
motorcycle_accident,h8vVDvJxDFA,413,421,TR
motorcycle_accident,hbS8Q2pe9yo,202,208,FR
motorcycle_accident,hODIozuQto4,148,153,TR
motorcycle_accident,i6sqBhaMDug,65,72,ES
motorcycle_accident,i6sqBhaMDug,281,288,ES
motorcycle_accident,OW5XRYQHv0c,8,12,FR
motorcycle_accident,OW5XRYQHv0c,48,52,FR
motorcycle_accident,OW5XRYQHv0c,116,120,FR
motorcycle_accident,OW5XRYQHv0c,162,167,FR
motorcycle_accident,phXz2asEF8s,543,548,AR
motorcycle_accident,qZ-Er8XR0RY,72,76,AR
motorcycle_accident,rGW7j2a4Fs0,9,19,AR
motorcycle_accident,ru6-aspyxfc,7,12,ZH
motorcycle_accident,sH2rCrkfuXo,17,21,ZH
motorcycle_accident,sH2rCrkfuXo,88,92,ZH
motorcycle_accident,sH2rCrkfuXo,155,160,ZH
motorcycle_accident,sH2rCrkfuXo,207,210,ZH
motorcycle_accident,siqXK4f-r5c,110,115,FR
motorcycle_accident,siqXK4f-r5c,134,144,FR
motorcycle_accident,siqXK4f-r5c,153,158,FR
motorcycle_accident,tlyQOEe_OQY,5,9,AR
motorcycle_accident,uHTOZNY5b_Y,17,20,AR
motorcycle_accident,wv9wuw2gTY4,65,71,ES
motorcycle_accident,wv9wuw2gTY4,123,128,ES
motorcycle_accident,zZE_kAS7d00,91,97,TR
motorcycle_accident,zZE_kAS7d00,303,308,TR
motorcycle_accident,zZE_kAS7d00,388,395,TR
motorcycle_accident,zZE_kAS7d00,523,529,TR
motorcycle_accident,zZE_kAS7d00,548,555,TR
motorcycle accident,3UxuTuSJTS0,2,8,EN
motorcycle accident,3UxuTuSJTS0,39,46,EN
motorcycle accident,3UxuTuSJTS0,98,102,EN
motorcycle accident,3UxuTuSJTS0,104,108,EN
motorcycle accident,3UxuTuSJTS0,127,134,EN
motorcycle accident,3UxuTuSJTS0,135,140,EN
motorcycle accident,3UxuTuSJTS0,140,146,EN
motorcycle accident,3UxuTuSJTS0,147,152,EN
motorcycle accident,3UxuTuSJTS0,180,189,EN
motorcycle accident,3UxuTuSJTS0,198,203,EN
motorcycle accident,3UxuTuSJTS0,205,211,EN
motorcycle accident,3UxuTuSJTS0,224,231,EN
motorcycle accident,3UxuTuSJTS0,392,394,EN
motorcycle accident,3UxuTuSJTS0,396,404,EN
motorcycle accident,3UxuTuSJTS0,408,411,EN
motorcycle accident,3UxuTuSJTS0,413,419,EN
motorcycle accident,3UxuTuSJTS0,723,728,EN
motorcycle accident,3UxuTuSJTS0,983,988,EN
motorcycle accident,41SpIsJ4AvY,0,9,
motorcycle accident,7Stt0mzEIZM,435,444,EN
motorcycle accident,7Y36RrB3rrQ,0,9,EN
motorcycle accident,8FGrneFFgWA,12,17,EN
motorcycle accident,9em294IeLJ0,11,14,EN
motorcycle accident,9em294IeLJ0,15,19,EN
motorcycle accident,9em294IeLJ0,30,40,EN
motorcycle accident,9em294IeLJ0,70,79,EN
motorcycle accident,9em294IeLJ0,142,152,EN
motorcycle accident,9em294IeLJ0,198,205,EN
motorcycle accident,9em294IeLJ0,260,266,EN
motorcycle accident,b7Y7qLxX1Nk,9,17,EN
motorcycle accident,btU2RQE_7xc,696,704,EN
motorcycle accident,dMsYT_7xNfg,257,263,EN
motorcycle accident,DmVExNtnepg,6,10,EN
motorcycle accident,gt6tr2Ofi14,16,24,EN
motorcycle accident,j67grfp3tvY,6,10,EN
motorcycle accident,jQdj4eKYgMs,13,15,EN
motorcycle accident,kVl-6-A9ZO4,87,92,EN
motorcycle accident,kVl-6-A9ZO4,173,180,EN
motorcycle accident,kVl-6-A9ZO4,245,253,EN
motorcycle accident,MfdlUxAls08,44,49,EN
motorcycle accident,MfdlUxAls08,96,101,EN
motorcycle accident,MfdlUxAls08,126,130,EN
motorcycle accident,MfdlUxAls08,348,354,EN
motorcycle accident,MfdlUxAls08,380,385,EN
motorcycle accident,oArMGDfat_E,12,20,TR
motorcycle accident,pVrkAVvdbzY,0,6,EN
motorcycle accident,tLZbaek9spw,99,106,EN
motorcycle accident,tLZbaek9spw,158,167,EN
motorcycle accident,UoqQqHlAr3E,0,6,EN
motorcycle accident,UoqQqHlAr3E,17,27,EN
motorcycle accident,UoqQqHlAr3E,81,88,EN
motorcycle accident,UoqQqHlAr3E,243,253,EN
motorcycle accident,UoqQqHlAr3E,289,299,EN
motorcycle accident,WhYXHNSIiaY,112,116,EN
motorcycle accident,WhYXHNSIiaY,145,149,EN
motorcycle accident,x7tCqIRG8gs,2,9,EN
motorcycle accident,x7tCqIRG8gs,9,17,EN
motorcycle accident,xJpmgYx_X-4,202,211,EN
motorcycle accident,cZ8gsxJfRSA,15,20,ZH
motorcycle accident,R1tZRoKHnWY,73,79,ZH
motorcycle accident,ACSgKGxtx70,11,19,HI
motorcycle accident,8rqYIXUVseQ,20,24,FR
motorcycle accident,tLZbaek9spw,433,438,EN
motorcycle accident,M6L6XcqDkLc,234,242,EN
