label,youtube_id,time_start,time_end,lang
mudslide mudflow,791o4LPqJWc,0,13,EN
mudslide mudflow,791o4LPqJWc,17,23,EN
mudslide mudflow,791o4LPqJWc,33,58,EN
mudslide mudflow,791o4LPqJWc,81,83,EN
mudslide mudflow,791o4LPqJWc,90,97,EN
mudslide mudflow,gHXJBwtqOBk,104,107,ZH
mudslide mudflow,gHXJBwtqOBk,15,28,ZH
mudslide mudflow,gHXJBwtqOBk,32,37,ZH
mudslide mudflow,gHXJBwtqOBk,45,53,ZH
mudslide mudflow,gHXJBwtqOBk,99,101,ZH
mudslide mudflow,mly2KzNKOuU,52,55,EN
mudslide mudflow,nITbz8t6D68,45,59,EN
mudslide mudflow,VIB8IbP0FgE,62,72,ZH
mudslide mudflow,VIB8IbP0FgE,8,29,ZH
mudslide mudflow,VOyiuYnOa-E,1,8,EN
mudslide mudflow,VOyiuYnOa-E,104,107,EN
mudslide mudflow,VOyiuYnOa-E,147,168,EN
mudslide mudflow,VOyiuYnOa-E,182,186,EN
mudslide mudflow,VOyiuYnOa-E,24,45,EN
mudslide mudflow,VOyiuYnOa-E,53,76,EN
mudslide mudflow,VOyiuYnOa-E,83,99,EN
mudslide mudflow,wa9yX4xuCv4,253,259,EN
mudslide mudflow,wa9yX4xuCv4,295,297,EN
mudslide mudflow,wa9yX4xuCv4,39,41,EN
mudslide mudflow,zIcd6OI2oEc,2,30,EN
mudslide mudflow,zIcd6OI2oEc,31,60,EN
mudslide mudflow,zIcd6OI2oEc,61,90,EN
mudslide mudflow,zIcd6OI2oEc,91,120,EN
mudslide mudflow,dt53JmmwLnE,10,21,EN
mudslide mudflow,dt53JmmwLnE,25,34,EN
mudslide mudflow,dt53JmmwLnE,36,39,EN
mudslide mudflow,dt53JmmwLnE,54,59,EN
mudslide mudflow,dt53JmmwLnE,60,64,EN
mudslide mudflow,dt53JmmwLnE,71,74,EN
mudslide mudflow,dt53JmmwLnE,77,83,EN
mudslide mudflow,dt53JmmwLnE,93,95,EN
mudslide mudflow,dt53JmmwLnE,98,102,EN
mudslide mudflow,dt53JmmwLnE,107,109,EN
mudslide mudflow,dt53JmmwLnE,117,122,EN
mudslide mudflow,dt53JmmwLnE,142,145,EN
mudslide mudflow,dt53JmmwLnE,161,166,EN
mudslide mudflow,dt53JmmwLnE,171,174,EN
mudslide mudflow,n1cCs-S5EKc,111,130,EN
mudslide mudflow,NBH4BVtd5yE,35,40,EN
mudslide mudflow,TVw6jAXQ36E,49,53,EN
mudslide mudflow,iov_sBDT4CY,53,55,EN
mudslide mudflow,iov_sBDT4CY,57,59,EN
mudslide mudflow,iov_sBDT4CY,66,69,EN
mudslide mudflow,f73jko6Oz-E,9,11,EN
mudslide mudflow,f73jko6Oz-E,16,18,EN
mudslide mudflow,f73jko6Oz-E,30,37,EN
mudslide mudflow,erM7d0vUWz0,4,10,EN
mudslide mudflow,erM7d0vUWz0,99,102,EN
mudslide mudflow,U0S_sadisj0,0,57,EN
mudslide mudflow,7q7gDr40h9U,0,27,EN
mudslide mudflow,7q7gDr40h9U,57,74,EN
mudslide mudflow,7q7gDr40h9U,95,97,EN
mudslide mudflow,7q7gDr40h9U,103,106,EN
mudslide mudflow,7q7gDr40h9U,107,112,EN
mudslide mudflow,7q7gDr40h9U,148,152,EN
mudslide mudflow,7q7gDr40h9U,158,162,EN
mudslide mudflow,7q7gDr40h9U,168,172,EN
mudslide mudflow,7q7gDr40h9U,177,183,EN
mudslide mudflow,7q7gDr40h9U,185,193,EN
mudslide mudflow,7q7gDr40h9U,202,209,EN
mudslide mudflow,7q7gDr40h9U,223,259,EN
mudslide mudflow,7q7gDr40h9U,283,285,EN
mudslide mudflow,44GYQ4RT3fk,8,20,EN
mudslide mudflow,44GYQ4RT3fk,22,24,EN
mudslide mudflow,44GYQ4RT3fk,27,36,EN
mudslide mudflow,44GYQ4RT3fk,57,69,EN
mudslide mudflow,Q-aKGQ-qhfQ,1,40,EN
mudslide mudflow,Q-aKGQ-qhfQ,89,129,EN
mudslide mudflow,Q-aKGQ-qhfQ,199,258,EN
mudslide mudflow,Q-aKGQ-qhfQ,380,408,EN
mudslide mudflow,h-xsh9ixYIE,20,57,EN
mudslide mudflow,43R3mjiNBKc,3,42,EN
mudslide mudflow,43R3mjiNBKc,73,88,EN
mudslide mudflow,8mrvioEUaII,1,20,ZH
mudslide mudflow,8mrvioEUaII,28,46,ZH
mudslide mudflow,zr1sopt7GeE,1,6,EN
mudslide mudflow,zr1sopt7GeE,38,56,EN
mudslide mudflow,zr1sopt7GeE,75,88,EN
mudslide mudflow,jSLdCBwNLL8,40,51,FR
mudslide mudflow,MwgFuSuAhYs,43,52,TR
mudslide mudflow,MwgFuSuAhYs,188,200,TR
mudslide mudflow,_r34OWZCW4g,216,220,EN
mudslide mudflow,_r34OWZCW4g,577,580,EN
mudslide mudflow,_r34OWZCW4g,853,855,EN
mudslide mudflow,mknStAMia0Q,80,83,EN
mudslide mudflow,wa9yX4xuCv4,221,224,EN
mudslide mudflow,amkESLSdN6I,20,26,EN
mudslide mudflow,amkESLSdN6I,29,34,EN
