label,youtube_id,time_start,time_end,lang
oil_spill,2zKUa_DwYaI,17,23,TR
oil_spill,3DbSlAg3F3A,28,30,EN
oil_spill,3DbSlAg3F3A,58,61,EN
oil_spill,3DbSlAg3F3A,87,89,EN
oil_spill,-3dEkHWk-qI,29,32,ES
oil_spill,-3dEkHWk-qI,49,53,ES
oil_spill,3-ULlIyR3is,21,23,EN
oil_spill,3-ULlIyR3is,129,139,EN
oil_spill,64zy62ODI7Q,143,146,FR
oil_spill,64zy62ODI7Q,454,456,FR
oil_spill,64zy62ODI7Q,856,860,FR
oil_spill,64zy62ODI7Q,861,866,FR
oil_spill,64zy62ODI7Q,998,1002,FR
oil_spill,64zy62ODI7Q,1119,1122,FR
oil_spill,64zy62ODI7Q,1163,1166,FR
oil_spill,64zy62ODI7Q,1365,1370,FR
oil_spill,64zy62ODI7Q,1373,1375,FR
oil_spill,9V4MMK8PDes,12,19,ES
oil_spill,9V4MMK8PDes,59,66,ES
oil_spill,9V4MMK8PDes,237,240,ES
oil_spill,A3BQufr40yU,13,15,TR
oil_spill,A3BQufr40yU,17,20,TR
oil_spill,A3BQufr40yU,24,27,TR
oil_spill,A3BQufr40yU,184,189,TR
oil_spill,A3BQufr40yU,199,204,TR
oil_spill,A3BQufr40yU,213,215,TR
oil_spill,A3BQufr40yU,511,513,TR
oil_spill,A3BQufr40yU,514,517,TR
oil_spill,AQqfd9DVMBM,189,192,FR
oil_spill,AQqfd9DVMBM,216,219,FR
oil_spill,AQqfd9DVMBM,234,237,FR
oil_spill,AQqfd9DVMBM,239,244,FR
oil_spill,AQqfd9DVMBM,246,250,FR
oil_spill,AQqfd9DVMBM,294,301,FR
oil_spill,AQqfd9DVMBM,351,354,FR
oil_spill,AQqfd9DVMBM,360,366,FR
oil_spill,cDTUik39mkU,5,8,AR
oil_spill,cDTUik39mkU,12,15,AR
oil_spill,cDTUik39mkU,21,26,AR
oil_spill,cDTUik39mkU,92,96,AR
oil_spill,Cwk5uqEvDo4,51,53,ZH
oil_spill,Cwk5uqEvDo4,61,63,ZH
oil_spill,Cwk5uqEvDo4,112,114,ZH
oil_spill,CzkhAMUifTY,41,45,EN
oil_spill,CzkhAMUifTY,279,281,EN
oil_spill,CzkhAMUifTY,408,412,EN
oil_spill,ECjOaDcikT8,0,5,FR
oil_spill,ECjOaDcikT8,78,80,FR
oil_spill,EYQXmFUWntg,7,10,AR
oil_spill,Fkna8lwmy28,226,230,ZH
oil_spill,Fkna8lwmy28,231,235,ZH
oil_spill,Fkna8lwmy28,304,308,ZH
oil_spill,I0Gufo7Vt6Y,0,7,TR
oil_spill,I0Gufo7Vt6Y,33,40,TR
oil_spill,I0Gufo7Vt6Y,66,71,TR
oil_spill,JuqLfH1SW98,40,42,EN
oil_spill,JuqLfH1SW98,226,229,EN
oil_spill,kQPg94XS74M,0,5,AR
oil_spill,LiiKZvM_0wg,0,10,ZH
oil_spill,LiiKZvM_0wg,42,47,ZH
oil_spill,LiiKZvM_0wg,123,126,ZH
oil_spill,LiiKZvM_0wg,227,234,ZH
oil_spill,MOqrB8g4mzo,46,48,EN
oil_spill,MOqrB8g4mzo,50,52,EN
oil_spill,MOqrB8g4mzo,72,74,EN
oil_spill,MOqrB8g4mzo,76,78,EN
oil_spill,MOqrB8g4mzo,85,87,EN
oil_spill,NeN3BU3MJ5U,13,15,ES
oil_spill,NeN3BU3MJ5U,92,97,ES
oil_spill,NHOWa-JjIMA,326,329,EN
oil_spill,ri-totKBrUY,0,2,AR
oil_spill,ri-totKBrUY,13,16,AR
oil_spill,UkXb2Al6YeM,0,8,ES
oil_spill,UkXb2Al6YeM,13,15,ES
oil_spill,UkXb2Al6YeM,17,20,ES
oil_spill,VaRdUHrUnBs,11,13,EN
oil_spill,VaRdUHrUnBs,35,38,EN
oil_spill,VaRdUHrUnBs,136,140,EN
oil_spill,VaRdUHrUnBs,236,243,EN
oil_spill,VaRdUHrUnBs,444,446,EN
oil_spill,VaRdUHrUnBs,588,592,EN
oil_spill,VaRdUHrUnBs,697,700,EN
oil_spill,VaRdUHrUnBs,702,706,EN
oil_spill,VaRdUHrUnBs,709,714,EN
oil_spill,vbl7QeqfE-Q,2487,2490,EN
oil_spill,vbl7QeqfE-Q,2499,2504,EN
oil_spill,W_3yvUKyeZs,0,4,FR
oil_spill,W_3yvUKyeZs,25,30,FR
oil_spill,W_3yvUKyeZs,32,37,FR
oil_spill,W_3yvUKyeZs,87,91,FR
oil_spill,yTQM9TYq8M0,47,51,ZH
oil_spill,yTQM9TYq8M0,51,55,ZH
oil_spill,ZLSKIk8wNT8,628,637,TR
oil_spill,ZLSKIk8wNT8,638,643,TR
oil_spill,ZLSKIk8wNT8,666,672,TR
oil_spill,ZLSKIk8wNT8,679,682,TR
oil_spill,ZLSKIk8wNT8,695,701,TR
oil_spill,zP_IREEUjnY,27,31,AR
oil_spill,zP_IREEUjnY,87,89,AR
oil_spill,ZxjqJ583X1Q,8,12,ES
oil_spill,ZxjqJ583X1Q,121,127,ES
