label,youtube_id,time_start,time_end,lang
on fire,0Enp2Zoy0iQ,134,143,AR
on fire,1yP9tldapec,33,41,TR
on fire,1Z2K6lDt76M,1772,1781,EN
on fire,1Z2K6lDt76M,1981,1990,EN
on fire,5feixme9kC0,71,80,AR
on fire,7BhDwVefhP8,0,6,EN
on fire,7BhDwVefhP8,21,28,EN
on fire,7BhDwVefhP8,66,71,EN
on fire,7BhDwVefhP8,72,80,EN
on fire,7BhDwVefhP8,90,99,EN
on fire,8CcqzjH9Jno,18,27,EN
on fire,8CcqzjH9Jno,495,504,EN
on fire,A29sJz5cY2A,120,129,AR
on fire,caFIldooNnU,689,698,FR
on fire,caFIldooNnU,751,760,FR
on fire,caFIldooNnU,998,1007,FR
on fire,caFIldooNnU,1389,1398,FR
on fire,caFIldooNnU,1560,1569,FR
on fire,caFIldooNnU,1952,1961,FR
on fire,CbsjcpTxzrU,4,9,EN
on fire,CbsjcpTxzrU,11,16,EN
on fire,CtoljfaCcl4,1005,1014,EN
on fire,D7I4imVQd94,141,143,ES
on fire,dau1GDgJKLA,0,9,EN
on fire,dau1GDgJKLA,190,199,EN
on fire,DEq1miJCI3w,3,12,ES
on fire,djhoR8egfRw,8,17,ZH
on fire,EKe9gOGeIMU,1,10,ES
on fire,eW70mP_bbfo,63,72,EN
on fire,eW70mP_bbfo,490,499,EN
on fire,F-Bay7jgp80,9,15,ZH
on fire,Fev1A7c6ZLo,59,66,EN
on fire,fovSNCoYfbY,19,28,EN
on fire,GobOZ0NQcQs,102,111,TR
on fire,gLn3z_LYVdg,243,246,ES
on fire,h7j_9_is2vg,51,54,ZH
on fire,IM-Cm3Dok9Y,20,27,ZH
on fire,IPrweK2KVwE,9,12,FR
on fire,IPrweK2KVwE,31,37,FR
on fire,JUUn0iXMNAs,6,15,FR
on fire,JZJV-DguOH0,39,47,TR
on fire,KqheX6DQG74,102,111,TR
on fire,l9sjBQW3D9Y,183,192,EN
on fire,l9sjBQW3D9Y,291,300,EN
on fire,l9sjBQW3D9Y,524,533,EN
on fire,l9sjBQW3D9Y,649,654,EN
on fire,l9sjBQW3D9Y,734,742,EN
on fire,l9sjBQW3D9Y,1245,1253,EN
on fire,l9sjBQW3D9Y,1689,1694,EN
on fire,l9sjBQW3D9Y,1705,1712,EN
on fire,l9sjBQW3D9Y,1757,1764,EN
on fire,LoQzORagYxs,403,412,EN
on fire,MPHt6mRDfVw,20,21,ZH
on fire,mtE9bkv3oJM,374,378,ES
on fire,NK5NZ7S3C20,2,11,FR
on fire,nR3r_yfnefQ,3,12,AR
on fire,oG3qU1MksFc,0,6,ES
on fire,oG3qU1MksFc,43,52,ES
on fire,Ow41RTOeB_A,107,114,TR
on fire,Ow41RTOeB_A,116,119,TR
on fire,Pk2NZ9Q2_o8,284,286,TR
on fire,PzRQPofxxoo,43,52,AR
on fire,Q95GQ_iots8,13,22,ES
on fire,r4JRvfManv0,13,16,EN
on fire,r4JRvfManv0,30,38,EN
on fire,r9GJ2gSJK7Y,70,79,ZH
on fire,TInNIhu9VCI,6,12,EN
on fire,TInNIhu9VCI,165,174,EN
on fire,TInNIhu9VCI,286,295,EN
on fire,TInNIhu9VCI,351,360,EN
on fire,TInNIhu9VCI,724,733,EN
on fire,Tq6kULIU8vc,57,66,EN
on fire,Tq6kULIU8vc,116,123,EN
on fire,tYx1LECtw9M,154,163,ES
on fire,U2EY0I9YuLI,10,19,AR
on fire,UfrXowtnKqE,0,9,AR
on fire,v-99bELNeVA,0,9,AR
on fire,Vc2JZEA7su4,20,22,ZH
on fire,Ve33BcHx1L0,178,187,EN
on fire,Ve33BcHx1L0,233,242,EN
on fire,Ve33BcHx1L0,283,287,EN
on fire,VUKbyeowD5Q,6,8,AR
on fire,WAz0VA_mfQ4,5,14,ES
on fire,WAz0VA_mfQ4,1718,1727,ES
on fire,Wp88QaUm92Q,12,19,EN
on fire,Wp88QaUm92Q,50,59,EN
on fire,Wp88QaUm92Q,321,330,EN
on fire,wwOabVi6cWA,2,11,ZH
on fire,xQJuXmLJwwk,41,49,ZH
on fire,Z2BWPga5nzo,1,10,TR
on fire,Z4-7tltnFxI,1,10,TR
on fire,Z4-7tltnFxI,37,45,TR
on fire,KqqxiW9WCnE,11,20,EN
on fire,0Ur-3uo2SJU,492,495,EN
on fire,lGeXJgme2_s,77,80,EN
on fire,OwDyJhydrFc,22,31,ZH
on fire,lGeXJgme2_s,94,98,EN
on fire,7BhDwVefhP8,116,125,EN
on fire,7BhDwVefhP8,141,150,EN
on fire,7BhDwVefhP8,176,183,EN
on fire,7BhDwVefhP8,226,232,EN
on fire,7BhDwVefhP8,234,243,EN
on fire,7BhDwVefhP8,266,275,EN
on fire,l9sjBQW3D9Y,791,800,EN
on fire,l9sjBQW3D9Y,1539,1544,EN
on fire,lGeXJgme2_s,99,103,EN
on fire,sO3ZWEypaaE,0,7,TR
on fire,5hOrIXlXNFo,173,182,EN
on fire,5hghT1W33cY,110,114,EN
