label,youtube_id,time_start,time_end,lang
rockslide rockfall,_LHwYupe_WE,40,50,FR
rockslide rockfall,_r34OWZCW4g,483,485,EN
rockslide rockfall,_TSlc5KqDu4,53,63,ES
rockslide rockfall,_TSlc5KqDu4,82,93,ES
rockslide rockfall,_TSlc5KqDu4,96,115,ES
rockslide rockfall,2nvVuRmJmko,16,30,ES
rockslide rockfall,4f195o7tQCc,8,18,TR
rockslide rockfall,4TPjvbWdCIg,2,11,TR
rockslide rockfall,4TPjvbWdCIg,20,25,TR
rockslide rockfall,679Zyauu9DU,19,26,TR
rockslide rockfall,679Zyauu9DU,57,64,TR
rockslide rockfall,75dvp99rnuU,285,297,JA
rockslide rockfall,87L0ny6hqFM,87,96,TR
rockslide rockfall,afI58PRmTJ0,72,76,EN
rockslide rockfall,afI58PRmTJ0,93,107,EN
rockslide rockfall,aIBsIgmfokE,21,33,TR
rockslide rockfall,AIfRFBcLwhM,10,21,FR
rockslide rockfall,aPTho-yUGA8,8,23,ES
rockslide rockfall,Ari-PX2Rrjk,41,48,TR
rockslide rockfall,AZfwdEXO6H8,8,21,ES
rockslide rockfall,AZfwdEXO6H8,81,85,ES
rockslide rockfall,B65yqFotE04,16,25,TR
rockslide rockfall,bE3xrBFIBbs,3,5,TR
rockslide rockfall,ByMPpMy_ZvM,2,10,TR
rockslide rockfall,ByMPpMy_ZvM,11,15,TR
rockslide rockfall,cyMD-kymVcw,3,11,ZH
rockslide rockfall,cyMD-kymVcw,41,48,ZH
rockslide rockfall,dP9Q3MxGcOU,33,45,ES
rockslide rockfall,dP9Q3MxGcOU,119,130,ES
rockslide rockfall,e83ONiIzyK8,5,8,EN
rockslide rockfall,e83ONiIzyK8,23,27,EN
rockslide rockfall,e83ONiIzyK8,57,61,EN
rockslide rockfall,e83ONiIzyK8,73,80,EN
rockslide rockfall,EnEcPRYTRaA,3,8,TR
rockslide rockfall,EnEcPRYTRaA,25,33,TR
rockslide rockfall,EnEcPRYTRaA,35,39,TR
rockslide rockfall,EnEcPRYTRaA,45,54,TR
rockslide rockfall,EnEcPRYTRaA,59,64,TR
rockslide rockfall,eYgPKjRDw7Q,20,25,EN
rockslide rockfall,eYgPKjRDw7Q,30,37,EN
rockslide rockfall,eYgPKjRDw7Q,55,59,EN
rockslide rockfall,F5s9UnF_gZ4,1,7,ZH
rockslide rockfall,ff0T_WNPjcE,47,61,ES
rockslide rockfall,fi2dMUT8WAo,3,10,EN
rockslide rockfall,fi2dMUT8WAo,20,30,EN
rockslide rockfall,fjho2_i-sSo,28,31,ZH
rockslide rockfall,fjho2_i-sSo,82,84,ZH
rockslide rockfall,fjho2_i-sSo,85,91,ZH
rockslide rockfall,fLjIyQySBTI,3,9,AR
rockslide rockfall,fLjIyQySBTI,69,75,AR
rockslide rockfall,fLjIyQySBTI,87,101,AR
rockslide rockfall,fLjIyQySBTI,291,295,AR
rockslide rockfall,fLjIyQySBTI,396,404,AR
rockslide rockfall,fLjIyQySBTI,604,613,AR
rockslide rockfall,fLjIyQySBTI,615,617,AR
rockslide rockfall,FqZiP9qO770,29,36,ES
rockslide rockfall,hm641pXBzMc,26,31,ZH
rockslide rockfall,hm641pXBzMc,38,42,ZH
rockslide rockfall,IaRQLS4f6A4,54,58,ZH
rockslide rockfall,iNjXsoQ22h8,56,71,TR
rockslide rockfall,Ioh6kaoIztg,74,106,TR
rockslide rockfall,JDbsq2EFjfU,55,91,FR
rockslide rockfall,l8q0vIfZK9Q,22,27,TR
rockslide rockfall,lAdVvi0KvCg,119,123,FR
rockslide rockfall,mknStAMia0Q,93,96,EN
rockslide rockfall,qsRnRssug70,63,66,FR
rockslide rockfall,S4enEEI7YPc,55,60,JA
rockslide rockfall,Sx7gpCRDizk,13,22,EN
rockslide rockfall,Sx7gpCRDizk,95,105,EN
rockslide rockfall,Sx7gpCRDizk,159,179,EN
rockslide rockfall,SxdaXGgoQW8,7,17,EN
rockslide rockfall,SxdaXGgoQW8,49,58,EN
rockslide rockfall,SxdaXGgoQW8,69,83,EN
rockslide rockfall,tyh4xciE-Uo,20,26,TR
rockslide rockfall,tyh4xciE-Uo,31,36,TR
rockslide rockfall,VxOvGaccY00,183,203,FR
rockslide rockfall,x7vlPd8fe-k,5,8,ZH
rockslide rockfall,xnU5Tm3tJe0,8,10,ZH
rockslide rockfall,xnU5Tm3tJe0,33,36,ZH
rockslide rockfall,yN4Rq7yLKRM,8,16,JA
rockslide rockfall,yN4Rq7yLKRM,16,19,JA
rockslide rockfall,yN4Rq7yLKRM,56,62,JA
rockslide rockfall,yuCqZm0zvsw,8,11,FR
rockslide rockfall,zPSuBziOvZM,48,64,ES
rockslide rockfall,zPSuBziOvZM,99,108,ES
rockslide rockfall,zPSuBziOvZM,123,130,ES
rockslide rockfall,zPSuBziOvZM,302,305,ES
rockslide rockfall,zPSuBziOvZM,344,351,ES
rockslide rockfall,PD6OosPhwEk,2,20,TR
rockslide rockfall,-g7XzpLLBPY,0,4,FR
rockslide rockfall,nITbz8t6D68,26,40,EN
rockslide rockfall,nITbz8t6D68,103,111,EN
rockslide rockfall,wa9yX4xuCv4,0,11,EN
rockslide rockfall,_r34OWZCW4g,477,479,EN
rockslide rockfall,5sqfUKEGx9Q,478,481,EN
rockslide rockfall,mknStAMia0Q,62,64,EN
rockslide rockfall,wa9yX4xuCv4,355,364,EN
rockslide rockfall,wa9yX4xuCv4,446,455,EN
rockslide rockfall,wa9yX4xuCv4,455,463,EN
rockslide rockfall,wa9yX4xuCv4,604,613,EN
rockslide rockfall,yzuLA9InxsQ,273,282,TR
rockslide rockfall,yzuLA9InxsQ,334,340,TR
rockslide rockfall,yzuLA9InxsQ,520,529,TR
rockslide rockfall,yzuLA9InxsQ,530,533,TR
rockslide rockfall,nITbz8t6D68,183,192,EN
rockslide rockfall,wa9yX4xuCv4,16,18,EN
rockslide rockfall,wa9yX4xuCv4,269,279,EN
rockslide rockfall,wa9yX4xuCv4,392,395,EN
rockslide rockfall,wa9yX4xuCv4,532,534,EN
rockslide rockfall,wa9yX4xuCv4,621,629,EN
