label,youtube_id,time_start,time_end,lang
ship_accident,0Ur-3uo2SJU,10,23,EN
ship_accident,0Ur-3uo2SJU,30,41,EN
ship_accident,0Ur-3uo2SJU,45,54,EN
ship_accident,0Ur-3uo2SJU,66,77,EN
ship_accident,0Ur-3uo2SJU,87,92,EN
ship_accident,0Ur-3uo2SJU,95,102,EN
ship_accident,0Ur-3uo2SJU,112,121,EN
ship_accident,0Ur-3uo2SJU,122,144,EN
ship_accident,0Ur-3uo2SJU,200,209,EN
ship_accident,0Ur-3uo2SJU,213,218,EN
ship_accident,0Ur-3uo2SJU,244,272,EN
ship_accident,0Ur-3uo2SJU,276,290,EN
ship_accident,0Ur-3uo2SJU,292,302,EN
ship_accident,0Ur-3uo2SJU,305,315,EN
ship_accident,0Ur-3uo2SJU,320,324,EN
ship_accident,0Ur-3uo2SJU,327,350,EN
ship_accident,0Ur-3uo2SJU,354,373,EN
ship_accident,0Ur-3uo2SJU,390,403,EN
ship_accident,0Ur-3uo2SJU,425,429,EN
ship_accident,0Ur-3uo2SJU,430,434,EN
ship_accident,0Ur-3uo2SJU,435,443,EN
ship_accident,0Ur-3uo2SJU,445,454,EN
ship_accident,0Ur-3uo2SJU,462,478,EN
ship_accident,0Ur-3uo2SJU,492,495,EN
ship_accident,4O4dAbwm2iM,3,10,EN
ship_accident,4O4dAbwm2iM,36,49,EN
ship_accident,4O4dAbwm2iM,60,66,EN
ship_accident,4O4dAbwm2iM,100,115,EN
ship_accident,4O4dAbwm2iM,142,150,EN
ship_accident,4O4dAbwm2iM,172,177,EN
ship_accident,4O4dAbwm2iM,265,282,EN
ship_accident,4O4dAbwm2iM,338,350,EN
ship_accident,gLn3z_LYVdg,5,9,ES
ship_accident,gLn3z_LYVdg,24,29,ES
ship_accident,gLn3z_LYVdg,96,100,ES
ship_accident,gLn3z_LYVdg,105,107,ES
ship_accident,gLn3z_LYVdg,123,128,ES
ship_accident,gLn3z_LYVdg,145,149,ES
ship_accident,gLn3z_LYVdg,151,156,ES
ship_accident,gLn3z_LYVdg,172,175,ES
ship_accident,gLn3z_LYVdg,176,183,ES
ship_accident,gLn3z_LYVdg,217,221,ES
ship_accident,gLn3z_LYVdg,222,226,ES
ship_accident,gLn3z_LYVdg,227,231,ES
ship_accident,gLn3z_LYVdg,254,256,ES
ship_accident,gLn3z_LYVdg,258,262,ES
ship_accident,gLn3z_LYVdg,311,314,ES
ship_accident,gLn3z_LYVdg,315,319,ES
ship_accident,gLn3z_LYVdg,348,351,ES
ship_accident,gLn3z_LYVdg,408,410,ES
ship_accident,jOjvWUy4bZc,25,27,FR
ship_accident,jOjvWUy4bZc,66,68,FR
ship_accident,jOjvWUy4bZc,109,113,FR
ship_accident,jOjvWUy4bZc,137,140,FR
ship_accident,jOjvWUy4bZc,334,341,FR
ship_accident,jOjvWUy4bZc,359,363,FR
ship_accident,jOjvWUy4bZc,400,403,FR
ship_accident,jOjvWUy4bZc,509,511,FR
ship_accident,RHn1jmYqX4g,10,20,EN
ship_accident,RHn1jmYqX4g,100,110,EN
ship_accident,RHn1jmYqX4g,214,224,EN
ship_accident,RHn1jmYqX4g,265,288,EN
ship_accident,RHn1jmYqX4g,305,315,EN
ship_accident,RHn1jmYqX4g,332,343,EN
ship_accident,SlkIro6LAzA,43,52,DE
ship_accident,SlkIro6LAzA,65,75,DE
ship_accident,SlkIro6LAzA,83,94,DE
ship_accident,SlkIro6LAzA,102,115,DE
ship_accident,SlkIro6LAzA,158,168,DE
ship_accident,SlkIro6LAzA,195,205,DE
ship_accident,SlkIro6LAzA,215,219,DE
ship_accident,SlkIro6LAzA,240,252,DE
ship_accident,SlkIro6LAzA,277,286,DE
ship_accident,SlkIro6LAzA,324,337,DE
ship_accident,SlkIro6LAzA,340,346,DE
ship_accident,SlkIro6LAzA,348,355,DE
ship_accident,SlkIro6LAzA,362,369,DE
ship_accident,SlkIro6LAzA,371,380,DE
ship_accident,SlkIro6LAzA,395,410,DE
ship_accident,SlkIro6LAzA,412,423,DE
ship_accident,SlkIro6LAzA,425,430,DE
ship_accident,SlkIro6LAzA,435,445,DE
ship_accident,SlkIro6LAzA,447,455,DE
ship_accident,SlkIro6LAzA,456,460,DE
ship_accident,ToWgPNx6kt0,0,24,TR
ship_accident,ToWgPNx6kt0,26,31,TR
ship_accident,ToWgPNx6kt0,33,43,TR
ship_accident,ToWgPNx6kt0,46,50,TR
ship_accident,ToWgPNx6kt0,52,65,TR
ship_accident,ToWgPNx6kt0,68,114,TR
ship_accident,ToWgPNx6kt0,127,137,TR
ship_accident,ToWgPNx6kt0,205,230,TR
ship_accident,ToWgPNx6kt0,300,318,TR
ship_accident,ToWgPNx6kt0,362,376,TR
ship_accident,ToWgPNx6kt0,383,395,TR
ship_accident,ToWgPNx6kt0,405,441,TR
ship_accident,ToWgPNx6kt0,513,519,TR
ship_accident,ToWgPNx6kt0,554,562,TR
ship_accident,ToWgPNx6kt0,595,600,TR
ship_accident,wnIyooI6blQ,51,58,AR
ship_accident,wnIyooI6blQ,163,181,AR
ship_accident,wnIyooI6blQ,204,212,AR
ship_accident,wnIyooI6blQ,218,220,AR
ship_accident,wnIyooI6blQ,238,244,AR
ship_accident,wnIyooI6blQ,293,296,AR
ship_accident,wnIyooI6blQ,381,383,AR
ship_accident,0on6Os_A9Oo,284,290,EN
