label,youtube_id,time_start,time_end,lang
sinkhole,2bWQQLQF92s,203,206,ZH
sinkhole,2bWQQLQF92s,233,235,ZH
sinkhole,2bWQQLQF92s,243,246,ZH
sinkhole,2bWQQLQF92s,251,253,ZH
sinkhole,2bWQQLQF92s,270,273,ZH
sinkhole,2bWQQLQF92s,420,422,ZH
sinkhole,8v-4iq3nB-8,38,41,EN
sinkhole,8v-4iq3nB-8,79,81,EN
sinkhole,8v-4iq3nB-8,170,172,EN
sinkhole,8v-4iq3nB-8,226,231,EN
sinkhole,8v-4iq3nB-8,400,402,EN
sinkhole,8v-4iq3nB-8,709,712,EN
sinkhole,8v-4iq3nB-8,730,733,EN
sinkhole,8v-4iq3nB-8,906,908,EN
sinkhole,8v-4iq3nB-8,967,969,EN
sinkhole,8v-4iq3nB-8,1070,1073,EN
sinkhole,A6v-3AiCAKo,2,11,TR
sinkhole,CNWydSj5fU8,15,21,TR
sinkhole,CNWydSj5fU8,47,49,TR
sinkhole,CNWydSj5fU8,64,68,TR
sinkhole,csxQ22XcFig,214,217,ZH
sinkhole,csxQ22XcFig,751,753,ZH
sinkhole,D3aej2y6xyo,224,230,FR
sinkhole,D3aej2y6xyo,451,460,FR
sinkhole,FpU0aBSB-s8,6,21,AR
sinkhole,Hc-Pfcx_z_k,38,40,TR
sinkhole,Hc-Pfcx_z_k,47,52,TR
sinkhole,Hc-Pfcx_z_k,110,114,TR
sinkhole,j-a7Ff-m8xo,12,24,
sinkhole,j-a7Ff-m8xo,39,44,
sinkhole,j-a7Ff-m8xo,66,71,
sinkhole,j-a7Ff-m8xo,79,83,
sinkhole,j-a7Ff-m8xo,100,111,
sinkhole,j-a7Ff-m8xo,179,181,
sinkhole,j-a7Ff-m8xo,192,198,
sinkhole,j-a7Ff-m8xo,207,232,
sinkhole,j-a7Ff-m8xo,234,242,
sinkhole,j-a7Ff-m8xo,291,294,
sinkhole,j-a7Ff-m8xo,311,315,
sinkhole,j-a7Ff-m8xo,327,332,
sinkhole,Jbh4D9o8n9c,1,6,EN
sinkhole,Jbh4D9o8n9c,8,11,EN
sinkhole,Jbh4D9o8n9c,14,18,EN
sinkhole,Jbh4D9o8n9c,20,23,EN
sinkhole,Jbh4D9o8n9c,50,56,EN
sinkhole,Jbh4D9o8n9c,95,115,EN
sinkhole,Jbh4D9o8n9c,193,196,EN
sinkhole,Jbh4D9o8n9c,550,563,EN
sinkhole,kaDurKg4xNI,0,2,FR
sinkhole,kaDurKg4xNI,18,20,FR
sinkhole,kaDurKg4xNI,66,71,FR
sinkhole,KTViaGA1cqA,105,129,EN
sinkhole,KTViaGA1cqA,142,149,EN
sinkhole,KTViaGA1cqA,152,158,EN
sinkhole,L3jXPaKSkGw,21,30,TR
sinkhole,L3jXPaKSkGw,36,43,TR
sinkhole,L3jXPaKSkGw,45,49,TR
sinkhole,lgWMhEWj5bA,292,350,EN
sinkhole,mptAK6xYVSc,398,400,EN
sinkhole,-NJixKfml4k,778,780,EN
sinkhole,oEfpm64WGl4,8,11,ES
sinkhole,oEfpm64WGl4,53,55,ES
sinkhole,oEfpm64WGl4,139,142,ES
sinkhole,oEfpm64WGl4,148,150,ES
sinkhole,oEfpm64WGl4,275,278,ES
sinkhole,oEfpm64WGl4,283,286,ES
sinkhole,oEfpm64WGl4,287,290,ES
sinkhole,oEfpm64WGl4,297,304,ES
sinkhole,oEfpm64WGl4,468,471,ES
sinkhole,QmK_Sa1M6EQ,28,30,ZH
sinkhole,QmK_Sa1M6EQ,95,98,ZH
sinkhole,QuHwRUJTHmM,75,94,TR
sinkhole,Rb7zPVy2mNI,17,26,TR
sinkhole,Rb7zPVy2mNI,41,43,TR
sinkhole,Rb7zPVy2mNI,400,403,TR
sinkhole,vVLQ2r29nU0,32,37,TR
sinkhole,vVLQ2r29nU0,104,106,TR
sinkhole,WZtepqe91a4,12,14,EN
sinkhole,WZtepqe91a4,34,36,EN
sinkhole,WZtepqe91a4,48,50,EN
sinkhole,WZtepqe91a4,52,54,EN
sinkhole,WZtepqe91a4,56,61,EN
sinkhole,WZtepqe91a4,79,81,EN
sinkhole,zEumOhF1zwM,39,42,EN
sinkhole,zEumOhF1zwM,49,51,EN
sinkhole,zEumOhF1zwM,93,95,EN
sinkhole,zEumOhF1zwM,300,302,EN
sinkhole,zEumOhF1zwM,313,315,EN
sinkhole,zEumOhF1zwM,529,531,EN
sinkhole,zEumOhF1zwM,549,551,EN
sinkhole,wa9yX4xuCv4,307,314,EN
sinkhole,wa9yX4xuCv4,323,326,EN
sinkhole,wa9yX4xuCv4,328,333,EN
sinkhole,wa9yX4xuCv4,332,335,EN
sinkhole,yzuLA9InxsQ,26,35,TR
sinkhole,9pQycZiRBv0,32,37,EN
sinkhole,9pQycZiRBv0,46,50,EN
sinkhole,9pQycZiRBv0,94,99,EN
sinkhole,d8u83VY59Ww,114,118,EN
sinkhole,Jbh4D9o8n9c,445,452,EN
sinkhole,Jo1CR9Jrb0Q,16,31,AR
