label,youtube_id,time_start,time_end,lang
snow_covered,_OgKPePmg5U,390,392,EN
snow_covered,_OgKPePmg5U,438,441,EN
snow_covered,_OgKPePmg5U,480,482,EN
snow_covered,_OgKPePmg5U,491,499,EN
snow_covered,_OgKPePmg5U,626,628,EN
snow_covered,_OgKPePmg5U,681,683,EN
snow_covered,aws_ot4Z5JA,2,5,TR
snow_covered,aws_ot4Z5JA,7,9,TR
snow_covered,aws_ot4Z5JA,14,16,TR
snow_covered,aws_ot4Z5JA,22,26,TR
snow_covered,aws_ot4Z5JA,34,36,TR
snow_covered,aws_ot4Z5JA,40,43,TR
snow_covered,aws_ot4Z5JA,126,128,TR
snow_covered,eu4nKrpoCYQ,127,132,FR
snow_covered,P_yL_PRf8VQ,11,23,ZH
snow_covered,TC12LOUW2II,10,12,ES
snow_covered,TC12LOUW2II,14,17,ES
snow_covered,TC12LOUW2II,21,24,ES
snow_covered,TC12LOUW2II,31,33,ES
snow_covered,TC12LOUW2II,61,63,ES
snow_covered,TC12LOUW2II,67,69,ES
snow_covered,TC12LOUW2II,80,82,ES
snow_covered,TC12LOUW2II,92,94,ES
snow_covered,TC12LOUW2II,97,99,ES
snow_covered,TC12LOUW2II,129,131,ES
snow_covered,TC12LOUW2II,135,139,ES
snow_covered,TC12LOUW2II,148,151,ES
snow_covered,TC12LOUW2II,155,157,ES
snow_covered,TC12LOUW2II,160,163,ES
snow_covered,TC12LOUW2II,167,169,ES
snow_covered,TC12LOUW2II,172,175,ES
snow_covered,TC12LOUW2II,261,266,ES
snow_covered,UBMHK4IQGHE,13,41,EN
snow_covered,UBMHK4IQGHE,452,469,EN
snow_covered,uyhI7gRYWXo,1,3,EN
snow_covered,uyhI7gRYWXo,5,8,EN
snow_covered,uyhI7gRYWXo,12,16,EN
snow_covered,uyhI7gRYWXo,19,22,EN
snow_covered,uyhI7gRYWXo,26,30,EN
snow_covered,uyhI7gRYWXo,37,39,EN
snow_covered,uyhI7gRYWXo,44,47,EN
snow_covered,uyhI7gRYWXo,51,53,EN
snow_covered,uyhI7gRYWXo,66,68,EN
snow_covered,uyhI7gRYWXo,74,77,EN
snow_covered,uyhI7gRYWXo,81,83,EN
snow_covered,uyhI7gRYWXo,86,88,EN
snow_covered,uyhI7gRYWXo,95,100,EN
snow_covered,uyhI7gRYWXo,102,106,EN
snow_covered,uyhI7gRYWXo,108,111,EN
snow_covered,V2QUts6x2OQ,5,12,EN
snow_covered,V2QUts6x2OQ,29,34,EN
snow_covered,V2QUts6x2OQ,38,46,EN
snow_covered,V2QUts6x2OQ,72,74,EN
snow_covered,V2QUts6x2OQ,83,86,EN
snow_covered,V2QUts6x2OQ,147,152,EN
snow_covered,V2QUts6x2OQ,176,178,EN
snow_covered,V2QUts6x2OQ,232,234,EN
snow_covered,V2QUts6x2OQ,242,246,EN
snow_covered,VvJBN3jCJVU,21,23,TR
snow_covered,VvJBN3jCJVU,39,41,TR
snow_covered,VvJBN3jCJVU,77,79,TR
snow_covered,VvJBN3jCJVU,86,88,TR
snow_covered,VvJBN3jCJVU,91,93,TR
snow_covered,xkeI5GUVUt0,1,5,FR
snow_covered,xkeI5GUVUt0,6,11,FR
snow_covered,YcKonURcP44,11,13,EN
snow_covered,YcKonURcP44,16,18,EN
snow_covered,YcKonURcP44,58,60,EN
snow_covered,YcKonURcP44,102,104,EN
snow_covered,yMitENv_ugg,31,33,TR
snow_covered,Yz2ZZp0p0mc,38,40,EN
snow_covered,Yz2ZZp0p0mc,44,46,EN
snow_covered,Yz2ZZp0p0mc,50,52,EN
snow_covered,Yz2ZZp0p0mc,61,63,EN
snow_covered,Yz2ZZp0p0mc,67,70,EN
snow_covered,Yz2ZZp0p0mc,74,76,EN
snow_covered,Yz2ZZp0p0mc,80,82,EN
snow_covered,Yz2ZZp0p0mc,85,88,EN
snow_covered,Yz2ZZp0p0mc,91,93,EN
snow_covered,Yz2ZZp0p0mc,96,98,EN
snow_covered,ztsRHeGGzF0,1,5,EN
snow_covered,ztsRHeGGzF0,35,40,EN
snow_covered,ztsRHeGGzF0,115,117,EN
snow_covered,ztsRHeGGzF0,127,130,EN
snow_covered,ztsRHeGGzF0,165,168,EN
snow_covered,ztsRHeGGzF0,172,174,EN
snow_covered,ztsRHeGGzF0,380,383,EN
snow_covered,ztsRHeGGzF0,459,465,EN
snow_covered,ztsRHeGGzF0,466,468,EN
snow_covered,ztsRHeGGzF0,472,481,EN
snow_covered,ztsRHeGGzF0,551,553,EN
snow_covered,ztsRHeGGzF0,608,612,EN
snow_covered,ztsRHeGGzF0,627,632,EN
snow_covered,ztsRHeGGzF0,665,668,EN
snow_covered,ztsRHeGGzF0,678,680,EN
snow_covered,ztsRHeGGzF0,732,735,EN
snow_covered,ztsRHeGGzF0,762,765,EN
snow_covered,ztsRHeGGzF0,767,779,EN
snow_covered,ZxQcLnlDHPw,14,22,ZH
snow_covered,3hZWbCjawpo,740,744,TR
snow_covered,CtEqUQWxKOk,1,4,TR
snow_covered,HtQL4jB-bdQ,309,311,FR
snow_covered,sYqS45WH2Sc,10,20,ES
snow_covered,W0FgjBRISQM,21,27,TR
snow_covered,W0FgjBRISQM,46,58,TR
snow_covered,xkeI5GUVUt0,20,24,FR
