label,youtube_id,time_start,time_end,lang
snowslide avalanche,2NdFDxIDmx4,47,53,AR
snowslide avalanche,2NdFDxIDmx4,72,76,AR
snowslide avalanche,2NdFDxIDmx4,92,112,AR
snowslide avalanche,2NdFDxIDmx4,121,127,AR
snowslide avalanche,2NdFDxIDmx4,128,137,AR
snowslide avalanche,2NdFDxIDmx4,138,154,AR
snowslide avalanche,2NdFDxIDmx4,156,159,AR
snowslide avalanche,2NdFDxIDmx4,171,178,AR
snowslide avalanche,5gtQr2NARNg,0,33,TR
snowslide avalanche,5gtQr2NARNg,34,59,TR
snowslide avalanche,5gtQr2NARNg,60,90,TR
snowslide avalanche,5gtQr2NARNg,91,120,TR
snowslide avalanche,6LmfAhbkq8s,28,43,TR
snowslide avalanche,6LmfAhbkq8s,76,109,TR
snowslide avalanche,6LmfAhbkq8s,121,141,TR
snowslide avalanche,6LmfAhbkq8s,146,170,TR
snowslide avalanche,6LmfAhbkq8s,174,233,TR
snowslide avalanche,6LmfAhbkq8s,244,300,TR
snowslide avalanche,6LmfAhbkq8s,304,356,TR
snowslide avalanche,6LmfAhbkq8s,371,385,TR
snowslide avalanche,6LmfAhbkq8s,390,423,TR
snowslide avalanche,6LmfAhbkq8s,475,534,TR
snowslide avalanche,6LmfAhbkq8s,547,600,TR
snowslide avalanche,7TeAqLb_yw0,4,60,ES
snowslide avalanche,7TeAqLb_yw0,110,160,ES
snowslide avalanche,7TeAqLb_yw0,169,184,ES
snowslide avalanche,7TeAqLb_yw0,249,269,ES
snowslide avalanche,7TeAqLb_yw0,332,357,ES
snowslide avalanche,7TeAqLb_yw0,360,380,ES
snowslide avalanche,7TeAqLb_yw0,400,424,ES
snowslide avalanche,7TeAqLb_yw0,426,449,ES
snowslide avalanche,7TeAqLb_yw0,456,486,ES
snowslide avalanche,7TeAqLb_yw0,585,637,ES
snowslide avalanche,A01f0eq-osE,11,26,EN
snowslide avalanche,brBSBBT8BlY,5,12,EN
snowslide avalanche,dxWp1D44_v4,1,60,EN
snowslide avalanche,DZo2fsOFLc0,47,57,EN
snowslide avalanche,DZo2fsOFLc0,58,68,EN
snowslide avalanche,DZo2fsOFLc0,163,198,EN
snowslide avalanche,DZo2fsOFLc0,212,245,EN
snowslide avalanche,DZo2fsOFLc0,407,425,EN
snowslide avalanche,DZo2fsOFLc0,432,483,EN
snowslide avalanche,GtNg4657o84,1,20,FR
snowslide avalanche,ILtHZTcB6Jc,93,138,AR
snowslide avalanche,jNTwcnApwb0,0,8,EN
snowslide avalanche,jNTwcnApwb0,10,22,EN
snowslide avalanche,KMwboRMnb_c,0,9,FR
snowslide avalanche,KMwboRMnb_c,15,48,FR
snowslide avalanche,KMwboRMnb_c,54,59,FR
snowslide avalanche,KvTwcyhVhN0,30,89,EN
snowslide avalanche,lBaDOFrcTG0,0,8,EN
snowslide avalanche,lBaDOFrcTG0,13,23,EN
snowslide avalanche,lt7ISRkauxc,18,38,ZH
snowslide avalanche,LVnTp0toZL0,19,25,FR
snowslide avalanche,LVnTp0toZL0,27,61,FR
snowslide avalanche,LVnTp0toZL0,111,127,FR
snowslide avalanche,LVnTp0toZL0,132,162,FR
snowslide avalanche,LVnTp0toZL0,223,226,FR
snowslide avalanche,mzUYGhky8nY,0,27,EN
snowslide avalanche,QFGSazvbt1g,17,40,EN
snowslide avalanche,QFGSazvbt1g,57,79,EN
snowslide avalanche,QFGSazvbt1g,81,87,EN
snowslide avalanche,QFGSazvbt1g,178,203,EN
snowslide avalanche,QFGSazvbt1g,205,240,EN
snowslide avalanche,QFGSazvbt1g,264,311,EN
snowslide avalanche,QFGSazvbt1g,314,360,EN
snowslide avalanche,QFGSazvbt1g,423,472,EN
snowslide avalanche,QFGSazvbt1g,479,487,EN
snowslide avalanche,QFGSazvbt1g,500,548,EN
snowslide avalanche,rPqCZFP7snk,14,15,ZH
snowslide avalanche,rPqCZFP7snk,142,145,ZH
snowslide avalanche,sE4zBJRNXLI,0,35,ZH
snowslide avalanche,sE4zBJRNXLI,36,42,ZH
snowslide avalanche,URLRMrqQS5A,127,142,EN
snowslide avalanche,URLRMrqQS5A,150,157,EN
snowslide avalanche,URLRMrqQS5A,165,177,EN
snowslide avalanche,URLRMrqQS5A,212,228,EN
snowslide avalanche,URLRMrqQS5A,258,262,EN
snowslide avalanche,URLRMrqQS5A,264,276,EN
snowslide avalanche,URLRMrqQS5A,304,314,EN
snowslide avalanche,URLRMrqQS5A,316,324,EN
snowslide avalanche,URLRMrqQS5A,331,345,EN
snowslide avalanche,URLRMrqQS5A,360,368,EN
snowslide avalanche,URLRMrqQS5A,370,381,EN
snowslide avalanche,URLRMrqQS5A,385,394,EN
snowslide avalanche,URLRMrqQS5A,410,416,EN
snowslide avalanche,vZkGl-PcSsI,101,107,EN
snowslide avalanche,wRNv-EpbEgM,49,51,EN
snowslide avalanche,wRNv-EpbEgM,56,60,EN
snowslide avalanche,xzLTlwN-T08,30,55,EN
snowslide avalanche,xzLTlwN-T08,61,80,EN
snowslide avalanche,xzLTlwN-T08,111,155,EN
snowslide avalanche,xzLTlwN-T08,160,179,EN
snowslide avalanche,xzLTlwN-T08,343,370,EN
snowslide avalanche,xzLTlwN-T08,373,407,EN
snowslide avalanche,xzLTlwN-T08,414,445,EN
snowslide avalanche,xzLTlwN-T08,449,497,EN
snowslide avalanche,xzLTlwN-T08,499,527,EN
snowslide avalanche,Ybu54SYipGA,8,13,AR
snowslide avalanche,Ybu54SYipGA,14,24,AR
snowslide avalanche,Ybu54SYipGA,70,77,AR
snowslide avalanche,Ybu54SYipGA,87,96,AR
snowslide avalanche,Ybu54SYipGA,133,140,AR
snowslide avalanche,Ybu54SYipGA,180,192,AR
snowslide avalanche,YXG3GwL0izU,12,71,ZH
snowslide avalanche,_r34OWZCW4g,814,818,EN
snowslide avalanche,wa9yX4xuCv4,574,577,EN
