label,youtube_id,time_start,time_end,lang
thunderstorm,_EryE3CM-JE,381,386,ES
thunderstorm,_EryE3CM-JE,652,658,ES
thunderstorm,1cVdMVOJWPc,25,33,EN
thunderstorm,1cVdMVOJWPc,65,68,EN
thunderstorm,1cVdMVOJWPc,76,81,EN
thunderstorm,1cVdMVOJWPc,90,95,EN
thunderstorm,1cVdMVOJWPc,121,127,EN
thunderstorm,1cVdMVOJWPc,180,185,EN
thunderstorm,25mNUBTG79c,10,14,TR
thunderstorm,25mNUBTG79c,48,53,TR
thunderstorm,4H3_7TO2pi4,0,8,FR
thunderstorm,56Ya7Yv21ZI,0,7,EN
thunderstorm,56Ya7Yv21ZI,8,12,EN
thunderstorm,64dn8O6dl_c,0,11,ES
thunderstorm,712p8_-MmRg,61,65,TR
thunderstorm,7G5y4Gl6nQc,78,80,ZH
thunderstorm,7G5y4Gl6nQc,82,88,ZH
thunderstorm,7G5y4Gl6nQc,133,140,ZH
thunderstorm,7tjUeNMFP9Y,30,37,TR
thunderstorm,7tjUeNMFP9Y,116,121,TR
thunderstorm,7tjUeNMFP9Y,155,159,TR
thunderstorm,8_dZfo6yPHw,0,6,TR
thunderstorm,8FVdZEU_EmQ,346,349,FR
thunderstorm,8FVdZEU_EmQ,400,414,FR
thunderstorm,8FVdZEU_EmQ,451,455,FR
thunderstorm,8FVdZEU_EmQ,529,531,FR
thunderstorm,8FVdZEU_EmQ,559,564,FR
thunderstorm,9ebWNQdkExc,9,32,FR
thunderstorm,9ebWNQdkExc,47,61,FR
thunderstorm,BiClR9z-AXE,272,277,ES
thunderstorm,BiClR9z-AXE,381,392,ES
thunderstorm,BiClR9z-AXE,723,728,ES
thunderstorm,BiClR9z-AXE,728,734,ES
thunderstorm,BiClR9z-AXE,758,763,ES
thunderstorm,bK73eyp9gso,3,8,AR
thunderstorm,bK73eyp9gso,12,20,AR
thunderstorm,bK73eyp9gso,120,128,AR
thunderstorm,dhH6ZDoP0I8,45,51,TR
thunderstorm,djRRJN5G20A,0,15,TR
thunderstorm,djRRJN5G20A,20,30,TR
thunderstorm,djRRJN5G20A,35,40,TR
thunderstorm,DTUOk8nQ4dk,45,49,TR
thunderstorm,fAEZa3PqkFk,0,4,AR
thunderstorm,fAEZa3PqkFk,12,21,AR
thunderstorm,fAEZa3PqkFk,87,92,AR
thunderstorm,fAEZa3PqkFk,137,143,AR
thunderstorm,fAEZa3PqkFk,458,465,AR
thunderstorm,g2pBr21x-Mk,2,11,ZH
thunderstorm,gm5bhhTe8hU,15,19,ES
thunderstorm,Gz-jBbuqHZg,0,15,EN
thunderstorm,Gz-jBbuqHZg,37,55,EN
thunderstorm,Gz-jBbuqHZg,75,92,EN
thunderstorm,Gz-jBbuqHZg,672,692,EN
thunderstorm,hbJ053KxQis,0,4,TR
thunderstorm,LDRNwtCkxDU,326,330,ZH
thunderstorm,LDRNwtCkxDU,519,523,ZH
thunderstorm,LDRNwtCkxDU,837,839,ZH
thunderstorm,mKj3vPh0YFA,0,15,EN
thunderstorm,OybeelTWDc8,17,22,FR
thunderstorm,OybeelTWDc8,38,42,EN
thunderstorm,Po9Ps2XfO9I,249,261,EN
thunderstorm,Po9Ps2XfO9I,314,319,EN
thunderstorm,Po9Ps2XfO9I,458,472,EN
thunderstorm,Po9Ps2XfO9I,501,508,EN
thunderstorm,PPIBEmLPuUk,0,10,EN
thunderstorm,PPIBEmLPuUk,11,21,EN
thunderstorm,PPIBEmLPuUk,25,44,EN
thunderstorm,PRyL91sBZfE,0,17,ES
thunderstorm,PRyL91sBZfE,22,25,ES
thunderstorm,PRyL91sBZfE,27,32,ES
thunderstorm,PRyL91sBZfE,38,44,ES
thunderstorm,r6iWOuhVnl8,8,11,ZH
thunderstorm,RvUgkDy4s9Q,38,41,AR
thunderstorm,RvUgkDy4s9Q,44,46,AR
thunderstorm,UNP6AK70B0o,16,22,FR
thunderstorm,UNP6AK70B0o,34,38,FR
thunderstorm,UNP6AK70B0o,77,82,FR
thunderstorm,WObHSrB1pag,32,37,EN
thunderstorm,wOci5LR6K4M,0,3,AR
thunderstorm,wOci5LR6K4M,5,15,AR
thunderstorm,wOci5LR6K4M,71,78,AR
thunderstorm,xmXtY5oBkEE,9,18,ES
thunderstorm,xmXtY5oBkEE,16,21,ES
thunderstorm,xmXtY5oBkEE,27,40,ES
thunderstorm,Z5AEsLzSvMs,3,5,ZH
thunderstorm,Z5AEsLzSvMs,63,66,ZH
thunderstorm,Z5AEsLzSvMs,78,84,ZH
thunderstorm,Z5AEsLzSvMs,100,105,ZH
thunderstorm,Z5AEsLzSvMs,121,124,ZH
thunderstorm,Z5AEsLzSvMs,185,191,ZH
thunderstorm,Z5AEsLzSvMs,212,219,ZH
thunderstorm,ZRhqkRWlkPk,145,148,TR
thunderstorm,ZRhqkRWlkPk,221,225,TR
thunderstorm,1a8goq-ViWY,97,106,ES
