label,youtube_id,time_start,time_end,lang
tornado,4tVT2eKtPUA,521,525,TR
tornado,4tVT2eKtPUA,537,570,TR
tornado,AMN3EuFbLV4,48,61,ES
tornado,AMN3EuFbLV4,82,102,ES
tornado,AMN3EuFbLV4,315,329,ES
tornado,asGddzBxr_8,3,12,EN
tornado,asGddzBxr_8,17,22,EN
tornado,asGddzBxr_8,22,29,EN
tornado,aU3TyyBDBuI,0,5,ZH
tornado,aU3TyyBDBuI,42,46,ZH
tornado,aU3TyyBDBuI,47,57,ZH
tornado,aU3TyyBDBuI,68,72,ZH
tornado,aU3TyyBDBuI,74,77,ZH
tornado,aU3TyyBDBuI,79,82,ZH
tornado,aU3TyyBDBuI,95,105,ZH
tornado,aU3TyyBDBuI,122,135,ZH
tornado,aU3TyyBDBuI,142,159,ZH
tornado,Da3pecIy8X8,19,23,ZH
tornado,Da3pecIy8X8,66,68,ZH
tornado,f8MRXOxDt44,24,30,ES
tornado,FuNkY8ZvtxU,23,30,FR
tornado,H-aC6GG-bH8,0,10,ZH
tornado,H-aC6GG-bH8,17,20,ZH
tornado,H-aC6GG-bH8,21,26,ZH
tornado,LGcGFU_Hi9U,25,35,EN
tornado,LGcGFU_Hi9U,190,200,EN
tornado,LGcGFU_Hi9U,200,210,EN
tornado,LGcGFU_Hi9U,230,240,EN
tornado,LGcGFU_Hi9U,310,320,EN
tornado,LGcGFU_Hi9U,350,360,EN
tornado,LGcGFU_Hi9U,420,430,EN
tornado,LGcGFU_Hi9U,430,440,EN
tornado,oWIx3Erswh8,60,70,EN
tornado,oWIx3Erswh8,81,83,EN
tornado,oWIx3Erswh8,84,90,EN
tornado,oWIx3Erswh8,146,151,EN
tornado,oWIx3Erswh8,155,159,EN
tornado,oWIx3Erswh8,161,163,EN
tornado,oWIx3Erswh8,173,177,EN
tornado,oWIx3Erswh8,182,189,EN
tornado,oWIx3Erswh8,201,209,EN
tornado,oWIx3Erswh8,211,216,EN
tornado,oWIx3Erswh8,217,221,EN
tornado,oWIx3Erswh8,224,236,EN
tornado,oWIx3Erswh8,249,253,EN
tornado,oWIx3Erswh8,269,278,EN
tornado,p1kv-qBaRhU,43,58,ES
tornado,p1kv-qBaRhU,64,74,ES
tornado,q4xN0PKiXWo,28,38,TR
tornado,q4xN0PKiXWo,42,52,TR
tornado,q4xN0PKiXWo,144,155,TR
tornado,q4xN0PKiXWo,156,183,TR
tornado,RHnSR5spFVQ,4,13,TR
tornado,RHnSR5spFVQ,204,220,TR
tornado,RHnSR5spFVQ,300,326,TR
tornado,RHnSR5spFVQ,481,494,TR
tornado,SFYtCf7wtcA,1,25,FR
tornado,SFYtCf7wtcA,40,54,FR
tornado,SFYtCf7wtcA,59,69,FR
tornado,SFYtCf7wtcA,84,88,FR
tornado,SFYtCf7wtcA,139,147,FR
tornado,SFYtCf7wtcA,221,240,FR
tornado,SFYtCf7wtcA,249,264,FR
tornado,SFYtCf7wtcA,265,271,FR
tornado,SFYtCf7wtcA,278,283,FR
tornado,SFYtCf7wtcA,284,290,FR
tornado,SFYtCf7wtcA,313,334,FR
tornado,SFYtCf7wtcA,362,397,FR
tornado,SFYtCf7wtcA,412,423,FR
tornado,SFYtCf7wtcA,424,432,FR
tornado,tjL2ooAsz4Q,65,70,AR
tornado,tjL2ooAsz4Q,71,80,AR
tornado,ty_RcPHJn4Q,0,12,ES
tornado,uHjiCM0WYAc,0,7,ES
tornado,uHjiCM0WYAc,9,19,ES
tornado,uHjiCM0WYAc,22,34,ES
tornado,WzJHMHyLILQ,0,13,AR
tornado,WzJHMHyLILQ,40,51,AR
tornado,WzJHMHyLILQ,85,89,AR
tornado,WzJHMHyLILQ,89,94,AR
tornado,WzJHMHyLILQ,108,117,AR
tornado,WzJHMHyLILQ,118,127,AR
tornado,WzJHMHyLILQ,160,172,AR
tornado,WzJHMHyLILQ,176,179,AR
tornado,WzJHMHyLILQ,190,194,AR
tornado,X5kMfOg_2As,12,22,TR
tornado,X5kMfOg_2As,73,101,TR
tornado,X5kMfOg_2As,137,164,TR
tornado,X5kMfOg_2As,189,195,TR
tornado,X5kMfOg_2As,278,290,TR
tornado,y-CTQpeSUU8,11,21,ES
tornado,YrOIJK2D09U,487,500,FR
tornado,YrOIJK2D09U,517,522,FR
tornado,YrOIJK2D09U,553,567,FR
tornado,ZYpfK1Mht6Q,0,10,ES
tornado,ZYpfK1Mht6Q,11,15,ES
tornado,ZYpfK1Mht6Q,17,29,ES
tornado,KB2_g3uGVGo,4,9,TR
tornado,Kj9vYIvRdmQ,34,37,TR
