label,youtube_id,time_start,time_end,lang
traffic jam,07e80wR-ltU,41,44,ZH
traffic jam,1L7xZsDMH7U,8,19,FR
traffic jam,3NUf3QUpBHw,28,31,ES
traffic jam,46aw7VMHXCE,15,22,ZH
traffic jam,4XtWUaz6brU,122,124,ES
traffic jam,54hnXZM8Erk,40,50,AR
traffic jam,6XNsIcvYRlY,39,47,FR
traffic jam,6XNsIcvYRlY,197,201,FR
traffic jam,7H-JyYuxTLg,125,129,TR
traffic jam,7jOAFTVVcmA,60,70,ZH
traffic jam,7jOAFTVVcmA,77,85,ZH
traffic jam,7Pz5XsCG1EY,29,32,FR
traffic jam,8a9w6m7FVAI,117,120,AR
traffic jam,8ldkTthOnH4,9,19,TR
traffic jam,8Mlaa132R1c,4,16,EN
traffic jam,8R6uvYTgnoA,47,57,EN
traffic jam,8rZpJ7pm-Tk,10,12,FR
traffic jam,9BA8PN9A0AA,175,183,ES
traffic jam,9LuOji4AlRs,13,22,AR
traffic jam,aA-22UK6b2I,22,31,FR
traffic jam,ac3Azl5LZcI,26,30,AR
traffic jam,ADm0L86Zr5s,18,29,ZH
traffic jam,AibLg0PdoGA,89,93,TR
traffic jam,AibLg0PdoGA,132,137,TR
traffic jam,AibLg0PdoGA,167,172,TR
traffic jam,AIIdsJqTM28,45,53,ZH
traffic jam,AUJxAt2gq1I,127,133,EN
traffic jam,B-0cwLNoqfE,36,40,ZH
traffic jam,bavWNfnIv8o,80,84,AR
traffic jam,bnX1JqglJ2E,10,20,EN
traffic jam,bRoc2Q4sfec,3,10,EN
traffic jam,bRxR6C6u_ME,14,24,TR
traffic jam,c2RUojazifc,51,54,TR
traffic jam,c2RUojazifc,96,100,TR
traffic jam,CWUijaxtCHM,54,60,ES
traffic jam,CYoSuwYUk4M,2,5,EN
traffic jam,dP5w78vTvs4,8,10,ES
traffic jam,Enp_BP0SdKQ,32,36,ZH
traffic jam,ER-RHOQNIP4,1,8,TR
traffic jam,etExd4VU8D8,72,82,AR
traffic jam,ExMFt2FEKgw,0,10,ZH
traffic jam,frGiVsf7rc0,2,8,ES
traffic jam,gEOMqaWTSyE,8,20,FR
traffic jam,GlCazmVBUMg,191,204,EN
traffic jam,goVjVVaLe10,56,58,EN
traffic jam,gwISiA6fCIY,2,6,ES
traffic jam,gypqEQaPZ4c,9,14,ZH
traffic jam,HjXW5EZMwK0,7,11,FR
traffic jam,HjXW5EZMwK0,24,28,FR
traffic jam,IBM0xfj37S4,178,190,ES
traffic jam,ilMs5HTCjek,40,50,AR
traffic jam,iPpksgkfkMk,11,14,FR
traffic jam,J6PG3eVKrso,2,6,AR
traffic jam,j8cRoC_jA1Y,15,22,ES
traffic jam,JDoqMB5NT8w,550,556,ES
traffic jam,jrBCkLn29RA,105,111,TR
traffic jam,jrCkNi6T0B8,4,15,EN
traffic jam,Jydbnx1wqAQ,36,46,EN
traffic jam,K586169nbRQ,37,40,AR
traffic jam,KbLgcQBPti8,37,49,EN
traffic jam,KbLgcQBPti8,65,78,EN
traffic jam,KbLgcQBPti8,120,124,EN
traffic jam,KNg8eTUfbqM,35,43,ES
traffic jam,ksZivphmtbU,2,17,TR
traffic jam,KZsrBP6Ovuo,130,137,AR
traffic jam,L2qdCjtK6Uw,4,8,FR
traffic jam,LlpuEr3bEJY,39,45,EN
traffic jam,lm5HiEW5jxo,17,28,EN
traffic jam,lm5HiEW5jxo,41,61,EN
traffic jam,Lm95Xeslzls,51,56,ES
traffic jam,LU87TpE4__8,13,15,AR
traffic jam,LU87TpE4__8,24,28,AR
traffic jam,MhGM_vaIA2c,49,57,TR
traffic jam,ML4DusNZeXU,11,17,AR
traffic jam,mnWNRCbPCh4,109,118,ES
traffic jam,MVr_EOL2pQ8,44,49,ZH
traffic jam,MwgFuSuAhYs,43,52,TR
traffic jam,MwgFuSuAhYs,188,200,TR
traffic jam,N4PW66_g6XA,163,174,EN
traffic jam,nbZoTRNMHcY,134,142,ZH
traffic jam,ngg_EYNsExk,19,26,FR
traffic jam,nlZCvWNQzYI,1,10,TR
traffic jam,okxmFYz2i2Q,4,6,FR
traffic jam,okxmFYz2i2Q,66,69,FR
traffic jam,oUnY0GwOswg,1,11,ES
traffic jam,pGGmKi4y0kA,48,62,TR
traffic jam,PZ9QQHFldys,7,9,FR
traffic jam,QFC4I0F6aOA,45,58,AR
traffic jam,quNyyNTqeIU,2,12,EN
traffic jam,R_XkAwN_hxU,38,41,ZH
traffic jam,r7QOZe2f_4I,417,424,FR
traffic jam,r9P1uw9LJSU,66,68,ZH
traffic jam,riwzpdiDJeE,10,17,TR
traffic jam,rpH23f6NPew,471,482,EN
traffic jam,rQOYcIPxE9E,9,23,TR
traffic jam,s0wejODvCOM,111,115,AR
traffic jam,s48CYkb8NwY,18,23,TR
traffic jam,sgGYeJlajuE,82,90,ES
traffic jam,sWIDAPlSG_U,31,34,EN
traffic jam,U3UkNvdJ-YU,39,44,EN
traffic jam,U3UkNvdJ-YU,186,192,EN
traffic jam,-ua_2j67Cjk,320,330,EN
traffic jam,uhwobcnhzts,15,21,ES
traffic jam,Uri0acYiJC0,11,20,FR
traffic jam,urXWNNx5jvM,106,112,TR
traffic jam,urXWNNx5jvM,189,196,TR
traffic jam,VCUSLAuTGY0,18,23,ES
traffic jam,VqT4VJ5afVo,67,80,EN
traffic jam,vzGIYniLU7w,14,21,ES
traffic jam,Wkj5D_xtW6c,92,96,ES
traffic jam,wy-YSU3LSNU,45,48,ES
traffic jam,Xft89343nlU,29,35,ES
traffic jam,XYtQI2Oyb4o,30,36,FR
traffic jam,y9bSsSeJUnY,44,48,FR
traffic jam,ykNlpoyYsCo,5,14,ZH
traffic jam,z7iclMNR9ik,22,30,ES
traffic jam,zD7CqbgSgfQ,2,11,AR
traffic jam,-lsXuu2Fe7o,6,11,FR
traffic jam,nVUoaYQ17aU,52,56,EN
traffic jam,c70CFJ3vlDI,136,140,FR
traffic jam,c70CFJ3vlDI,160,167,FR
traffic jam,kwEprehK5QY,170,176,FR
traffic jam,pCUwl3yOMmw,22,34,TR
traffic jam,4enRnN_8qPU,140,150,EN
