label,youtube_id,time_start,time_end,lang
train accident,_TBMU1eXSFg,62,68,TR
train accident,_TBMU1eXSFg,70,74,TR
train accident,_TBMU1eXSFg,109,116,TR
train accident,_TBMU1eXSFg,138,141,TR
train accident,_TBMU1eXSFg,192,201,TR
train accident,_TBMU1eXSFg,224,230,TR
train accident,_TBMU1eXSFg,234,237,TR
train accident,_TBMU1eXSFg,243,252,TR
train accident,_TBMU1eXSFg,382,387,TR
train accident,_TBMU1eXSFg,411,415,TR
train accident,ElNoz_Ac2Kk,4,7,ZH
train accident,ElNoz_Ac2Kk,10,16,ZH
train accident,ElNoz_Ac2Kk,24,30,ZH
train accident,ElNoz_Ac2Kk,126,131,ZH
train accident,ElNoz_Ac2Kk,136,139,ZH
train accident,ElNoz_Ac2Kk,154,159,ZH
train accident,ElNoz_Ac2Kk,186,189,ZH
train accident,ElNoz_Ac2Kk,222,229,ZH
train accident,ElNoz_Ac2Kk,254,259,ZH
train accident,ElNoz_Ac2Kk,261,266,ZH
train accident,ElNoz_Ac2Kk,285,287,ZH
train accident,ElNoz_Ac2Kk,304,309,ZH
train accident,Ht9edQL_T8w,14,18,TR
train accident,i_jtflHwxIQ,28,35,TR
train accident,K4JJkQQsNf0,9,15,ES
train accident,K4JJkQQsNf0,17,27,ES
train accident,K4JJkQQsNf0,38,47,ES
train accident,K4JJkQQsNf0,124,130,ES
train accident,K4JJkQQsNf0,132,136,ES
train accident,K4JJkQQsNf0,140,145,ES
train accident,K4JJkQQsNf0,146,152,ES
train accident,K4JJkQQsNf0,210,215,ES
train accident,K4JJkQQsNf0,245,251,ES
train accident,K4JJkQQsNf0,283,290,ES
train accident,K4JJkQQsNf0,305,317,ES
train accident,K4JJkQQsNf0,318,326,ES
train accident,K4JJkQQsNf0,336,344,ES
train accident,K4JJkQQsNf0,346,352,ES
train accident,K4JJkQQsNf0,359,365,ES
train accident,K4JJkQQsNf0,376,378,ES
train accident,K4JJkQQsNf0,380,389,ES
train accident,K4JJkQQsNf0,390,395,ES
train accident,K4JJkQQsNf0,398,402,ES
train accident,K4JJkQQsNf0,404,409,ES
train accident,K4JJkQQsNf0,410,417,ES
train accident,K4JJkQQsNf0,420,423,ES
train accident,K4JJkQQsNf0,424,430,ES
train accident,K4JJkQQsNf0,443,449,ES
train accident,K4JJkQQsNf0,462,471,ES
train accident,K4JJkQQsNf0,482,491,ES
train accident,K4JJkQQsNf0,496,501,ES
train accident,K4JJkQQsNf0,502,504,ES
train accident,K4JJkQQsNf0,506,510,ES
train accident,K4JJkQQsNf0,519,524,ES
train accident,K4JJkQQsNf0,530,534,ES
train accident,K4JJkQQsNf0,538,542,ES
train accident,K4JJkQQsNf0,618,621,ES
train accident,K4JJkQQsNf0,627,631,ES
train accident,K4JJkQQsNf0,641,644,ES
train accident,K4JJkQQsNf0,690,693,ES
train accident,K4JJkQQsNf0,695,699,ES
train accident,K4JJkQQsNf0,702,705,ES
train accident,K4JJkQQsNf0,716,727,ES
train accident,K4JJkQQsNf0,784,787,ES
train accident,K4JJkQQsNf0,789,792,ES
train accident,Otv-ngdG_mM,292,299,EN
train accident,Otv-ngdG_mM,332,336,EN
train accident,SGpfwqaqEu8,74,76,FR
train accident,wqch1qfebFA,54,59,FR
train accident,wqch1qfebFA,78,80,FR
train accident,yfLNz9G27sM,14,21,EN
train accident,yfLNz9G27sM,27,34,EN
train accident,yfLNz9G27sM,38,47,EN
train accident,yfLNz9G27sM,49,56,EN
train accident,yfLNz9G27sM,60,69,EN
train accident,yfLNz9G27sM,79,84,EN
train accident,yfLNz9G27sM,99,104,EN
train accident,yfLNz9G27sM,105,111,EN
train accident,yfLNz9G27sM,129,137,EN
train accident,yfLNz9G27sM,138,147,EN
train accident,yfLNz9G27sM,162,178,EN
train accident,yfLNz9G27sM,193,202,EN
train accident,yfLNz9G27sM,210,217,EN
train accident,yfLNz9G27sM,230,235,EN
train accident,yfLNz9G27sM,237,241,EN
train accident,yfLNz9G27sM,242,249,EN
train accident,yfLNz9G27sM,274,281,EN
train accident,yfLNz9G27sM,293,299,EN
train accident,yfLNz9G27sM,309,318,EN
train accident,yfLNz9G27sM,330,338,EN
train accident,yfLNz9G27sM,347,354,EN
train accident,yfLNz9G27sM,372,380,EN
train accident,yfLNz9G27sM,405,414,EN
train accident,yfLNz9G27sM,427,432,EN
train accident,yfLNz9G27sM,455,465,EN
train accident,yfLNz9G27sM,534,544,EN
train accident,yfLNz9G27sM,561,569,EN
train accident,yfLNz9G27sM,644,652,EN
train accident,yfLNz9G27sM,666,692,EN
train accident,yfLNz9G27sM,705,713,EN
train accident,yfLNz9G27sM,719,727,EN
train accident,yfLNz9G27sM,729,740,EN
train accident,j56VtbvvI8Y,1,4,AR
train accident,tLZbaek9spw,201,211,EN
