label,youtube_id,time_start,time_end,lang
tropical cyclone,_OX_sME3Jj4,0,10,TR
tropical cyclone,0on6Os_A9Oo,284,290,EN
tropical cyclone,1qnJEd-YRyE,8,11,FR
tropical cyclone,2IIbKt3QpFc,48,51,TR
tropical cyclone,3EMkfu2DdRw,44,50,FR
tropical cyclone,5o5ez-K4vWA,36,40,ES
tropical cyclone,5o5ez-K4vWA,78,81,ES
tropical cyclone,6S06zw_UuYM,9,14,ZH
tropical cyclone,75TXV0wmBr4,35,40,ZH
tropical cyclone,76qnTsnUymI,25,33,ES
tropical cyclone,9Dl3lO6AJF4,50,55,FR
tropical cyclone,BFYaE6Z1qz4,0,11,TR
tropical cyclone,bJRXuX0aibY,62,65,ZH
tropical cyclone,Bkyod1P6LO0,32,38,AR
tropical cyclone,CDoUCbQvoik,10,15,FR
tropical cyclone,CNgcyffX9Oo,1,6,ZH
tropical cyclone,cYxN1yfg_AE,41,44,EN
tropical cyclone,cYxN1yfg_AE,65,75,EN
tropical cyclone,D5ihOMLtCvs,43,48,ES
tropical cyclone,EdjYnoJxBO0,134,140,ES
tropical cyclone,eSLLk9jjcdA,36,43,AR
tropical cyclone,ezMiXacimsk,18,20,TR
tropical cyclone,FIoN67x8vdw,45,55,ES
tropical cyclone,fj5kH_OZLDc,15,20,EN
tropical cyclone,GZVCWzb2IAw,0,10,FR
tropical cyclone,HncVR6By3YY,17,23,ES
tropical cyclone,hZTsko3-EZI,42,44,AR
tropical cyclone,j0rDnhQjCSM,15,19,AR
tropical cyclone,jO2VVjlHe8o,371,377,EN
tropical cyclone,KGtGJlDM-DY,4,9,TR
tropical cyclone,KGtGJlDM-DY,69,75,TR
tropical cyclone,Kj9vYIvRdmQ,0,3,TR
tropical cyclone,Kj9vYIvRdmQ,26,29,TR
tropical cyclone,kraGt3CNAcw,7,14,ES
tropical cyclone,nNBsdxIOvHo,31,34,AR
tropical cyclone,OBclWXuhxMc,13,18,TR
tropical cyclone,OIyUJIBHJ7k,0,10,AR
tropical cyclone,Op0mZ_OBT5o,111,118,ES
tropical cyclone,Op0mZ_OBT5o,43,45,ES
tropical cyclone,Op0mZ_OBT5o,46,50,ES
tropical cyclone,pyYMRshu9VM,5,8,FR
tropical cyclone,qTYGiuvmM-Y,0,10,EN
tropical cyclone,-qWka69t5x4,0,7,FR
tropical cyclone,rbcDQuc9mao,14,21,EN
tropical cyclone,s-EzHYOAt2o,134,138,FR
tropical cyclone,s-EzHYOAt2o,51,54,FR
tropical cyclone,tE6leG-Bs18,0,5,FR
tropical cyclone,tE6leG-Bs18,28,36,FR
tropical cyclone,u26W9s86dAg,19,23,EN
tropical cyclone,uH8Qhsz_52w,45,52,EN
tropical cyclone,UPGpo9pdJSA,6,14,ES
tropical cyclone,wSXvcveNSTQ,118,123,EN
tropical cyclone,wSXvcveNSTQ,24,29,EN
tropical cyclone,wSXvcveNSTQ,37,43,EN
tropical cyclone,wuRS0ocqFeo,26,32,TR
tropical cyclone,WXQYrsi_jns,0,5,EN
tropical cyclone,xdQyGYXhju4,0,4,ES
tropical cyclone,xdQyGYXhju4,97,103,ES
tropical cyclone,xg0oYjm8FVM,16,29,AR
tropical cyclone,xg0oYjm8FVM,72,77,AR
tropical cyclone,yZKVJI6XAzo,0,9,EN
tropical cyclone,ZXLDdBuq-jM,18,23,TR
tropical cyclone,ZyxVP22iyq4,20,24,ZH
tropical cyclone,0PBhsPZtEnE,68,70,EN
tropical cyclone,1qnJEd-YRyE,79,82,FR
tropical cyclone,2IIbKt3QpFc,37,41,TR
tropical cyclone,2IIbKt3QpFc,43,47,TR
tropical cyclone,2MfGvnN4zgo,83,85,EN
tropical cyclone,3EMkfu2DdRw,29,35,FR
tropical cyclone,3EMkfu2DdRw,62,70,FR
tropical cyclone,76qnTsnUymI,52,60,ES
tropical cyclone,B4WcVQOB4fA,46,52,EN
tropical cyclone,Bkyod1P6LO0,0,8,AR
tropical cyclone,BQW07xCjz0E,142,146,EN
tropical cyclone,BQW07xCjz0E,152,156,EN
tropical cyclone,BQW07xCjz0E,225,228,EN
tropical cyclone,BQW07xCjz0E,500,505,EN
tropical cyclone,BQW07xCjz0E,861,865,EN
tropical cyclone,cvp5o2d7Jh8,66,70,EN
tropical cyclone,D5ihOMLtCvs,6,8,ES
tropical cyclone,EdjYnoJxBO0,120,125,ES
tropical cyclone,EdjYnoJxBO0,369,375,ES
tropical cyclone,eSLLk9jjcdA,47,55,AR
tropical cyclone,ezMiXacimsk,0,5,TR
tropical cyclone,ezMiXacimsk,7,10,TR
tropical cyclone,hZTsko3-EZI,45,49,AR
tropical cyclone,IehmKKdt8w8,23,27,EN
tropical cyclone,IwRDlZsq-7E,115,120,EN
tropical cyclone,IwRDlZsq-7E,162,166,EN
tropical cyclone,IwRDlZsq-7E,230,235,EN
tropical cyclone,IwRDlZsq-7E,368,372,EN
tropical cyclone,IwRDlZsq-7E,382,385,EN
tropical cyclone,OBclWXuhxMc,20,24,TR
tropical cyclone,OIyUJIBHJ7k,51,56,AR
tropical cyclone,uH8Qhsz_52w,103,108,EN
tropical cyclone,uH8Qhsz_52w,395,400,EN
tropical cyclone,UroV4RLvulE,0,5,AR
tropical cyclone,Vlli4meNrxM,28,32,EN
tropical cyclone,XlJBLG3STdg,27,34,EN
tropical cyclone,XlJBLG3STdg,39,45,EN
