label,youtube_id,time_start,time_end,lang
truck accident,0N3BKmDiKmc,424,433,EN
truck accident,6bza0DQeET0,34,44,EN
truck accident,6WQvtvHu1OM,36,46,EN
truck accident,6WQvtvHu1OM,51,61,EN
truck accident,6WQvtvHu1OM,70,78,EN
truck accident,6WQvtvHu1OM,138,144,EN
truck accident,6WQvtvHu1OM,145,155,EN
truck accident,6WQvtvHu1OM,185,194,EN
truck accident,6WQvtvHu1OM,243,249,EN
truck accident,6WQvtvHu1OM,384,392,EN
truck accident,6WQvtvHu1OM,395,400,EN
truck accident,6ZL9_SgzwxM,4,10,EN
truck accident,9hodBcpB7lg,12,17,EN
truck accident,9xWCaazldTU,5,11,EN
truck accident,fH6rSnO-Xyo,0,10,EN
truck accident,fH6rSnO-Xyo,20,28,EN
truck accident,Fzy_s6KXYZo,395,404,EN
truck accident,GDMcbtFAjqQ,203,210,EN
truck accident,hnue8AWwUdA,42,47,EN
truck accident,hnue8AWwUdA,111,117,EN
truck accident,iQrlMa06GFU,192,202,EN
truck accident,Jc88JoHx-kY,21,31,EN
truck accident,kVl-6-A9ZO4,25,35,EN
truck accident,kVl-6-A9ZO4,45,50,EN
truck accident,kVl-6-A9ZO4,146,154,EN
truck accident,LnD9xqGjLYM,0,8,EN
truck accident,LnD9xqGjLYM,31,41,EN
truck accident,LnD9xqGjLYM,74,81,EN
truck accident,LnD9xqGjLYM,196,206,EN
truck accident,LnD9xqGjLYM,268,277,EN
truck accident,LnD9xqGjLYM,310,317,EN
truck accident,LnD9xqGjLYM,324,334,EN
truck accident,LnD9xqGjLYM,435,440,EN
truck accident,LnD9xqGjLYM,441,448,EN
truck accident,M6L6XcqDkLc,304,309,EN
truck accident,MfdlUxAls08,12,21,EN
truck accident,MfdlUxAls08,31,41,EN
truck accident,MfdlUxAls08,73,83,EN
truck accident,MfdlUxAls08,114,123,EN
truck accident,MfdlUxAls08,130,140,EN
truck accident,MfdlUxAls08,163,172,EN
truck accident,MfdlUxAls08,215,223,EN
truck accident,r0qOJMM3Sqs,21,30,EN
truck accident,Rb6hXE-rSqE,17,24,EN
truck accident,RzYecvB1Vpk,127,133,EN
truck accident,RzYecvB1Vpk,210,216,EN
truck accident,ThXakz1_obE,5,14,EN
truck accident,tLZbaek9spw,500,506,EN
truck accident,V5ahsr38kCw,70,71,EN
truck accident,wDIBCx3wTXk,117,127,EN
truck accident,wDIBCx3wTXk,262,270,EN
truck accident,WG0Q2zQ3_Dc,473,480,
truck accident,z2ZqDwtEl1E,4,10,EN
truck accident,Z8bQT6lyxfc,18,23,EN
truck accident,zs6BgGmCoWk,47,54,EN
truck accident,zs6BgGmCoWk,159,163,EN
truck_accident,4QNgeoKE-s0,19,25,ES
truck_accident,7zDfHo-mNUQ,0,10,TR
truck_accident,7zDfHo-mNUQ,46,56,TR
truck_accident,7zDfHo-mNUQ,63,67,TR
truck_accident,7zDfHo-mNUQ,89,95,TR
truck_accident,7zDfHo-mNUQ,174,182,TR
truck_accident,7zDfHo-mNUQ,228,238,TR
truck_accident,7zDfHo-mNUQ,345,350,TR
truck_accident,7zDfHo-mNUQ,352,362,TR
truck_accident,7zDfHo-mNUQ,417,424,TR
truck_accident,7zDfHo-mNUQ,470,476,TR
truck_accident,7zDfHo-mNUQ,528,533,TR
truck_accident,8dZ7KLc-oAA,0,3,ES
truck_accident,8dZ7KLc-oAA,11,15,ES
truck_accident,8dZ7KLc-oAA,40,48,ES
truck_accident,8dZ7KLc-oAA,88,94,ES
truck_accident,8dZ7KLc-oAA,107,114,ES
truck_accident,8dZ7KLc-oAA,125,136,ES
truck_accident,8dZ7KLc-oAA,157,165,ES
truck_accident,AQn7a1qjJBE,15,23,ES
truck_accident,j7zEfl3fOOg,0,10,AR
truck_accident,m_LSSF7pfgA,16,27,AR
truck_accident,mFJAhb4iA6A,25,40,TR
truck_accident,O2bP3PK2aa0,3,11,ZH
truck_accident,RYAvp-P0F4Y,13,19,AR
truck_accident,RYAvp-P0F4Y,25,30,AR
truck_accident,RYAvp-P0F4Y,67,74,AR
truck_accident,RYAvp-P0F4Y,94,101,AR
truck_accident,RYAvp-P0F4Y,108,116,AR
truck_accident,RYAvp-P0F4Y,216,221,AR
truck_accident,RYAvp-P0F4Y,254,262,AR
truck_accident,RYAvp-P0F4Y,280,287,AR
truck_accident,UsCl3OVzEHc,105,109,ZH
truck_accident,UsCl3OVzEHc,271,281,ZH
truck_accident,VHfjMtKKGAg,16,22,AR
truck_accident,Wh8GBupLWuo,30,35,ES
truck_accident,wt01DwVIJWM,0,8,ZH
truck_accident,wt01DwVIJWM,43,50,ZH
truck_accident,wt01DwVIJWM,55,62,ZH
truck_accident,wt01DwVIJWM,72,82,ZH
truck_accident,wt01DwVIJWM,96,101,ZH
truck_accident,wt01DwVIJWM,119,126,ZH
truck_accident,wt01DwVIJWM,259,264,ZH
truck_accident,wt01DwVIJWM,372,379,ZH
truck_accident,wt01DwVIJWM,506,511,ZH
truck_accident,wt01DwVIJWM,532,537,ZH
truck_accident,Ze9BzuTLNW4,0,6,FR
truck_accident,Ze9BzuTLNW4,8,13,FR
truck_accident,Ze9BzuTLNW4,81,87,FR
truck_accident,Ze9BzuTLNW4,105,108,FR
truck_accident,Ze9BzuTLNW4,180,187,FR
truck_accident,Ze9BzuTLNW4,209,215,FR
truck_accident,Ze9BzuTLNW4,249,255,FR
truck_accident,Ze9BzuTLNW4,284,292,FR
truck_accident,Ze9BzuTLNW4,390,399,FR
truck_accident,Ze9BzuTLNW4,457,464,FR
truck_accident,Ze9BzuTLNW4,487,497,FR
truck_accident,Ze9BzuTLNW4,510,515,FR
truck_accident,ZeNBjKnm8vU,23,29,AR
truck_accident,zPi5tpxoXf8,0,2,FR
truck_accident,zPi5tpxoXf8,3,7,FR
truck_accident,zPi5tpxoXf8,8,11,FR
truck_accident,zPi5tpxoXf8,33,37,FR
truck_accident,zPi5tpxoXf8,93,96,FR
truck_accident,zPi5tpxoXf8,144,146,FR
truck_accident,CcTsdZqtU5E,60,65,TR
truck_accident,OcWMyHFnCeM,46,57,ZH
truck_accident,zHSdTk3ogoU,27,32,ES
truck_accident,zHSdTk3ogoU,250,258,ES
truck_accident,Zz39fNuU6iw,24,28,ZH
truck_accident,m_LSSF7pfgA,44,49,AR
truck_accident,r7QOZe2f_4I,417,424,FR
truck_accident,K4JJkQQsNf0,180,185,ES
truck_accident,l9sjBQW3D9Y,101,110,EN
truck_accident,9Augbki_OFw,421,426,ZH
truck_accident,9Augbki_OFw,429,434,ZH
truck_accident,kVl-6-A9ZO4,564,571,EN
truck_accident,UHLUqsVHBr4,113,119,AR
truck_accident,m_LSSF7pfgA,33,41,AR
