label,youtube_id,time_start,time_end,lang
under_construction,0namcIg4A1U,49,57,TR
under_construction,0namcIg4A1U,75,84,TR
under_construction,0namcIg4A1U,90,96,TR
under_construction,0namcIg4A1U,122,132,TR
under_construction,4ULHz5E64ac,50,60,EN
under_construction,4ULHz5E64ac,88,98,EN
under_construction,4ULHz5E64ac,114,124,EN
under_construction,4xa62PKU78o,24,34,EN
under_construction,6oO8uJ8LHEQ,0,10,ZH
under_construction,6oO8uJ8LHEQ,40,50,ZH
under_construction,6oO8uJ8LHEQ,125,135,ZH
under_construction,6zT5oACpOXU,40,50,EN
under_construction,6zT5oACpOXU,60,70,EN
under_construction,6zT5oACpOXU,93,103,EN
under_construction,aH8I35_aB-Q,4,14,EN
under_construction,aNwM1eyuv7Q,22,32,EN
under_construction,aNwM1eyuv7Q,54,64,EN
under_construction,aNwM1eyuv7Q,80,90,EN
under_construction,aNwM1eyuv7Q,140,150,EN
under_construction,BIcQvHvmqnI,0,6,AR
under_construction,BlOAafP2QkU,48,58,EN
under_construction,BlOAafP2QkU,141,151,EN
under_construction,c3JsgnB5FY8,26,36,TR
under_construction,DA6vynnZJSw,45,55,ES
under_construction,DHsA8Glpfzo,34,40,AR
under_construction,DHsA8Glpfzo,52,61,AR
under_construction,DHsA8Glpfzo,62,68,AR
under_construction,DHsA8Glpfzo,119,129,AR
under_construction,ehzkvR6J1bQ,112,119,EN
under_construction,ExlnCirIC3A,0,7,ZH
under_construction,ExlnCirIC3A,78,86,ZH
under_construction,exMUmZFkrRk,292,302,TR
under_construction,exMUmZFkrRk,303,313,TR
under_construction,HdV1shkaAFM,41,51,FR
under_construction,HdV1shkaAFM,84,94,FR
under_construction,HkfF_T85Keg,29,39,ZH
under_construction,K4jg-1P0n5I,26,36,ZH
under_construction,li9zsvUdwME,0,10,AR
under_construction,MBD-ZV7xyPU,88,98,FR
under_construction,-nxFzDmAcxI,1,11,AR
under_construction,ozmW8KMtjRA,0,10,TR
under_construction,pm0-q3L7B-Y,5,15,ZH
under_construction,Pt_qT59IjVI,20,30,EN
under_construction,raqDkdPO-Ks,0,10,EN
under_construction,raqDkdPO-Ks,63,71,EN
under_construction,raqDkdPO-Ks,150,160,EN
under_construction,raqDkdPO-Ks,303,313,EN
under_construction,raqDkdPO-Ks,676,686,EN
under_construction,raqDkdPO-Ks,1075,1085,EN
under_construction,raqDkdPO-Ks,1131,1141,EN
under_construction,raqDkdPO-Ks,1155,1165,EN
under_construction,raqDkdPO-Ks,1193,1203,EN
under_construction,raqDkdPO-Ks,1218,1226,EN
under_construction,raqDkdPO-Ks,1353,1358,EN
under_construction,raqDkdPO-Ks,1380,1390,EN
under_construction,raqDkdPO-Ks,1425,1435,EN
under_construction,raqDkdPO-Ks,1490,1500,EN
under_construction,raqDkdPO-Ks,1713,1723,EN
under_construction,raqDkdPO-Ks,1860,1870,EN
under_construction,raqDkdPO-Ks,2123,2133,EN
under_construction,rGDy6ZXMbEw,53,63,ES
under_construction,rGDy6ZXMbEw,76,86,ES
under_construction,rGDy6ZXMbEw,227,237,ES
under_construction,rGDy6ZXMbEw,468,478,ES
under_construction,rGDy6ZXMbEw,491,500,ES
under_construction,SIjzTqYBsNA,53,63,AR
under_construction,SvApoH3n9FE,29,36,EN
under_construction,SvApoH3n9FE,52,61,EN
under_construction,SvApoH3n9FE,76,83,EN
under_construction,SvApoH3n9FE,83,89,EN
under_construction,SvApoH3n9FE,89,98,EN
under_construction,TdOCnQ0DRzY,105,115,TR
under_construction,tm3CFMBaxdw,2,12,TR
under_construction,U6QuASXwsiA,64,74,ZH
under_construction,U6QuASXwsiA,87,97,ZH
under_construction,uBGaSWm7DJQ,87,97,FR
under_construction,uBGaSWm7DJQ,162,172,FR
under_construction,uBGaSWm7DJQ,444,455,FR
under_construction,uBGaSWm7DJQ,567,574,FR
under_construction,uBGaSWm7DJQ,705,713,FR
under_construction,uBGaSWm7DJQ,799,807,FR
under_construction,uBGaSWm7DJQ,825,835,FR
under_construction,uBGaSWm7DJQ,936,946,FR
under_construction,uBGaSWm7DJQ,979,987,FR
under_construction,uBGaSWm7DJQ,1045,1052,FR
under_construction,uZDDL7iPnFY,26,30,TR
under_construction,uZDDL7iPnFY,43,49,TR
under_construction,VzkmEF06nMc,11,20,ZH
under_construction,VzkmEF06nMc,86,96,ZH
under_construction,wtQww6wBViw,0,10,AR
under_construction,Y-5Qa-ZZsVo,12,22,TR
under_construction,Y-5Qa-ZZsVo,39,48,TR
under_construction,Y-5Qa-ZZsVo,73,83,TR
under_construction,YK83_9LHJ74,0,10,ES
under_construction,YK83_9LHJ74,40,50,ES
under_construction,yVjS8e97cBY,470,480,ZH
under_construction,YwXnUDw5eMk,307,315,ES
under_construction,Z00eBUw0S6Y,151,161,ES
under_construction,Z5j5V2W5nbE,0,10,AR
under_construction,zTYLIdGzKu0,55,65,FR
under_construction,zTYLIdGzKu0,258,268,FR
under_construction,zTYLIdGzKu0,1002,1012,FR
under_construction,iS2ULeH_CCE,3,12,AR
