label,youtube_id,time_start,time_end,lang
van accident,0N3BKmDiKmc,45,52,EN
van accident,0N3BKmDiKmc,92,102,EN
van accident,0N3BKmDiKmc,154,161,EN
van accident,0N3BKmDiKmc,264,274,EN
van accident,0N3BKmDiKmc,283,289,EN
van accident,415mRcR3Q70,13,20,EN
van accident,5CICs4jGJVg,282,292,EN
van accident,7StFsiOGJ60,78,88,EN
van accident,alQNGvOnXLA,242,250,EN
van accident,d5exATIaQiI,126,133,EN
van accident,d5exATIaQiI,137,145,EN
van accident,d5exATIaQiI,381,390,EN
van accident,e9Yy5P6FUes,785,795,EN
van accident,Fzy_s6KXYZo,48,53,EN
van accident,g36cskLSJNo,5,13,EN
van accident,G6FTv-M1tYo,0,4,
van accident,G6FTv-M1tYo,28,37,
van accident,G6FTv-M1tYo,37,47,
van accident,G6FTv-M1tYo,50,60,
van accident,G6FTv-M1tYo,68,77,
van accident,G6FTv-M1tYo,90,96,
van accident,g9NFXhelewE,59,65,AR
van accident,g9NFXhelewE,85,95,AR
van accident,g9NFXhelewE,342,352,AR
van accident,GDMcbtFAjqQ,2,11,EN
van accident,GDMcbtFAjqQ,29,33,EN
van accident,Gk1LYnnO9hU,2,11,EN
van accident,gKmFRrt990Y,9,16,EN
van accident,hnue8AWwUdA,13,19,EN
van accident,hnue8AWwUdA,12,139,EN
van accident,Hp1cr5RKKDY,4,13,EN
van accident,HWCDwCtJbGQ,0,7,EN
van accident,iS7IdxnWU1g,9,11,EN
van accident,JJ2lDTHo0-o,190,198,TR
van accident,k66AH0JtrKg,16,26,EN
van accident,-k-It-57BlM,4,9,EN
van accident,Ks7_YulvGZQ,23,27,EN
van accident,Ks7_YulvGZQ,37,44,EN
van accident,kVl-6-A9ZO4,108,114,EN
van accident,lkZTEk10bAY,1,11,EN
van accident,M05hiBSdyOo,500,506,EN
van accident,M6L6XcqDkLc,4,8,EN
van accident,M6L6XcqDkLc,12,22,EN
van accident,M6L6XcqDkLc,36,46,EN
van accident,M6L6XcqDkLc,63,70,EN
van accident,M6L6XcqDkLc,70,80,EN
van accident,M6L6XcqDkLc,106,112,EN
van accident,M6L6XcqDkLc,113,122,EN
van accident,M6L6XcqDkLc,125,135,EN
van accident,M6L6XcqDkLc,143,153,EN
van accident,M6L6XcqDkLc,163,171,EN
van accident,M6L6XcqDkLc,174,178,EN
van accident,M6L6XcqDkLc,192,202,EN
van accident,M6L6XcqDkLc,210,214,EN
van accident,M6L6XcqDkLc,234,242,EN
van accident,M6L6XcqDkLc,253,261,EN
van accident,M6L6XcqDkLc,268,275,EN
van accident,M6L6XcqDkLc,281,291,EN
van accident,MfdlUxAls08,59,67,EN
van accident,MfdlUxAls08,102,109,EN
van accident,MfdlUxAls08,195,201,EN
van accident,MfdlUxAls08,261,270,EN
van accident,MfdlUxAls08,309,315,EN
van accident,MfdlUxAls08,317,325,EN
van accident,MpRCMq3oiZI,35,39,EN
van accident,nR2nwaoOLek,0,10,EN
van accident,O09cPxPSHjM,26,32,EN
van accident,QatFV4CBSMM,37,45,AR
van accident,QatFV4CBSMM,63,69,AR
van accident,QatFV4CBSMM,70,79,AR
van accident,QatFV4CBSMM,99,101,AR
van accident,QatFV4CBSMM,104,112,AR
van accident,QatFV4CBSMM,113,118,AR
van accident,qUXpLhVT0gI,20,30,EN
van accident,r2Kn2LG4ekw,50,56,AR
van accident,r2Kn2LG4ekw,68,77,AR
van accident,r2Kn2LG4ekw,90,97,AR
van accident,r2Kn2LG4ekw,124,129,AR
van accident,R9UD9BzcS9k,90,97,HI
van accident,sPpaCnYr_JM,5,9,EN
van accident,tLZbaek9spw,37,44,EN
van accident,tLZbaek9spw,135,144,EN
van accident,TvCE1x8J-MA,0,6,PT
van accident,TvCE1x8J-MA,55,63,PT
van accident,TvCE1x8J-MA,87,95,PT
van accident,uy-a7AA2aV4,4,7,EN
van accident,uy-a7AA2aV4,7,13,EN
van accident,V3kIubt7qxA,73,77,EN
van accident,VRn8bTUTRzw,255,262,EN
van accident,w1Zljlk807s,41,46,EN
van accident,WG0Q2zQ3_Dc,206,216,
van accident,WG0Q2zQ3_Dc,424,431,
van accident,WG0Q2zQ3_Dc,440,446,
van accident,WG0Q2zQ3_Dc,483,491,
van accident,XR7S88UlJGs,8,12,EN
van accident,YNepTxNmLAo,7,16,EN
van accident,yQ6LDDTxG4A,47,57,EN
van accident,yQ6LDDTxG4A,95,105,EN
van accident,yQ6LDDTxG4A,138,145,EN
van accident,tLZbaek9spw,475,480,EN
