label,youtube_id,time_start,time_end,lang
volcanic eruption,7sCVXk_CHos,39,44,EN
volcanic eruption,7sCVXk_CHos,45,48,EN
volcanic eruption,cESiVS9ears,110,114,JA
volcanic eruption,cESiVS9ears,115,118,JA
volcanic eruption,cESiVS9ears,211,214,JA
volcanic eruption,cESiVS9ears,228,230,JA
volcanic eruption,cESiVS9ears,238,241,JA
volcanic eruption,cESiVS9ears,254,256,JA
volcanic eruption,cESiVS9ears,323,326,JA
volcanic eruption,cESiVS9ears,335,337,JA
volcanic eruption,DFSpBO7mKrI,24,27,ZH
volcanic eruption,eKvhFexW6nI,8,15,FR
volcanic eruption,eKvhFexW6nI,17,31,FR
volcanic eruption,eKvhFexW6nI,33,39,FR
volcanic eruption,eKvhFexW6nI,42,56,FR
volcanic eruption,eKvhFexW6nI,85,102,FR
volcanic eruption,eKvhFexW6nI,106,119,FR
volcanic eruption,j7J5StFCjdY,104,106,
volcanic eruption,kKAQC5PXDuk,12,22,TR
volcanic eruption,kKAQC5PXDuk,33,41,TR
volcanic eruption,kKAQC5PXDuk,49,59,TR
volcanic eruption,kKAQC5PXDuk,175,234,TR
volcanic eruption,kKAQC5PXDuk,250,265,TR
volcanic eruption,kKAQC5PXDuk,266,303,TR
volcanic eruption,kKAQC5PXDuk,312,362,TR
volcanic eruption,kKAQC5PXDuk,444,456,TR
volcanic eruption,KwGReC3_2C0,13,19,EN
volcanic eruption,KwGReC3_2C0,24,45,EN
volcanic eruption,KwGReC3_2C0,301,320,EN
volcanic eruption,LGtDeMxgWUc,173,179,FR
volcanic eruption,LGtDeMxgWUc,181,192,FR
volcanic eruption,mf33dfZSFPE,7,16,EN
volcanic eruption,mf33dfZSFPE,95,102,EN
volcanic eruption,mf33dfZSFPE,228,255,EN
volcanic eruption,N2Pvr22gTo4,92,109,EN
volcanic eruption,N2Pvr22gTo4,302,328,EN
volcanic eruption,N2Pvr22gTo4,445,448,EN
volcanic eruption,N2Pvr22gTo4,450,462,EN
volcanic eruption,N2Pvr22gTo4,502,510,EN
volcanic eruption,N2Pvr22gTo4,518,527,EN
volcanic eruption,NGcbNn4Vk1w,0,33,EN
volcanic eruption,NGcbNn4Vk1w,96,130,EN
volcanic eruption,NGcbNn4Vk1w,259,289,EN
volcanic eruption,NGcbNn4Vk1w,290,310,EN
volcanic eruption,Qy5nvOaxm_8,95,104,
volcanic eruption,RUivQ2TEhHI,24,26,ZH
volcanic eruption,RUivQ2TEhHI,31,33,ZH
volcanic eruption,RUivQ2TEhHI,34,36,ZH
volcanic eruption,RUivQ2TEhHI,47,50,ZH
volcanic eruption,RUivQ2TEhHI,51,56,ZH
volcanic eruption,RUivQ2TEhHI,62,66,ZH
volcanic eruption,RUivQ2TEhHI,82,85,ZH
volcanic eruption,RUivQ2TEhHI,96,101,ZH
volcanic eruption,RUivQ2TEhHI,124,129,ZH
volcanic eruption,RUivQ2TEhHI,150,152,ZH
volcanic eruption,RUivQ2TEhHI,223,225,ZH
volcanic eruption,RUivQ2TEhHI,241,245,ZH
volcanic eruption,sy8zqYo-bt0,16,20,FR
volcanic eruption,sy8zqYo-bt0,25,35,FR
volcanic eruption,sy8zqYo-bt0,47,56,FR
volcanic eruption,sy8zqYo-bt0,81,90,FR
volcanic eruption,sy8zqYo-bt0,112,123,FR
volcanic eruption,sy8zqYo-bt0,143,149,FR
volcanic eruption,sy8zqYo-bt0,163,180,FR
volcanic eruption,sy8zqYo-bt0,181,185,FR
volcanic eruption,sy8zqYo-bt0,266,271,FR
volcanic eruption,VBTAcACmcgo,15,22,EN
volcanic eruption,VBTAcACmcgo,35,52,EN
volcanic eruption,VBTAcACmcgo,55,64,EN
volcanic eruption,VBTAcACmcgo,140,166,EN
volcanic eruption,VBTAcACmcgo,200,214,EN
volcanic eruption,VBTAcACmcgo,230,235,EN
volcanic eruption,VgIvGl3OiAQ,0,28,ES
volcanic eruption,VLPug-fRVyg,23,41,TR
volcanic eruption,VLPug-fRVyg,83,90,TR
volcanic eruption,VLPug-fRVyg,198,204,TR
volcanic eruption,VLPug-fRVyg,240,243,TR
volcanic eruption,VLPug-fRVyg,411,416,TR
volcanic eruption,VLPug-fRVyg,473,483,TR
volcanic eruption,wyM7x5G30EM,6,47,AR
volcanic eruption,wyM7x5G30EM,114,141,AR
volcanic eruption,wyM7x5G30EM,143,178,AR
volcanic eruption,wyM7x5G30EM,179,204,AR
volcanic eruption,yNgx8uJvMfo,8,17,ZH
volcanic eruption,yNgx8uJvMfo,28,36,ZH
volcanic eruption,yNgx8uJvMfo,44,53,ZH
volcanic eruption,yNgx8uJvMfo,79,96,ZH
volcanic eruption,zGgm1Kl3S-U,12,27,FR
volcanic eruption,zGgm1Kl3S-U,30,34,FR
volcanic eruption,zGgm1Kl3S-U,36,44,FR
volcanic eruption,zGgm1Kl3S-U,46,56,FR
volcanic eruption,zGgm1Kl3S-U,57,60,FR
volcanic eruption,zGgm1Kl3S-U,95,114,FR
volcanic eruption,zGgm1Kl3S-U,184,195,FR
volcanic eruption,zGgm1Kl3S-U,196,200,FR
volcanic eruption,zGgm1Kl3S-U,202,208,FR
volcanic eruption,zGgm1Kl3S-U,210,216,FR
volcanic eruption,zGgm1Kl3S-U,217,232,FR
volcanic eruption,zGgm1Kl3S-U,233,239,FR
volcanic eruption,zXA9RCmZJCY,91,149,ZH
