label,youtube_id,time_start,time_end,lang
wildfire,085Nlz_6R7o,95,98,AR
wildfire,1Z2K6lDt76M,23,32,EN
wildfire,1Z2K6lDt76M,44,53,EN
wildfire,1Z2K6lDt76M,773,780,EN
wildfire,5hghT1W33cY,7,12,EN
wildfire,5hghT1W33cY,139,143,EN
wildfire,7BhDwVefhP8,12,19,EN
wildfire,7BhDwVefhP8,29,38,EN
wildfire,7BhDwVefhP8,40,46,EN
wildfire,enrhXpDY2XY,182,187,ES
wildfire,FNFDJQxX4HM,120,125,TR
wildfire,FNFDJQxX4HM,139,144,TR
wildfire,FNFDJQxX4HM,257,262,TR
wildfire,FNFDJQxX4HM,299,304,TR
wildfire,GoSyZX_Dj7E,161,163,ES
wildfire,GoSyZX_Dj7E,203,209,ES
wildfire,h7j_9_is2vg,19,28,ZH
wildfire,h7j_9_is2vg,353,362,ZH
wildfire,h7j_9_is2vg,371,379,ZH
wildfire,h7j_9_is2vg,458,467,ZH
wildfire,hK6_DR26rpY,40,49,EN
wildfire,hK6_DR26rpY,298,307,EN
wildfire,hK6_DR26rpY,557,566,EN
wildfire,hK6_DR26rpY,646,655,EN
wildfire,iw_FKphXeVw,21,30,EN
wildfire,iw_FKphXeVw,69,78,EN
wildfire,iw_FKphXeVw,83,92,EN
wildfire,iw_FKphXeVw,103,112,EN
wildfire,JMY9jWpfR5w,121,128,AR
wildfire,JMY9jWpfR5w,146,152,AR
wildfire,jsQ7S12BU18,0,4,ES
wildfire,jsQ7S12BU18,77,82,ES
wildfire,jsQ7S12BU18,118,127,ES
wildfire,k53R8wRgAvM,6,15,AR
wildfire,KLo-oPACDu0,1,10,FR
wildfire,l9sjBQW3D9Y,218,227,EN
wildfire,mtE9bkv3oJM,37,39,ES
wildfire,mtE9bkv3oJM,181,183,ES
wildfire,mtE9bkv3oJM,185,192,ES
wildfire,n02ouEgZeNQ,183,188,ZH
wildfire,nFtYF63Jugc,1,10,EN
wildfire,nFtYF63Jugc,15,24,EN
wildfire,nFtYF63Jugc,25,34,EN
wildfire,nFtYF63Jugc,60,67,EN
wildfire,nFtYF63Jugc,106,115,EN
wildfire,nFtYF63Jugc,118,124,EN
wildfire,nFtYF63Jugc,148,157,EN
wildfire,nFtYF63Jugc,161,170,EN
wildfire,nFtYF63Jugc,174,182,EN
wildfire,noJuE3oP2II,25,33,EN
wildfire,noJuE3oP2II,39,48,EN
wildfire,noJuE3oP2II,67,73,EN
wildfire,NY4OQwUJxlQ,20,29,EN
wildfire,NY4OQwUJxlQ,35,42,EN
wildfire,NY4OQwUJxlQ,47,53,EN
wildfire,NY4OQwUJxlQ,54,63,EN
wildfire,NY4OQwUJxlQ,67,76,EN
wildfire,NY4OQwUJxlQ,78,87,EN
wildfire,NY4OQwUJxlQ,100,109,EN
wildfire,NY4OQwUJxlQ,111,118,EN
wildfire,NY4OQwUJxlQ,121,130,EN
wildfire,NY4OQwUJxlQ,161,168,EN
wildfire,o3ji49bVUjM,67,76,AR
wildfire,Qxy4jOkRs_I,223,226,TR
wildfire,Qxy4jOkRs_I,296,298,TR
wildfire,Qxy4jOkRs_I,448,453,TR
wildfire,r4JRvfManv0,55,64,EN
wildfire,rGxDQNnNYz0,141,149,ZH
wildfire,rGxDQNnNYz0,254,257,ZH
wildfire,skyqokPQpdA,5,6,FR
wildfire,skyqokPQpdA,58,59,FR
wildfire,skyqokPQpdA,61,64,FR
wildfire,SUnnCDqo_Eg,164,169,ZH
wildfire,TrsB988Ix5o,0,7,FR
wildfire,uSz_9Fk-g0Y,24,33,ZH
wildfire,UXTqTh0SrLQ,78,83,EN
wildfire,UXTqTh0SrLQ,112,117,EN
wildfire,Ve33BcHx1L0,139,144,EN
wildfire,Ve33BcHx1L0,250,259,EN
wildfire,Ve33BcHx1L0,338,343,EN
wildfire,VzR9Fbs8Cs0,0,9,EN
wildfire,x_GXZBJCWG4,0,6,AR
wildfire,x_GXZBJCWG4,43,47,AR
wildfire,Y4LtvM27nco,194,198,FR
wildfire,Y4LtvM27nco,200,204,FR
wildfire,YEXQTDemn7A,53,58,FR
wildfire,YEXQTDemn7A,76,81,FR
wildfire,YEXQTDemn7A,186,191,FR
wildfire,YK-DqaqFZts,0,6,AR
wildfire,YK-DqaqFZts,12,14,AR
wildfire,YK-DqaqFZts,45,48,AR
wildfire,yoolFqY82n0,64,71,ES
wildfire,YYnIlah5UJ4,122,126,EN
wildfire,YYnIlah5UJ4,229,234,EN
wildfire,YYnIlah5UJ4,235,240,EN
wildfire,YYnIlah5UJ4,241,245,EN
wildfire,ZKEmVcSmjj4,18,20,ZH
wildfire,zToJnl2Csms,14,17,TR
wildfire,zToJnl2Csms,541,544,TR
