label,youtube_id,time_start,time_end,lang
with_smoke,_cq0vFkaLvY,2,8,EN
with_smoke,_cq0vFkaLvY,10,13,EN
with_smoke,_cq0vFkaLvY,14,18,EN
with_smoke,_cq0vFkaLvY,31,34,EN
with_smoke,1Z2K6lDt76M,253,262,EN
with_smoke,1Z2K6lDt76M,442,451,EN
with smoke,2MR2i5ZctW4,633,642,AR
with_smoke,5hghT1W33cY,147,151,EN
with_smoke,7xWLh5R5iB0,55,58,TR
with_smoke,8Um6H3S8lpk,0,7,EN
with_smoke,8Um6H3S8lpk,25,33,EN
with_smoke,9HSjiWn6QAU,9,18,EN
with_smoke,B9fGyvy5XWU,0,8,EN
with_smoke,bvkBoU5doy0,15,18,ES
with_smoke,bvkBoU5doy0,23,25,ES
with_smoke,bvkBoU5doy0,65,68,ES
with_smoke,cBd0jV19Pj4,0,4,AR
with_smoke,Cw5GLuUo4hI,0,9,EN
with_smoke,Cw5GLuUo4hI,72,81,EN
with_smoke,DnNcmzyXAuQ,10,16,EN
with_smoke,DnNcmzyXAuQ,18,23,EN
with_smoke,dqISA1ACSoo,0,8,FR
with_smoke,DRtByFTl_eA,30,39,TR
with_smoke,eKxmBdHrxSc,173,182,FR
with_smoke,ErRmdUQZBdY,42,46,TR
with_smoke,ErRmdUQZBdY,93,98,TR
with_smoke,fIhq0J_B1YQ,9,18,AR
with_smoke,fKP3pEuPasc,5,14,AR
with_smoke,FvBJapUdEKE,8,11,FR
with_smoke,G1Hl74SF4Io,38,47,TR
with_smoke,GncpjkvUvl4,0,9,EN
with_smoke,hbi1zlJrdPs,36,38,TR
with_smoke,hbi1zlJrdPs,99,101,TR
with_smoke,hvtiig6wuvY,0,7,AR
with_smoke,JTmziv2BQBo,0,6,ZH
with_smoke,JTmziv2BQBo,28,35,ZH
with_smoke,JxqbPoTIT60,4,13,EN
with_smoke,JxqbPoTIT60,16,25,EN
with_smoke,JxqbPoTIT60,89,98,EN
with_smoke,JxqbPoTIT60,133,142,EN
with_smoke,KWWMMswrj_A,32,41,EN
with_smoke,l34hgENl9ZQ,9,13,ES
with_smoke,l34hgENl9ZQ,26,33,ES
with_smoke,LKwUHLkz8TU,13,20,ES
with_smoke,lzNE150TQOs,45,54,EN
with_smoke,lzNE150TQOs,325,334,EN
with_smoke,lzNE150TQOs,760,769,EN
with_smoke,lzNE150TQOs,841,850,EN
with_smoke,M06ee90cX9c,65,74,EN
with_smoke,Nb7MTvvuS94,61,70,EN
with_smoke,nLqc9fI7izg,54,63,EN
with_smoke,NNGajVUhQHc,0,3,TR
with_smoke,NwZ5cosM8Vs,18,23,EN
with_smoke,NwZ5cosM8Vs,32,38,EN
with_smoke,ocjE_0YX9ZY,5,7,FR
with_smoke,ocjE_0YX9ZY,31,33,FR
with_smoke,ocjE_0YX9ZY,35,39,FR
with_smoke,odoWQGx5u68,16,24,TR
with_smoke,oSDMN4haK7c,820,829,ES
with_smoke,OwDyJhydrFc,39,48,ZH
with_smoke,owrXrSUtdHg,2,11,AR
with_smoke,ozlTyFT4xPs,35,44,AR
with_smoke,ozlTyFT4xPs,51,57,AR
with_smoke,Pcuz6s_2c34,20,29,FR
with_smoke,Pcuz6s_2c34,71,80,FR
with_smoke,pdPD7RfK3vg,16,19,TR
with_smoke,pn2ZpwTozuM,3,11,ZH
with_smoke,q23EOWWcQPQ,21,27,ZH
with_smoke,qCh0koMiDKU,4,13,EN
with_smoke,qCh0koMiDKU,141,150,EN
with_smoke,RIrBQKryHSc,47,51,ZH
with_smoke,RmO3h5YwD_w,0,5,EN
with_smoke,S8r5pyyr5c4,42,49,FR
with_smoke,SdjVltY69TE,7,11,ZH
with_smoke,t6WWeAaFYoI,4,13,EN
with_smoke,t6WWeAaFYoI,93,102,EN
with_smoke,tITAR6KLN4A,24,28,EN
with_smoke,tITAR6KLN4A,36,41,EN
with_smoke,tUry3zx0RTE,13,22,AR
with_smoke,u6WB9c7dTj8,3,12,EN
with_smoke,UjbCrWqS4Ws,0,9,EN
with_smoke,UjbCrWqS4Ws,35,39,EN
with_smoke,UjbCrWqS4Ws,106,115,EN
with_smoke,uJL-aIIE9Yw,38,47,ZH
with_smoke,VIdYpFaD2lw,26,35,EN
with_smoke,wgs4sMrJ4Gk,42,48,FR
with_smoke,WyW3rVu6wkw,59,68,EN
with_smoke,x_kF0x20sSk,15,20,AR
with_smoke,XMnsA8numZY,80,89,EN
with_smoke,XMnsA8numZY,205,214,EN
with_smoke,XMnsA8numZY,820,829,EN
with_smoke,XMnsA8numZY,1071,1080,EN
with_smoke,XX4D-epExZc,53,62,EN
with_smoke,YfqVzdnhaKo,5,7,ZH
with_smoke,YfqVzdnhaKo,12,14,ZH
with_smoke,YYnIlah5UJ4,281,290,EN
with_smoke,z_rNJeNgin8,14,23,EN
with_smoke,zmX2Az_uZdc,321,330,ES
with_smoke,zmX2Az_uZdc,1198,1207,ES
with_smoke,zmX2Az_uZdc,1577,1586,ES
with_smoke,zvmGPXLtdEo,41,50,EN
with_smoke,-kdFmy_zQrw,0,6,AR
with_smoke,DFSpBO7mKrI,77,80,ZH
with_smoke,N2Pvr22gTo4,177,192,EN
with_smoke,zXA9RCmZJCY,152,167,ZH
with_smoke,jTFdQdKHj9Q,1,5,ZH
with_smoke,kKAQC5PXDuk,250,265,TR
with_smoke,wv_TjYd5Da8,77,82,EN
with_smoke,i2ikTy5wLSI,319,322,EN
with_smoke,OLBq74kKFoI,0,5,ES
with_smoke,rmns25ujNlE,0,10,FR
with_smoke,rWFdrtsa-w0,15,20,AR
with_smoke,3CH6vRQ0A9E,194,197,EN
